publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2012p065547,earthquake,2012-01-25T06:02:32Z,2014-04-08T06:26:10Z,165.6630602,-46.82451142,5.764429218,5.46875,M,NA,NonLinLoc,confirmed,manual,nz3drx,16,12,26,0.9195235692,302.9814915,0.7652976519,0
2012p061491,outside of network interest,2012-01-23T18:01:36Z,2014-03-26T20:34:03Z,-179.3563995,-32.94533539,5.075825063,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,30,20,15,3.872781038,180.1112461,1.513689682,0
2012p050087,earthquake,2012-01-19T12:46:50Z,2014-04-03T02:24:05Z,165.7040264,-46.84404716,5.107350337,12.005,M,operator assigned,NonLinLoc,confirmed,manual,nz3drx,19,14,26,0.9132446484,302.8972253,0.9240928374,0
2012p049665,earthquake,2012-01-19T09:01:56Z,2014-03-26T21:55:36Z,165.6785428,-46.92377668,5.625301702,12.0025,M,operator assigned,NonLinLoc,confirmed,manual,nz3drx,16,11,21,0.9800588222,304.9762016,0.9418470493,0
2012p049415,earthquake,2012-01-19T06:48:48Z,2016-03-03T22:19:10Z,165.7687672,-46.97981973,5.694901519,12.0025,M,operator assigned,NonLinLoc,confirmed,manual,nz3drx,92,85,52,0.9846144231,304.3790057,1.351716851,0
2012p034737,outside of network interest,2012-01-13T20:25:24Z,2014-03-12T20:40:58Z,-177.8898773,-32.73442459,5.243919319,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,29,17,13,3.461564064,208.3074341,1.528441369,0
2012p034440,outside of network interest,2012-01-13T17:49:09Z,2014-03-12T20:20:52Z,-177.7850647,-32.77334213,5.307422999,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,25,15,13,3.502197027,210.5947266,1.271624421,0
2012p014905,earthquake,2012-01-06T12:21:36Z,2014-02-25T22:54:58Z,172.7726966,-43.5362647,5.221109098,11.97265625,M,NA,NonLinLoc,confirmed,manual,nz3drx,25,22,106,0.05581618905,150.2738309,0.3229006596,0
2012p001887,earthquake,2012-01-01T16:45:17Z,2013-10-07T04:00:52Z,172.8085175,-43.46715546,5.458549751,11.87032986,MLv,NA,LOCSAT,confirmed,manual,iasp91,19,12,25,0.07245284319,160.9424702,0.4236965506,0.3647849282
2012p001886,earthquake,2012-01-01T16:45:05Z,2014-12-04T02:29:24Z,172.8106079,-43.45058441,5.314901446,9.765994072,M,NA,LOCSAT,confirmed,manual,iasp91,38,23,10,0.08197247237,134.6208363,0.3593708668,0
2012p001403,earthquake,2012-01-01T12:27:57Z,2013-09-23T22:36:52Z,172.8325043,-43.46253967,5.089474533,9.005116463,MLv,NA,LOCSAT,confirmed,manual,iasp91,24,19,96,0.08592516184,164.8686829,0.391842849,0.3779669337
