PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,M,M_Uncertainty,M_StationCount
2178347,1940-07-02T11:23:00Z,-37.8,0.0,176.3,0.0,25.0,0.0,M,,,,4.5,nan,0
2178348,1940-07-02T13:14:00Z,-41.0,0.0,174.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178349,1940-07-03T18:15:30Z,-37.0,0.0,179.0,0.0,100.0,0.0,M,,,,4.5,nan,0
2178350,1940-07-06T00:35:06Z,-38.0,0.0,177.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178351,1940-07-06T16:56:48Z,-39.5,0.0,177.2,0.0,25.0,0.0,M,,,,4.5,nan,0
2178352,1940-07-08T08:05:12Z,-39.5,0.0,177.7,0.0,25.0,0.0,M,,,,4.5,nan,0
2178353,1940-07-08T19:51:48Z,-40.5,0.0,174.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178354,1940-07-09T14:47:48Z,-39.5,0.0,177.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178355,1940-07-09T17:58:06Z,-38.0,0.0,177.0,0.0,25.0,0.0,M,,,,4.0,nan,0
2178356,1940-07-10T08:15:00Z,-41.0,0.0,175.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178357,1940-07-13T17:09:54Z,-41.5,0.0,172.8,0.0,25.0,0.0,M,,,,4.5,nan,0
2178358,1940-07-14T08:53:06Z,-41.0,0.0,174.5,0.0,25.0,0.0,M,,,,4.0,nan,0
2178359,1940-07-17T22:01:30Z,-42.0,0.0,178.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178360,1940-07-19T20:55:12Z,-41.5,0.0,173.2,0.0,25.0,0.0,M,,,,4.5,nan,0
2178361,1940-07-22T05:42:00Z,-40.0,0.0,176.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178362,1940-07-22T13:31:30Z,-40.3,0.0,174.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178363,1940-07-31T09:41:30Z,-41.0,0.0,175.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178364,1940-07-31T22:32:06Z,-41.8,0.0,172.5,0.0,25.0,0.0,M,,,,4.0,nan,0
2178365,1940-08-02T04:58:48Z,-38.5,0.0,178.3,0.0,70.0,0.0,M,,,,5.0,nan,0
2178366,1940-08-02T05:07:24Z,-39.1,0.0,178.2,0.0,40.0,0.0,MS,4.7,nan,0,5.0,nan,0
2178367,1940-08-02T13:15:00Z,-39.0,0.0,174.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178368,1940-08-02T13:34:00Z,-39.0,0.0,174.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178369,1940-08-04T11:05:00Z,-42.5,0.0,174.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178370,1940-08-07T13:06:54Z,-40.0,0.0,173.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178372,1940-08-10T15:14:12Z,-38.5,0.0,178.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178373,1940-08-17T13:58:12Z,-38.7,0.0,177.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178374,1940-08-19T14:23:06Z,-40.2,0.0,173.8,0.0,25.0,0.0,M,,,,4.5,nan,0
2178375,1940-08-19T18:21:18Z,-39.2,0.0,176.5,0.0,100.0,0.0,M,,,,4.5,nan,0
2178376,1940-08-20T10:07:42Z,-40.5,0.0,172.7,0.0,25.0,0.0,M,,,,4.5,nan,0
2178377,1940-08-20T10:48:12Z,-41.0,0.0,175.0,0.0,25.0,0.0,M,,,,4.5,nan,0
