PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,M,M_Uncertainty,M_StationCount
2178521,1941-07-02T15:50:57Z,-40.3,0.0,173.5,0.0,12.0,0.0,M,4.5,nan,0
2178522,1941-07-02T22:56:33Z,-39.2,0.0,174.2,0.0,33.0,0.0,M,4.4,nan,0
2178523,1941-07-03T00:01:34Z,-38.2,0.0,176.2,0.0,325.0,0.0,M,5.2,nan,0
2178524,1941-07-04T12:49:27Z,-40.7,0.0,172.6,0.0,33.0,0.0,M,5.3,nan,0
2178525,1941-07-06T00:00:06Z,-41.1,0.0,173.8,0.0,33.0,0.0,M,4.5,nan,0
2178526,1941-07-14T07:32:10Z,-39.3,0.0,175.0,0.0,33.0,0.0,M,4.1,nan,0
2178527,1941-07-16T02:15:37Z,-44.0,0.0,168.0,0.0,33.0,0.0,M,5.0,nan,0
2178528,1941-07-17T01:39:55Z,-41.5,0.0,173.2,0.0,33.0,0.0,M,5.3,nan,0
2178529,1941-07-22T15:19:42Z,-41.7,0.0,174.2,0.0,12.0,0.0,M,4.8,nan,0
2178530,1941-07-24T11:53:00Z,-41.2,0.0,174.5,0.0,25.0,0.0,M,3.8,nan,0
2178531,1941-07-26T11:41:35Z,-41.1,0.0,173.3,0.0,12.0,0.0,M,4.9,nan,0
2178532,1941-08-03T04:37:56Z,-39.8,0.0,175.2,0.0,33.0,0.0,M,4.0,nan,0
2178533,1941-08-04T14:55:30Z,-42.9,0.0,172.8,0.0,25.0,0.0,M,4.2,nan,0
2178534,1941-08-08T00:03:06Z,-40.2,0.0,174.5,0.0,25.0,0.0,M,4.1,nan,0
2178535,1941-08-09T07:19:13Z,-40.4,0.0,173.9,0.0,185.0,0.0,M,4.9,nan,0
2178536,1941-08-09T22:39:31Z,-41.0,0.0,171.8,0.0,33.0,0.0,M,4.1,nan,0
2178537,1941-08-10T10:05:39Z,-44.2,0.0,168.5,0.0,33.0,0.0,M,5.4,nan,0
2178538,1941-08-14T16:55:36Z,-38.5,0.0,180.0,0.0,25.0,0.0,M,5.5,nan,0
2178539,1941-08-18T12:26:51Z,-40.3,0.0,176.6,0.0,33.0,0.0,M,3.8,nan,0
2178540,1941-08-21T21:27:03Z,-41.2,0.0,175.5,0.0,12.0,0.0,M,4.5,nan,0
2178541,1941-08-23T16:50:16Z,-41.9,0.0,172.7,0.0,33.0,0.0,M,4.7,nan,0
2178542,1941-08-24T08:46:00Z,-43.2,0.0,171.5,0.0,25.0,0.0,M,4.5,nan,0
2178543,1941-08-25T07:06:01Z,-41.1,0.0,173.8,0.0,12.0,0.0,M,5.0,nan,0
2178544,1941-08-27T04:56:00Z,-42.5,0.0,173.0,0.0,25.0,0.0,M,4.5,nan,0
2178545,1941-09-04T15:42:44Z,-41.1,0.0,172.3,0.0,12.0,0.0,M,4.2,nan,0
2178546,1941-09-04T17:00:00Z,-41.0,0.0,172.5,0.0,25.0,0.0,M,4.5,nan,0
2178547,1941-09-05T01:29:36Z,-38.4,0.0,176.4,0.0,200.0,0.0,M,4.9,nan,0
2178548,1941-09-06T15:22:00Z,-42.5,0.0,173.0,0.0,25.0,0.0,M,4.5,nan,0
2178549,1941-09-10T07:02:00Z,-40.0,0.0,175.0,0.0,25.0,0.0,M,4.5,nan,0
2178550,1941-09-14T17:15:00Z,-39.0,0.0,177.5,0.0,25.0,0.0,M,4.5,nan,0
2178551,1941-09-22T08:30:00Z,-41.2,0.0,172.5,0.0,25.0,0.0,M,4.5,nan,0
