PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount
1542853,1946-07-01T06:54:26Z,-43.18,0.1,171.65,0.2,12.0,0.0,ML,3.4,0.1,2
1542854,1946-07-01T15:36:58Z,-43.15,0.1,171.23,0.1,12.0,0.0,ML,4.0,0.5,2
1542855,1946-07-02T08:27:13Z,-43.27,0.1,171.4,0.1,12.0,0.0,ML,4.3,0.5,2
1542856,1946-07-04T10:16:48Z,-43.15,0.1,171.62,0.2,12.0,0.0,ML,3.8,0.3,2
1542857,1946-07-04T18:00:06Z,-40.46,0.0,172.83,0.1,12.0,0.0,ML,5.0,0.4,4
1542858,1946-07-04T18:00:54Z,-43.2,0.0,171.3,0.0,12.0,0.0,ML,4.7,nan,0
1542859,1946-07-06T08:29:23Z,-43.3,0.0,171.23,0.0,12.0,0.0,ML,3.5,nan,0
1542860,1946-07-06T18:20:05Z,-41.3,0.0,172.16,0.0,12.0,0.0,ML,4.0,nan,0
1542861,1946-07-07T07:55:22Z,-43.18,0.0,171.5,0.0,12.0,0.0,ML,3.6,0.1,2
1542862,1946-07-08T14:36:15Z,-38.09,0.1,175.89,0.1,175.0,13.0,ML,5.3,0.3,2
1542863,1946-07-08T17:51:39Z,-40.97,0.1,179.79,0.1,12.0,0.0,ML,4.5,nan,0
1542864,1946-07-09T01:12:11Z,-40.92,0.1,172.3,0.1,12.0,0.0,ML,4.8,0.2,3
1542865,1946-07-09T01:53:00Z,-43.21,0.2,171.81,0.3,12.0,0.0,ML,3.2,0.2,2
1542866,1946-07-09T07:55:16Z,-43.1,0.0,171.5,0.0,12.0,0.0,ML,3.0,nan,0
1542867,1946-07-09T10:12:52Z,-43.15,0.0,171.64,0.0,12.0,0.0,ML,3.4,0.1,2
1542868,1946-07-10T05:12:55Z,-38.17,0.1,176.97,0.1,234.0,7.0,ML,5.2,0.2,2
1542869,1946-07-12T23:05:30Z,-42.39,0.0,173.05,0.1,12.0,0.0,ML,4.1,0.3,4
1542870,1946-07-16T06:36:15Z,-43.32,0.1,173.42,0.1,12.0,0.0,ML,3.8,nan,0
1542871,1946-07-16T22:41:43Z,-42.54,0.0,173.1,0.1,12.0,0.0,ML,3.8,0.4,2
1542872,1946-07-20T10:04:17Z,-38.46,0.1,175.17,0.1,12.0,0.0,ML,5.4,nan,0
1542873,1946-07-22T15:59:52Z,-42.5,0.2,172.7,0.3,12.0,0.0,ML,3.3,nan,0
1542874,1946-07-24T05:09:27Z,-42.94,0.1,171.62,0.2,12.0,0.0,ML,3.5,0.4,2
1542875,1946-07-24T19:03:58Z,-42.35,0.0,173.09,0.0,12.0,0.0,ML,4.7,0.2,4
1542876,1946-07-25T01:39:28Z,-41.29,0.0,171.62,0.0,12.0,0.0,ML,3.8,nan,0
1542877,1946-07-25T16:44:54Z,-41.07,0.0,175.86,0.1,12.0,0.0,ML,3.4,nan,0
1542878,1946-07-30T01:42:44Z,-43.31,0.0,171.36,0.0,12.0,0.0,ML,4.0,nan,0
1542879,1946-07-31T10:12:31Z,-43.2,0.0,171.3,0.0,12.0,0.0,ML,3.0,nan,0
1542880,1946-07-31T10:17:13Z,-43.1,0.0,171.3,0.0,12.0,0.0,ML,3.5,nan,0
1542881,1946-08-07T00:01:42Z,-43.19,0.1,171.52,0.2,12.0,0.0,ML,3.7,nan,0
1542882,1946-08-09T01:37:05Z,-43.25,0.0,171.5,0.0,12.0,0.0,ML,2.9,nan,0
1542883,1946-08-12T05:08:43Z,-40.21,0.0,174.27,0.1,12.0,0.0,ML,4.3,0.3,3
1542884,1946-08-12T13:41:17Z,-40.15,0.0,-179.62,0.0,12.0,0.0,ML,5.0,0.1,3
1542885,1946-08-12T18:54:31Z,-43.33,0.0,171.33,0.0,12.0,0.0,ML,3.5,nan,2
1542886,1946-08-14T05:23:36Z,-38.5,0.0,178.8,0.0,12.0,0.0,ML,4.3,nan,0
1542887,1946-08-14T15:53:20Z,-38.3,0.0,176.44,0.0,238.0,3.0,ML,5.2,0.3,2
1542888,1946-08-16T12:38:30Z,-42.1,0.0,172.09,0.0,12.0,0.0,ML,3.5,nan,0
1542889,1946-08-17T04:39:01Z,-37.07,0.1,177.37,0.1,12.0,0.0,ML,5.3,0.4,3
1542890,1946-08-17T15:27:33Z,-40.89,0.0,171.49,0.1,12.0,0.0,ML,4.5,nan,0
1542891,1946-08-18T17:40:23Z,-37.85,0.1,177.12,0.2,279.0,10.0,ML,5.0,0.2,2
1542892,1946-08-21T21:38:20Z,-39.57,0.0,175.78,0.0,12.0,0.0,ML,4.9,0.1,4
1542893,1946-08-24T08:42:35Z,-40.3,0.0,176.1,0.0,12.0,0.0,ML,3.4,nan,0
1542894,1946-08-25T20:24:46Z,-40.59,0.0,174.2,0.0,12.0,0.0,ML,3.9,0.3,2
1542895,1946-08-26T04:28:43Z,-43.24,0.2,171.72,0.2,12.0,0.0,ML,3.3,0.1,2
1542896,1946-09-02T13:06:42Z,-38.7,0.0,178.5,0.0,12.0,0.0,ML,4.3,nan,0
1542897,1946-09-06T11:48:36Z,-40.84,0.0,174.74,0.1,83.0,11.0,ML,4.1,0.7,2
1542899,1946-09-12T13:31:42Z,-41.02,0.0,172.8,0.0,166.0,3.0,ML,5.0,nan,0
1542900,1946-09-12T14:31:56Z,-40.2,0.0,175.8,0.0,12.0,0.0,ML,4.2,nan,0
1542901,1946-09-14T10:51:28Z,-39.05,0.0,178.14,0.1,12.0,0.0,ML,5.2,0.1,4
1542902,1946-09-16T10:05:05Z,-41.2,0.0,175.0,0.0,12.0,0.0,ML,3.7,nan,0
1542903,1946-09-18T07:20:53Z,-41.54,0.0,173.23,0.0,12.0,0.0,ML,4.0,0.4,2
1542904,1946-09-22T00:26:53Z,-39.43,0.0,176.77,0.0,12.0,0.0,ML,4.6,nan,2
1542905,1946-09-22T16:59:44Z,-38.54,0.0,178.65,0.0,12.0,0.0,ML,4.3,nan,0
1542906,1946-09-24T06:40:37Z,-37.31,0.1,178.99,0.1,12.0,0.0,ML,5.5,0.4,4
1542907,1946-09-26T19:29:00Z,-42.21,0.0,168.58,0.1,12.0,0.0,ML,4.2,nan,0
1542908,1946-09-29T08:35:48Z,-35.16,0.1,178.84,0.3,200.0,0.0,ML,5.3,nan,2
1542909,1946-09-29T22:39:44Z,-39.41,0.0,176.44,0.1,12.0,0.0,ML,4.0,0.1,3
1542910,1946-10-08T01:57:04Z,-40.29,0.0,174.61,0.1,12.0,0.0,ML,4.2,0.4,2
1542912,1946-10-10T04:00:10Z,-40.59,0.0,173.28,0.1,12.0,0.0,ML,4.8,0.3,4
1542913,1946-10-11T04:07:18Z,-38.74,0.0,175.96,0.0,185.0,4.0,ML,4.8,0.1,2
1542914,1946-10-12T11:04:12Z,-41.07,0.0,173.16,0.0,12.0,0.0,ML,4.0,0.4,2
1542915,1946-10-12T19:55:31Z,-40.2,0.0,174.14,0.1,92.0,16.0,ML,4.7,0.4,2
1542916,1946-10-14T08:05:51Z,-42.13,0.1,172.39,0.1,12.0,0.0,ML,4.2,0.3,4
1542917,1946-10-14T16:50:57Z,-38.8,0.0,178.5,0.0,12.0,0.0,ML,4.2,nan,0
1542918,1946-10-15T02:39:31Z,-41.0,0.0,172.4,0.0,12.0,0.0,ML,4.2,nan,0
1542919,1946-10-15T22:11:28Z,-38.17,0.1,178.6,0.1,33.0,0.0,ML,4.6,0.1,2
1542920,1946-10-16T20:40:45Z,-40.92,0.0,173.89,0.1,12.0,0.0,ML,4.8,0.1,5
1542921,1946-10-20T15:15:29Z,-41.0,0.0,175.8,0.0,12.0,0.0,ML,3.6,nan,0
1542922,1946-10-21T05:00:46Z,-39.73,0.1,175.59,0.1,12.0,0.0,ML,4.0,0.2,3
1542923,1946-10-23T13:49:08Z,-41.04,0.1,178.52,0.3,12.0,0.0,ML,4.7,0.2,3
1542924,1946-10-26T03:29:02Z,-39.64,0.1,178.52,0.2,12.0,0.0,ML,4.9,0.6,2
1542925,1946-10-26T23:14:21Z,-41.12,0.0,173.52,0.0,12.0,0.0,ML,4.7,0.1,4
1542926,1946-11-04T16:53:58Z,-43.0,0.0,171.8,0.0,12.0,0.0,ML,2.9,0.2,2
1542927,1946-11-08T06:25:26Z,-37.26,0.0,178.23,0.0,12.0,0.0,ML,5.5,0.1,5
1542928,1946-11-11T22:53:43Z,-39.95,0.0,179.91,0.1,12.0,0.0,ML,4.5,0.2,2
1542929,1946-11-13T00:59:27Z,-38.93,0.0,175.55,0.0,224.0,5.0,ML,5.0,0.1,2
1542930,1946-11-17T09:07:29Z,-38.85,0.2,178.19,0.3,12.0,0.0,ML,4.7,nan,0
1542931,1946-11-21T16:09:54Z,-39.77,0.1,176.66,0.1,12.0,0.0,ML,4.2,0.2,3
1542933,1946-11-25T11:49:08Z,-41.03,0.1,172.93,0.0,12.0,0.0,ML,4.7,0.2,4
1542934,1946-11-29T15:53:53Z,-39.85,0.1,177.67,0.1,12.0,0.0,ML,4.4,0.3,3
1542935,1946-12-02T08:26:04Z,-41.37,0.1,175.72,0.1,33.0,0.0,ML,4.3,0.2,2
1542936,1946-12-03T07:17:29Z,-43.34,0.1,173.98,0.2,12.0,0.0,ML,4.0,0.8,2
1542937,1946-12-05T22:46:27Z,-40.56,0.1,172.67,0.3,12.0,0.0,ML,4.0,0.2,2
1542938,1946-12-09T17:45:17Z,-40.34,0.0,173.34,0.0,147.0,6.0,ML,5.1,nan,2
1542939,1946-12-12T10:55:37Z,-40.2,0.0,174.8,0.0,12.0,0.0,ML,3.5,nan,0
