PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount
1542952,1947-01-03T02:25:07Z,-41.82,0.0,173.14,0.0,33.0,0.0,ML,,,,4.0,0.2,3,,,
1542953,1947-01-05T03:58:23Z,-40.55,0.0,172.43,0.0,12.0,0.0,ML,,,,4.5,0.1,2,,,
1542954,1947-01-10T05:05:05Z,-38.0,0.0,176.61,0.0,239.0,2.0,ML,,,,5.2,0.3,2,,,
1542955,1947-01-10T16:09:23Z,-46.35,1.1,167.27,1.2,33.0,0.0,ML,,,,5.0,nan,0,,,
1542956,1947-01-15T10:34:57Z,-40.4,0.0,173.19,0.0,12.0,0.0,ML,,,,4.1,0.3,3,,,
1542957,1947-01-17T22:11:47Z,-43.31,0.0,171.3,0.1,33.0,0.0,ML,,,,4.4,0.2,3,,,
1542958,1947-01-19T19:22:30Z,-41.23,0.0,173.08,0.0,12.0,0.0,ML,,,,4.0,0.2,2,,,
1542959,1947-01-19T19:35:36Z,-44.5,0.0,167.4,0.0,33.0,0.0,ML,,,,4.3,nan,0,,,
1542960,1947-01-20T07:04:43Z,-37.73,0.0,176.76,0.0,238.0,0.0,ML,,,,4.9,nan,0,,,
1542961,1947-01-20T22:08:59Z,-38.33,0.0,177.68,0.0,137.0,2.0,ML,,,,4.8,0.1,2,,,
1542962,1947-01-22T20:23:13Z,-41.51,0.0,173.15,0.0,12.0,0.0,ML,,,,5.0,0.2,4,,,
1542963,1947-01-24T23:54:42Z,-38.29,0.1,176.8,0.1,173.0,10.0,ML,,,,4.8,0.1,2,,,
1542964,1947-01-27T13:03:08Z,-39.49,0.0,175.46,0.0,12.0,0.0,ML,,,,3.5,nan,0,,,
1542965,1947-01-27T21:40:21Z,-38.62,0.0,176.67,0.1,186.0,6.0,ML,,,,4.7,nan,0,,,
1542966,1947-01-28T23:13:33Z,-42.52,0.0,173.17,0.1,12.0,0.0,ML,,,,4.0,nan,0,,,
1542967,1947-01-30T08:44:08Z,-39.32,0.1,175.54,0.1,12.0,0.0,ML,,,,4.3,nan,0,,,
1542968,1947-02-02T08:44:41Z,-41.87,0.2,179.15,0.2,12.0,0.0,ML,,,,4.6,0.3,2,,,
1542969,1947-02-03T13:26:12Z,-42.65,0.1,177.7,0.1,12.0,0.0,ML,,,,4.5,nan,0,,,
1542970,1947-02-04T21:06:23Z,-43.28,0.0,171.3,0.0,33.0,0.0,ML,,,,3.9,0.3,2,,,
1542971,1947-02-04T21:14:37Z,-43.2,0.0,171.4,0.0,33.0,0.0,ML,,,,2.9,nan,0,,,
1542972,1947-02-05T20:58:06Z,-38.9,0.1,175.84,0.0,12.0,0.0,ML,,,,4.1,nan,2,,,
1542973,1947-02-08T18:45:01Z,-43.18,0.0,171.64,0.0,12.0,0.0,ML,,,,3.8,nan,2,,,
1542974,1947-02-09T04:19:02Z,-43.14,0.0,171.75,0.1,12.0,0.0,ML,,,,3.5,nan,2,,,
1542975,1947-02-10T19:25:23Z,-41.45,0.0,171.64,0.1,12.0,0.0,ML,,,,4.4,0.2,4,,,
1542977,1947-02-11T07:04:15Z,-39.07,0.0,175.92,0.0,33.0,0.0,ML,,,,4.0,0.1,2,,,
1542978,1947-02-15T03:09:31Z,-40.71,0.1,176.06,0.1,33.0,0.0,ML,,,,3.4,nan,0,,,
1542979,1947-02-16T15:30:20Z,-40.96,0.0,173.69,0.0,33.0,0.0,ML,,,,4.2,0.3,2,,,
1542980,1947-02-16T22:03:15Z,-41.12,0.0,174.7,0.1,84.0,8.0,ML,,,,4.8,nan,0,,,
1542981,1947-02-17T09:48:53Z,-38.12,0.0,176.39,0.0,296.0,1.0,ML,,,,6.2,0.1,2,,,
1542982,1947-02-23T10:42:38Z,-40.1,0.0,174.53,0.0,12.0,0.0,ML,,,,4.2,0.1,2,,,
1542984,1947-03-03T20:51:23Z,-39.82,0.0,174.75,0.0,33.0,0.0,ML,,,,4.7,nan,0,,,
1542985,1947-03-04T06:07:20Z,-39.04,0.1,175.99,0.1,33.0,0.0,ML,,,,4.0,0.5,2,,,
1542986,1947-03-06T13:08:50Z,-38.44,0.0,176.84,0.0,169.0,0.0,ML,,,,4.8,0.1,2,,,
1542987,1947-03-06T15:48:41Z,-39.06,0.0,175.92,0.0,33.0,0.0,ML,,,,4.2,nan,0,,,
1542988,1947-03-13T22:03:11Z,-40.9,0.0,175.9,0.0,33.0,0.0,ML,,,,3.7,nan,0,,,
1542989,1947-03-14T10:48:10Z,-40.67,0.0,174.96,0.0,12.0,0.0,ML,,,,4.3,0.1,2,,,
1542990,1947-03-15T01:23:53Z,-40.67,0.0,174.96,0.0,12.0,0.0,ML,,,,3.5,nan,0,,,
1542991,1947-03-16T14:51:56Z,-40.04,0.0,174.16,0.1,12.0,0.0,ML,,,,4.6,0.4,2,,,
1542992,1947-03-22T19:00:38Z,-39.68,0.0,176.65,0.0,12.0,0.0,ML,,,,4.1,0.1,3,,,
1542993,1947-03-25T20:32:07Z,-38.85,0.1,178.8,0.1,12.0,0.0,Mw,7.2,nan,0,5.9,0.3,4,7.0,nan,0
1542994,1947-03-25T22:14:47Z,-38.0,0.0,177.3,0.0,12.0,0.0,ML,,,,3.7,nan,0,,,
1542995,1947-03-26T07:18:06Z,-40.1,0.0,174.75,0.0,12.0,0.0,ML,,,,3.5,nan,2,,,
1542996,1947-03-26T09:08:01Z,-42.7,0.0,172.6,0.0,12.0,0.0,ML,,,,4.4,nan,0,,,
1542997,1947-03-27T18:25:17Z,-39.15,0.0,178.38,0.1,12.0,0.0,ML,,,,5.3,0.1,3,,,
1542998,1947-03-29T23:48:19Z,-38.98,0.0,178.85,0.0,33.0,0.0,ML,,,,4.7,0.1,2,,,
1542999,1947-03-30T02:53:38Z,-39.24,0.1,178.01,0.2,33.0,0.0,ML,,,,4.9,0.3,3,,,
1543000,1947-04-01T10:05:29Z,-42.3,0.0,175.85,0.0,33.0,0.0,ML,,,,3.8,nan,0,,,
1543001,1947-04-02T03:03:26Z,-39.85,0.0,176.67,0.1,12.0,0.0,ML,,,,4.3,0.2,2,,,
1543002,1947-04-02T14:44:15Z,-37.19,0.1,176.55,0.1,33.0,0.0,ML,,,,5.1,0.7,2,,,
1543003,1947-04-02T16:25:51Z,-39.32,0.1,178.55,0.3,12.0,0.0,ML,,,,4.4,0.2,3,,,
1543004,1947-04-02T17:23:39Z,-39.11,0.1,177.87,0.1,33.0,0.0,ML,,,,4.2,0.5,3,,,
1543005,1947-04-02T21:45:39Z,-39.37,0.1,178.52,0.1,12.0,0.0,ML,,,,4.9,0.2,3,,,
1543006,1947-04-03T21:10:46Z,-39.37,0.1,178.67,0.1,12.0,0.0,ML,,,,5.2,0.1,4,,,
1543007,1947-04-04T01:38:41Z,-39.25,0.1,178.24,0.2,33.0,0.0,ML,,,,4.9,nan,0,,,
1543008,1947-04-04T12:28:42Z,-39.15,0.1,178.19,0.2,33.0,0.0,ML,,,,4.8,nan,2,,,
1543009,1947-04-04T16:26:16Z,-39.47,0.1,177.48,0.1,12.0,0.0,ML,,,,4.0,0.5,3,,,
1543010,1947-04-07T09:44:54Z,-39.51,0.0,177.94,0.0,12.0,0.0,ML,,,,4.6,0.5,3,,,
1543011,1947-04-08T09:30:36Z,-37.5,0.0,177.2,0.0,33.0,0.0,ML,,,,4.1,nan,0,,,
