PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount
1545187,1955-01-02T02:49:09Z,-38.91,0.1,175.06,0.1,218.0,11.0,ML,3.8,0.2,2,,,
1545188,1955-01-02T14:00:38Z,-37.4,0.1,177.19,0.3,277.0,16.0,ML,4.9,0.1,2,,,
1545189,1955-01-03T03:51:56Z,-38.47,0.0,175.64,0.0,179.0,3.0,ML,3.9,nan,2,,,
1545190,1955-01-07T02:01:56Z,-39.31,0.1,174.87,0.1,212.0,15.0,ML,4.7,0.4,2,,,
1545191,1955-01-11T17:53:26Z,-38.69,0.0,178.24,0.1,33.0,0.0,ML,4.8,0.2,7,,,
1545192,1955-01-14T12:37:17Z,-39.17,0.0,175.18,0.1,164.0,11.0,ML,4.0,0.1,2,,,
1545193,1955-01-14T21:58:59Z,-36.88,0.1,179.18,0.1,33.0,0.0,ML,4.8,0.2,6,,,
1545194,1955-01-15T19:17:39Z,-38.19,0.1,176.26,0.1,223.0,10.0,ML,5.0,0.1,2,,,
1545195,1955-01-16T01:02:08Z,-38.23,0.1,177.03,0.1,94.0,18.0,ML,4.3,0.3,2,,,
2183110,1955-01-19T07:15:00Z,-38.1,0.0,176.2,0.0,25.0,0.0,M,,,,4.5,nan,0
1545196,1955-01-19T08:18:20Z,-38.34,0.1,178.31,0.2,33.0,0.0,ML,3.8,0.1,2,,,
2183111,1955-01-19T10:20:00Z,-38.1,0.0,176.2,0.0,25.0,0.0,M,,,,4.5,nan,0
2183112,1955-01-19T10:30:00Z,-38.1,0.0,176.2,0.0,25.0,0.0,M,,,,4.5,nan,0
2183113,1955-01-19T12:02:00Z,-38.1,0.0,176.2,0.0,25.0,0.0,M,,,,4.5,nan,0
2183114,1955-01-19T12:55:00Z,-38.1,0.0,176.2,0.0,25.0,0.0,M,,,,4.5,nan,0
2183115,1955-01-19T13:20:00Z,-38.1,0.0,176.2,0.0,25.0,0.0,M,,,,4.5,nan,0
2183116,1955-01-19T15:20:00Z,-38.1,0.0,176.2,0.0,25.0,0.0,M,,,,4.5,nan,0
1545197,1955-01-23T01:59:16Z,-38.73,0.1,175.52,0.1,133.0,11.0,ML,4.5,0.2,2,,,
1545198,1955-01-26T03:30:45Z,-41.4,0.0,173.06,0.0,82.0,6.0,ML,4.5,nan,1,,,
1545199,1955-01-27T01:06:37Z,-38.76,0.0,175.95,0.0,190.0,2.0,ML,4.0,0.4,2,,,
1545201,1955-01-28T12:13:40Z,-38.5,0.1,175.65,0.1,159.0,14.0,ML,4.1,0.1,2,,,
1545202,1955-02-03T15:32:48Z,-38.51,0.1,174.23,0.1,33.0,0.0,ML,3.9,0.1,4,,,
1545203,1955-02-05T11:03:07Z,-39.89,0.2,176.69,0.3,12.0,0.0,ML,3.9,0.3,6,,,
1545204,1955-02-05T18:51:11Z,-38.69,0.1,175.89,0.1,174.0,13.0,ML,4.5,0.1,2,,,
1545205,1955-02-06T16:49:21Z,-37.77,0.1,176.94,0.1,12.0,0.0,ML,4.9,0.3,7,,,
1545206,1955-02-07T03:38:48Z,-37.04,0.1,178.59,0.1,178.0,15.0,ML,5.5,0.1,2,,,
1545207,1955-02-08T10:38:57Z,-39.89,0.0,175.68,0.1,33.0,0.0,ML,5.1,0.1,7,,,
1545208,1955-02-10T14:51:07Z,-40.9,0.0,174.21,0.0,33.0,0.0,ML,3.8,0.2,4,,,
2183117,1955-02-13T15:07:00Z,-45.0,0.0,168.7,0.0,25.0,0.0,M,,,,4.5,nan,0
1545209,1955-02-13T16:00:15Z,-39.13,0.1,174.8,0.1,196.0,10.0,ML,4.8,0.1,2,,,
1545210,1955-02-16T01:09:46Z,-40.16,0.0,174.81,0.1,33.0,0.0,ML,4.1,0.2,5,,,
1545211,1955-02-18T10:10:22Z,-38.64,0.1,176.11,0.1,131.0,18.0,ML,3.8,0.1,2,,,
2183118,1955-02-20T18:27:00Z,-45.0,0.0,168.7,0.0,25.0,0.0,M,,,,4.5,nan,0
1545212,1955-02-24T12:28:37Z,-38.41,0.0,175.87,0.1,169.0,5.0,ML,4.0,0.1,2,,,
1545213,1955-02-25T21:36:21Z,-41.07,0.1,172.35,0.1,12.0,0.0,ML,4.1,0.1,4,,,
2183119,1955-02-27T08:10:00Z,-40.2,0.0,176.1,0.0,25.0,0.0,M,,,,4.5,nan,0
2183121,1955-02-28T11:30:00Z,-38.0,0.0,176.8,0.0,25.0,0.0,M,,,,4.5,nan,0
1545214,1955-03-01T22:55:55Z,-38.45,0.1,176.25,0.1,162.0,11.0,ML,4.7,0.2,2,,,
1545215,1955-03-02T12:19:08Z,-41.14,0.1,175.95,0.2,12.0,0.0,ML,3.8,0.2,3,,,
1545216,1955-03-03T03:14:07Z,-39.15,0.1,174.79,0.1,205.0,10.0,ML,4.9,0.3,2,,,
1545217,1955-03-03T16:02:01Z,-35.48,0.2,179.1,0.3,232.0,53.0,ML,5.7,0.1,2,,,
1545219,1955-03-06T14:36:29Z,-40.8,0.0,173.0,0.1,215.0,8.0,ML,4.7,0.1,2,,,
1545220,1955-03-13T15:15:53Z,-38.85,0.0,176.25,0.1,110.0,16.0,ML,3.8,0.1,2,,,
1545221,1955-03-14T13:12:00Z,-38.78,0.1,175.61,0.1,188.0,15.0,ML,4.3,0.1,2,,,
1545222,1955-03-17T17:12:54Z,-41.29,0.1,175.66,0.1,33.0,0.0,ML,4.2,0.2,4,,,
1545223,1955-03-19T01:11:33Z,-40.87,0.0,174.34,0.1,84.0,9.0,ML,4.5,nan,1,,,
2183122,1955-03-21T06:03:00Z,-38.0,0.0,176.8,0.0,25.0,0.0,M,,,,4.5,nan,0
1545224,1955-03-22T01:07:23Z,-38.93,0.1,173.47,0.1,33.0,0.0,ML,4.1,0.2,5,,,
1545225,1955-04-07T13:29:54Z,-37.21,0.2,177.78,0.4,206.0,31.0,ML,4.6,0.1,2,,,
1545226,1955-04-09T13:44:26Z,-37.92,0.1,176.08,0.1,300.0,9.0,ML,4.4,0.1,2,,,
1545227,1955-04-10T04:50:13Z,-40.9,0.1,173.79,0.1,107.0,14.0,ML,4.2,nan,1,,,
1545228,1955-04-19T01:52:56Z,-41.62,0.0,173.2,0.0,12.0,0.0,ML,4.9,0.4,6,,,
1545229,1955-04-20T07:55:14Z,-38.49,0.0,175.24,0.1,271.0,7.0,ML,5.0,0.2,2,,,
1545231,1955-04-30T09:05:01Z,-42.78,0.1,170.95,0.3,33.0,0.0,ML,3.7,0.4,4,,,
1545232,1955-04-30T14:23:22Z,-42.93,0.2,171.47,0.2,12.0,0.0,ML,4.8,0.4,6,,,
1545233,1955-04-30T16:04:23Z,-42.71,0.0,171.6,0.0,12.0,0.0,ML,3.6,0.1,2,,,
1545234,1955-04-30T21:13:38Z,-37.68,0.1,177.23,0.1,165.0,12.0,ML,4.5,nan,1,,,
1545235,1955-05-02T21:31:00Z,-40.93,0.0,174.65,0.1,33.0,0.0,ML,4.3,0.3,5,,,
1545238,1955-05-05T11:16:31Z,-41.44,0.4,172.14,0.4,33.0,0.0,ML,3.4,0.3,2,,,
1545239,1955-05-10T20:14:09Z,-41.42,0.1,171.99,0.1,12.0,0.0,ML,4.9,0.3,8,,,
1545240,1955-05-13T16:09:55Z,-40.15,0.1,175.01,0.1,12.0,0.0,ML,4.5,0.4,7,,,
1545241,1955-05-14T04:52:11Z,-37.36,0.1,176.79,0.2,328.0,25.0,ML,5.2,0.1,2,,,
