PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,M,M_Uncertainty,M_StationCount
1545348,1956-01-06T09:57:58Z,-41.67,0.1,174.16,0.1,83.0,22.0,ML,,,,3.8,nan,1,,,,,,
1545349,1956-01-06T17:55:50Z,-41.47,0.1,173.71,0.1,77.0,43.0,ML,,,,3.6,nan,1,,,,,,
1545350,1956-01-07T12:00:43Z,-41.12,0.3,177.2,0.5,33.0,0.0,ML,,,,4.0,0.2,5,,,,,,
1545351,1956-01-08T08:18:18Z,-38.74,0.0,175.68,0.1,147.0,6.0,ML,,,,4.8,0.2,2,,,,,,
1545352,1956-01-08T16:39:10Z,-37.99,0.1,174.91,0.1,12.0,0.0,ML,,,,3.7,0.8,5,,,,,,
1545353,1956-01-11T05:40:24Z,-39.21,0.1,175.0,0.2,213.0,13.0,ML,,,,6.0,nan,1,,,,,,
1545354,1956-01-11T14:59:34Z,-35.47,0.2,178.64,0.4,248.0,47.0,ML,,,,5.0,0.1,2,,,,,,
1545355,1956-01-13T06:33:05Z,-38.88,0.1,175.77,0.1,122.0,18.0,ML,,,,3.8,0.1,2,,,,,,
1545356,1956-01-13T07:01:56Z,-38.61,0.2,175.16,0.3,176.0,42.0,ML,,,,4.1,0.1,2,,,,,,
1545357,1956-01-13T07:11:19Z,-38.86,0.0,175.63,0.0,33.0,0.0,ML,,,,4.5,0.1,5,,,,,,
1545358,1956-01-13T07:18:34Z,-38.96,0.1,175.7,0.1,33.0,0.0,ML,,,,4.2,0.1,4,,,,,,
1545359,1956-01-13T07:23:03Z,-38.83,0.1,175.81,0.1,139.0,22.0,ML,,,,4.1,nan,2,,,,,,
1545361,1956-01-13T16:37:42Z,-39.57,0.1,176.98,0.1,33.0,0.0,ML,,,,3.6,0.3,3,,,,,,
1545362,1956-01-20T09:03:39Z,-40.12,0.1,178.14,0.2,33.0,0.0,ML,,,,4.9,0.2,7,,,,,,
1545363,1956-01-20T16:36:49Z,-37.22,0.1,177.11,0.3,230.0,20.0,ML,,,,4.2,0.2,2,,,,,,
1545364,1956-01-20T18:00:48Z,-38.54,0.0,175.88,0.1,205.0,11.0,ML,,,,5.2,0.4,2,,,,,,
1545365,1956-01-22T13:35:27Z,-37.44,0.1,174.55,0.2,33.0,0.0,ML,,,,4.0,0.6,5,,,,,,
1545367,1956-01-28T15:10:44Z,-39.45,0.0,174.51,0.1,153.0,8.0,ML,,,,4.3,0.1,2,,,,,,
1545368,1956-01-30T08:43:01Z,-37.1,0.1,177.42,0.2,12.0,0.0,Mw,6.4,nan,0,5.9,0.4,5,6.3,nan,0,,,
1545369,1956-01-30T09:47:23Z,-36.89,0.2,177.41,0.2,12.0,0.0,ML,,,,5.5,0.5,4,,,,,,
1545370,1956-01-30T09:52:16Z,-37.0,0.2,176.96,0.2,12.0,0.0,ML,,,,5.0,0.2,6,,,,,,
1545371,1956-01-30T10:01:50Z,-36.87,0.1,177.25,0.1,12.0,0.0,ML,,,,5.6,0.5,6,,,,,,
1545372,1956-01-31T07:09:01Z,-39.23,0.1,177.83,0.2,60.0,17.0,ML,,,,5.2,nan,1,,,,,,
1545373,1956-02-08T10:32:58Z,-38.26,0.1,175.96,0.1,229.0,13.0,ML,,,,6.0,nan,2,,,,,,
1545374,1956-02-08T23:14:01Z,-38.73,0.1,177.89,0.2,12.0,0.0,ML,,,,4.2,0.3,3,,,,,,
1545375,1956-02-10T00:49:41Z,-37.41,0.1,177.08,0.1,12.0,0.0,ML,,,,4.2,0.3,3,,,,,,
1545376,1956-02-14T14:54:16Z,-42.98,0.0,172.87,0.1,33.0,0.0,ML,,,,4.6,0.2,6,,,,,,
1545378,1956-02-17T09:43:34Z,-42.08,0.1,173.86,0.1,12.0,0.0,ML,,,,5.1,0.3,8,,,,,,
1545379,1956-02-18T13:29:53Z,-38.45,0.2,176.15,0.2,264.0,22.0,ML,,,,4.2,0.2,2,,,,,,
1545380,1956-02-21T01:41:56Z,-42.81,0.1,171.3,0.3,12.0,0.0,ML,,,,4.5,0.2,4,,,,,,
1545381,1956-02-21T20:55:29Z,-37.58,0.1,177.03,0.2,33.0,0.0,ML,,,,4.0,0.4,3,,,,,,
1545382,1956-02-21T23:24:33Z,-42.79,0.1,171.26,0.3,12.0,0.0,ML,,,,4.0,0.3,4,,,,,,
1545383,1956-02-22T21:57:36Z,-40.98,0.1,174.74,0.2,12.0,0.0,ML,,,,3.8,0.2,4,,,,,,
1545385,1956-02-27T03:27:28Z,-39.24,0.0,174.82,0.0,220.0,5.0,ML,,,,5.2,0.1,2,,,,,,
1545387,1956-02-29T17:15:18Z,-38.94,0.0,176.32,0.1,84.0,16.0,ML,,,,4.2,nan,1,,,,,,
1545388,1956-03-01T14:46:01Z,-37.17,0.1,177.28,0.2,132.0,30.0,ML,,,,4.0,0.1,2,,,,,,
1545389,1956-03-02T02:33:21Z,-38.88,0.1,175.77,0.1,12.0,0.0,ML,,,,4.5,0.1,5,,,,,,
1545390,1956-03-02T07:59:48Z,-38.83,0.0,175.8,0.0,12.0,0.0,ML,,,,4.3,0.3,6,,,,,,
1545391,1956-03-02T11:45:43Z,-40.73,0.3,175.31,0.6,33.0,0.0,ML,,,,4.2,nan,2,,,,,,
1545392,1956-03-02T22:43:51Z,-38.9,0.0,175.8,0.0,12.0,0.0,ML,,,,5.3,0.1,6,,,,,,
1545393,1956-03-03T01:20:54Z,-38.88,0.0,175.71,0.1,12.0,0.0,ML,,,,4.4,0.1,5,,,,,,
1545394,1956-03-03T02:20:16Z,-38.89,0.0,175.76,0.0,12.0,0.0,ML,,,,4.3,0.2,6,,,,,,
1545395,1956-03-03T02:32:48Z,-38.89,0.0,175.76,0.0,12.0,0.0,ML,,,,4.3,0.2,6,,,,,,
1545396,1956-03-03T03:18:04Z,-38.85,0.0,175.78,0.0,12.0,0.0,ML,,,,4.5,0.2,6,,,,,,
1545397,1956-03-05T01:21:43Z,-38.95,0.0,175.75,0.1,12.0,0.0,ML,,,,4.1,0.3,4,,,,,,
1545398,1956-03-08T08:52:05Z,-36.18,0.2,177.27,0.2,12.0,0.0,ML,,,,4.7,0.3,3,,,,,,
1545399,1956-03-10T20:15:45Z,-44.68,0.3,167.47,0.3,33.0,0.0,ML,,,,4.8,0.3,4,,,,,,
1545400,1956-03-13T17:26:26Z,-43.5,0.2,167.63,0.2,33.0,0.0,ML,,,,4.6,0.2,3,,,,,,
1545401,1956-03-14T11:29:17Z,-36.71,0.0,178.01,0.1,12.0,0.0,ML,,,,5.3,nan,1,,,,,,
1545402,1956-03-14T14:19:12Z,-36.47,0.2,177.48,0.2,12.0,0.0,ML,,,,5.6,nan,1,,,,,,
1545403,1956-03-14T14:39:34Z,-36.75,0.7,177.55,0.8,12.0,0.0,ML,,,,5.2,nan,1,,,,,,
1545404,1956-03-14T15:38:46Z,-36.51,0.2,177.34,0.3,12.0,0.0,ML,,,,5.5,0.4,3,,,,,,
1545405,1956-03-14T15:43:25Z,-36.23,0.2,177.15,0.3,12.0,0.0,ML,,,,5.9,0.6,3,,,,,,
1545406,1956-03-14T15:48:35Z,-37.36,0.1,178.01,0.3,12.0,0.0,ML,,,,4.4,0.6,2,,,,,,
1545407,1956-03-14T16:14:02Z,-36.42,0.3,176.96,0.7,12.0,0.0,ML,,,,5.3,0.3,3,,,,,,
1545408,1956-03-14T16:17:13Z,-36.7,0.0,177.7,0.0,12.0,0.0,ML,,,,5.0,nan,1,,,,,,
