PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount
1545710,1958-01-07T12:19:16Z,-38.97,0.0,174.85,0.1,206.0,5.0,ML,,,,4.0,nan,1
1545711,1958-01-08T13:02:32Z,-40.99,0.1,174.34,0.1,12.0,0.0,ML,,,,4.5,0.2,4
1545712,1958-01-09T15:10:29Z,-37.5,0.0,176.8,0.0,12.0,0.0,ML,,,,3.2,nan,0
1545713,1958-01-10T01:30:35Z,-38.38,0.1,175.65,0.1,202.0,6.0,ML,,,,4.3,nan,1
1545714,1958-01-12T00:25:38Z,-41.79,0.1,173.65,0.1,12.0,0.0,ML,,,,4.3,0.3,3
1545716,1958-01-17T10:37:00Z,-40.83,0.0,174.05,0.0,12.0,0.0,ML,,,,4.3,0.2,6
1545717,1958-01-27T02:01:32Z,-39.51,0.1,176.4,0.2,12.0,0.0,ML,,,,4.5,0.2,5
1545718,1958-01-28T22:50:26Z,-40.15,0.0,176.73,0.1,12.0,0.0,ML,,,,4.5,0.2,4
1545719,1958-01-30T01:25:42Z,-46.22,0.1,167.12,0.1,12.0,0.0,ML,,,,4.8,0.2,4
1545720,1958-01-31T06:32:39Z,-39.85,0.1,176.58,0.2,12.0,0.0,MS,5.1,nan,0,6.1,0.2,4
1545721,1958-01-31T09:27:25Z,-42.12,0.0,174.06,0.0,33.0,0.0,ML,,,,4.2,0.3,4
1545722,1958-01-31T11:28:49Z,-39.99,0.1,175.43,0.2,12.0,0.0,ML,,,,3.9,0.2,4
1545723,1958-02-06T14:46:05Z,-40.11,0.1,174.89,0.2,33.0,0.0,ML,,,,4.2,nan,1
1545724,1958-02-06T18:08:49Z,-39.17,0.0,175.32,0.0,12.0,0.0,ML,,,,3.5,0.4,2
1545725,1958-02-08T16:06:13Z,-37.69,0.1,178.92,0.2,33.0,0.0,ML,,,,4.7,0.1,4
1545726,1958-02-10T11:01:47Z,-38.2,0.1,177.43,0.3,33.0,0.0,ML,,,,4.2,0.3,3
1545727,1958-02-13T23:27:22Z,-37.55,0.0,175.89,0.1,347.0,3.0,ML,,,,4.9,nan,1
1545728,1958-02-16T02:02:33Z,-36.41,0.2,176.76,0.4,33.0,0.0,ML,,,,5.0,0.5,4
1545729,1958-02-22T23:32:02Z,-41.41,0.1,174.41,0.1,12.0,0.0,ML,,,,4.0,0.3,3
1545730,1958-02-24T01:50:43Z,-40.49,0.1,176.47,0.2,12.0,0.0,ML,,,,4.1,0.3,4
1545731,1958-02-24T10:06:05Z,-37.75,0.2,176.69,0.4,261.0,30.0,ML,,,,5.2,0.1,2
1545732,1958-02-25T12:45:12Z,-37.08,0.1,177.72,0.2,186.0,17.0,ML,,,,4.8,0.1,2
1545733,1958-02-27T08:40:26Z,-38.45,0.2,175.69,0.2,140.0,28.0,ML,,,,4.0,0.3,2
1545734,1958-02-27T17:43:16Z,-39.47,0.1,174.17,0.1,194.0,9.0,ML,,,,4.2,0.1,2
1545735,1958-03-02T15:42:07Z,-40.85,0.1,172.82,0.2,12.0,0.0,ML,,,,3.4,0.2,2
1545736,1958-03-02T22:29:10Z,-40.74,0.1,172.93,0.1,12.0,0.0,ML,,,,3.7,0.3,2
1545737,1958-03-03T08:03:49Z,-40.7,0.0,172.9,0.0,12.0,0.0,ML,,,,3.2,0.4,2
1545738,1958-03-05T05:36:55Z,-35.08,0.1,178.91,0.2,276.0,24.0,ML,,,,5.8,0.1,2
1545739,1958-03-05T23:31:52Z,-38.36,0.0,176.01,0.1,167.0,11.0,ML,,,,4.9,nan,1
1545740,1958-03-06T16:33:54Z,-37.88,0.1,177.23,0.1,12.0,0.0,ML,,,,3.1,nan,1
1545742,1958-03-15T09:54:44Z,-38.38,0.1,176.08,0.1,196.0,15.0,ML,,,,4.7,nan,2
1545743,1958-03-16T16:38:50Z,-42.14,0.1,177.67,0.1,33.0,0.0,ML,,,,4.4,0.2,5
1545744,1958-03-16T22:22:40Z,-39.35,0.1,175.19,0.1,33.0,0.0,ML,,,,4.2,0.3,4
