PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount
1545848,1959-01-06T22:57:49Z,-39.25,0.1,174.87,0.1,207.0,14.0,ML,,,,4.2,0.1,2,,,
2183131,1959-01-07T16:15:00Z,-38.4,0.0,176.3,0.0,25.0,0.0,M,,,,,,,4.5,nan,0
2183132,1959-01-07T16:30:00Z,-38.4,0.0,176.3,0.0,25.0,0.0,M,,,,,,,4.5,nan,0
1545849,1959-01-09T17:08:28Z,-41.74,0.1,173.94,0.1,12.0,0.0,ML,,,,4.6,0.2,5,,,
1545851,1959-01-10T15:43:06Z,-37.43,0.1,177.33,0.2,162.0,16.0,ML,,,,4.4,0.1,2,,,
1545853,1959-01-12T00:35:30Z,-42.05,0.0,172.38,0.0,12.0,0.0,ML,,,,4.2,0.4,5,,,
1545854,1959-01-12T10:21:50Z,-42.96,0.1,173.21,0.1,12.0,0.0,ML,,,,3.6,0.3,5,,,
1545855,1959-01-20T15:41:01Z,-38.07,0.1,177.59,0.2,116.0,11.0,ML,,,,4.6,0.3,2,,,
1545856,1959-01-24T10:49:08Z,-37.45,0.1,177.36,0.2,187.0,22.0,ML,,,,5.3,nan,1,,,
1545857,1959-01-28T10:18:11Z,-40.19,0.0,175.01,0.1,12.0,0.0,ML,,,,4.0,0.1,2,,,
1545858,1959-02-03T23:23:20Z,-39.75,0.1,174.25,0.1,33.0,0.0,ML,,,,5.5,0.7,5,,,
1545859,1959-02-04T21:47:49Z,-40.16,0.1,173.42,0.1,165.0,14.0,ML,,,,4.5,0.1,2,,,
1545861,1959-02-05T19:43:13Z,-40.83,0.1,173.14,0.2,176.0,14.0,ML,,,,4.3,0.1,2,,,
1545862,1959-02-06T06:18:34Z,-38.46,0.2,176.96,0.2,179.0,12.0,ML,,,,4.0,0.1,2,,,
1545863,1959-02-08T22:57:05Z,-42.03,0.1,173.93,0.1,12.0,0.0,ML,,,,3.9,0.4,4,,,
1545864,1959-02-10T16:22:21Z,-39.08,0.0,175.61,0.1,118.0,5.0,ML,,,,4.2,0.4,2,,,
1545865,1959-02-12T03:50:10Z,-38.57,0.1,176.7,0.1,12.0,0.0,ML,,,,4.4,0.3,4,,,
1545866,1959-02-13T09:01:52Z,-37.79,0.0,177.1,0.0,33.0,0.0,ML,,,,3.3,nan,1,,,
1545867,1959-02-15T15:30:18Z,-39.18,0.1,174.7,0.2,204.0,21.0,ML,,,,3.7,nan,1,,,
1545868,1959-02-17T16:37:52Z,-38.79,0.2,176.4,0.1,129.0,12.0,ML,,,,4.7,0.2,2,,,
1545869,1959-02-18T12:06:00Z,-38.5,0.0,176.0,0.0,33.0,0.0,ML,,,,3.2,nan,1,,,
1545870,1959-02-19T21:15:46Z,-41.2,0.2,175.55,0.2,33.0,0.0,ML,,,,4.3,0.6,4,,,
1545871,1959-02-20T14:17:01Z,-37.95,0.3,176.43,0.8,187.0,50.0,ML,,,,4.0,nan,1,,,
1545872,1959-02-23T07:20:05Z,-40.16,0.0,175.09,0.1,12.0,0.0,ML,,,,3.8,0.3,3,,,
1545873,1959-02-27T05:58:24Z,-39.07,0.1,175.66,0.1,126.0,15.0,ML,,,,4.2,nan,2,,,
1545875,1959-02-28T23:17:16Z,-38.17,0.1,176.17,0.4,286.0,25.0,ML,,,,4.2,0.2,2,,,
1545876,1959-03-02T08:58:02Z,-40.8,0.1,175.76,0.1,12.0,0.0,ML,,,,3.8,0.4,3,,,
1545877,1959-03-10T05:27:58Z,-38.19,0.2,177.49,0.5,12.0,0.0,ML,,,,4.5,0.1,5,,,
1545878,1959-03-11T00:30:02Z,-37.95,0.1,176.68,0.1,185.0,7.0,ML,,,,4.5,0.1,2,,,
