PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw,Mw_Uncertainty,Mw_StationCount
1549941,1968-01-01T20:34:12Z,-38.9,0.0,176.9,0.0,33.0,0.0,ML,,,,3.2,nan,0,,,,,,
1549942,1968-01-02T08:41:51Z,-38.13,0.0,177.33,0.1,33.0,0.0,ML,,,,3.2,0.1,3,,,,,,
1549943,1968-01-03T02:12:03Z,-37.14,0.1,177.48,0.1,234.0,13.0,ML,,,,4.7,0.3,5,,,,,,
1549944,1968-01-07T16:36:36Z,-44.81,0.0,167.49,0.1,33.0,0.0,ML,,,,3.7,0.2,3,,,,,,
1549945,1968-01-08T13:18:06Z,-39.74,0.0,174.08,0.0,142.0,6.0,ML,,,,3.8,0.2,2,,,,,,
1549946,1968-01-08T15:32:41Z,-42.06,0.1,174.24,0.1,33.0,0.0,ML,,,,4.4,0.3,6,,,,,,
1549947,1968-01-08T15:37:57Z,-42.07,0.0,174.21,0.1,33.0,0.0,ML,,,,4.7,0.2,8,,,,,,
1549948,1968-01-08T15:46:57Z,-42.26,0.1,174.23,0.1,33.0,0.0,ML,,,,4.5,0.2,3,,,,,,
1549949,1968-01-08T16:29:08Z,-42.03,0.0,174.19,0.0,33.0,0.0,ML,,,,3.9,0.2,4,,,,,,
1549950,1968-01-09T03:27:16Z,-42.06,0.1,174.21,0.1,33.0,0.0,ML,,,,4.7,0.4,9,,,,,,
1549951,1968-01-09T03:36:52Z,-41.97,0.0,174.14,0.0,33.0,0.0,ML,,,,3.6,0.2,5,,,,,,
1549952,1968-01-09T11:33:39Z,-42.02,0.1,174.14,0.0,33.0,0.0,ML,,,,3.6,0.4,4,,,,,,
1549953,1968-01-10T01:48:34Z,-39.79,0.0,176.95,0.1,33.0,0.0,ML,,,,3.8,0.3,5,,,,,,
1549954,1968-01-10T05:22:52Z,-38.48,0.1,174.96,0.3,167.0,17.0,ML,,,,3.9,0.4,3,,,,,,
1549955,1968-01-10T18:15:37Z,-37.07,0.1,177.03,0.2,205.0,34.0,ML,,,,4.0,0.1,3,,,,,,
1549956,1968-01-10T23:27:31Z,-37.89,0.1,176.15,0.1,221.0,14.0,ML,,,,4.5,0.1,1,,,,,,
1549957,1968-01-13T10:26:34Z,-38.22,0.0,176.16,0.1,164.0,5.0,ML,,,,4.2,0.4,4,,,,,,
1549958,1968-01-15T03:09:20Z,-38.07,0.1,176.15,0.2,207.0,17.0,ML,,,,3.8,0.4,2,,,,,,
1549959,1968-01-15T03:52:07Z,-38.32,0.1,177.88,0.3,149.0,30.0,ML,,,,4.4,0.3,2,,,,,,
1549960,1968-01-15T11:03:37Z,-44.0,0.0,170.0,0.0,12.0,0.0,ML,,,,3.1,nan,0,,,,,,
1549961,1968-01-19T11:55:47Z,-45.27,0.0,167.73,0.1,115.0,5.0,ML,,,,3.8,0.4,6,,,,,,
1549964,1968-01-22T06:47:32Z,-37.94,0.1,176.46,0.1,188.0,13.0,ML,,,,4.0,0.6,3,,,,,,
1549965,1968-01-23T15:10:55Z,-42.27,0.0,174.03,0.0,33.0,0.0,ML,,,,4.2,0.3,6,,,,,,
1549966,1968-01-24T03:36:04Z,-37.27,0.1,176.91,0.0,285.0,7.0,ML,,,,4.4,0.4,4,,,,,,
1549967,1968-01-24T05:15:30Z,-43.61,0.0,172.33,0.0,33.0,0.0,ML,,,,5.0,0.2,10,,,,,,
1549968,1968-01-24T06:42:31Z,-43.56,0.0,172.33,0.0,33.0,0.0,ML,,,,3.9,0.2,6,,,,,,
1549969,1968-01-24T07:56:03Z,-43.57,0.0,172.36,0.0,33.0,0.0,ML,,,,3.8,0.2,5,,,,,,
1549970,1968-01-24T14:43:47Z,-44.92,0.0,167.51,0.1,12.0,0.0,ML,,,,3.9,0.4,4,,,,,,
1549971,1968-01-25T13:26:24Z,-40.27,0.0,174.88,0.0,66.0,4.0,ML,,,,3.6,0.1,2,,,,,,
1549972,1968-01-26T16:19:02Z,-36.57,0.2,-179.58,0.2,164.0,40.0,ML,,,,4.9,0.2,4,,,,,,
1549973,1968-01-28T08:47:34Z,-37.94,0.0,176.3,0.0,206.0,6.0,ML,,,,5.0,0.2,3,,,,,,
1549974,1968-01-28T12:32:03Z,-35.42,0.1,179.34,0.2,331.0,19.0,ML,,,,4.6,0.2,3,,,,,,
1549975,1968-01-29T11:09:22Z,-43.37,0.0,170.92,0.1,12.0,0.0,ML,,,,3.5,0.3,3,,,,,,
1549977,1968-01-30T05:38:54Z,-38.98,0.0,175.77,0.0,12.0,0.0,ML,,,,5.3,0.2,3,,,,,,
1549978,1968-01-30T05:42:17Z,-38.99,0.1,175.75,0.2,12.0,0.0,ML,,,,3.5,0.2,3,,,,,,
1549979,1968-01-30T07:14:38Z,-38.69,0.1,176.67,0.0,12.0,0.0,ML,,,,3.4,0.2,4,,,,,,
1549981,1968-02-02T19:01:01Z,-38.4,0.0,176.28,0.0,12.0,0.0,ML,,,,4.1,0.2,8,,,,,,
