PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mb,Mb_Uncertainty,Mb_StationCount,Mw,Mw_Uncertainty,Mw_StationCount
1554710,1973-01-01T22:32:59Z,-44.95,0.0,167.6,0.1,33.0,0.0,ML,,,,5.0,0.3,12,,,,,,
1554711,1973-01-02T05:03:12Z,-44.98,0.0,167.9,0.1,33.0,0.0,ML,,,,3.4,0.3,7,,,,,,
1554712,1973-01-03T11:34:04Z,-37.96,0.0,176.69,0.0,12.0,0.0,ML,,,,3.7,0.2,7,,,,,,
1554713,1973-01-03T19:10:32Z,-37.91,0.0,176.74,0.0,12.0,0.0,ML,,,,3.4,0.2,4,,,,,,
1554714,1973-01-04T12:32:04Z,-37.96,0.0,176.72,0.0,12.0,0.0,ML,,,,3.1,0.2,3,,,,,,
1554715,1973-01-04T22:29:06Z,-37.33,0.0,177.25,0.0,162.0,5.0,ML,,,,4.3,0.2,8,,,,,,
1554716,1973-01-04T23:14:08Z,-37.72,0.1,176.86,0.0,12.0,0.0,ML,,,,3.8,0.3,5,,,,,,
1554717,1973-01-05T13:54:28Z,-39.04,0.0,175.26,0.0,163.0,7.0,Mw,6.3,nan,0,7.0,nan,0,6.4,nan,0,6.6,nan,0
1554718,1973-01-05T14:04:19Z,-39.01,0.0,175.22,0.0,162.0,6.0,ML,,,,3.8,0.4,6,,,,,,
1554719,1973-01-05T14:05:02Z,-39.07,0.0,175.38,0.1,170.0,9.0,ML,,,,3.8,0.2,6,,,,,,
1554720,1973-01-05T14:10:19Z,-38.95,0.0,175.16,0.0,172.0,6.0,ML,,,,5.3,0.3,6,,,,,,
1554722,1973-01-05T18:09:28Z,-39.0,0.0,175.26,0.1,167.0,4.0,ML,,,,4.0,0.4,7,,,,,,
1554725,1973-01-07T19:07:30Z,-39.02,0.0,175.29,0.1,156.0,8.0,ML,,,,3.5,0.4,4,,,,,,
1554726,1973-01-08T05:26:17Z,-39.28,0.0,177.28,0.0,12.0,0.0,ML,,,,3.7,0.2,12,,,,,,
1554727,1973-01-08T19:51:31Z,-38.44,0.1,175.66,0.1,187.0,12.0,ML,,,,3.6,0.2,8,,,,,,
1554728,1973-01-09T07:45:06Z,-41.96,0.0,173.75,0.0,12.0,0.0,ML,,,,3.5,0.2,4,,,,,,
1554730,1973-01-10T12:25:45Z,-39.06,0.0,175.22,0.0,166.0,5.0,ML,,,,4.3,0.3,7,,,,,,
1554731,1973-01-11T06:56:52Z,-38.4,0.0,177.85,0.0,12.0,0.0,ML,,,,3.1,0.1,3,,,,,,
1554732,1973-01-11T10:11:23Z,-44.26,0.0,168.68,0.0,12.0,0.0,ML,,,,3.1,0.2,6,,,,,,
1554733,1973-01-12T14:22:23Z,-45.46,0.1,167.2,0.1,94.0,8.0,ML,,,,3.5,0.4,5,,,,,,
1554734,1973-01-13T09:06:40Z,-43.25,0.0,171.42,0.0,12.0,0.0,ML,,,,4.0,0.3,10,,,,,,
1554736,1973-01-14T17:54:01Z,-39.18,0.0,177.82,0.1,33.0,0.0,ML,,,,4.1,0.2,10,,,,,,
1554737,1973-01-14T20:08:55Z,-38.15,0.0,176.25,0.0,178.0,8.0,ML,,,,5.8,nan,1,,,,,,
1554738,1973-01-15T09:38:28Z,-37.64,0.1,176.87,0.1,33.0,0.0,ML,,,,3.4,0.3,5,,,,,,
1554739,1973-01-15T09:40:11Z,-37.66,0.1,176.89,0.1,33.0,0.0,ML,,,,3.0,0.7,4,,,,,,
1554741,1973-01-16T20:37:40Z,-40.43,0.0,176.43,0.0,12.0,0.0,ML,,,,4.6,0.3,9,,,,,,
1554742,1973-01-17T07:39:03Z,-38.7,0.0,175.79,0.1,149.0,11.0,ML,,,,3.7,0.3,5,,,,,,
1554746,1973-01-20T17:01:37Z,-39.14,0.1,174.75,0.1,218.0,7.0,ML,,,,4.8,0.3,7,,,,,,
1554747,1973-01-20T17:41:16Z,-39.03,0.1,178.31,0.1,33.0,0.0,ML,,,,3.4,0.2,7,,,,,,
1554748,1973-01-20T18:32:28Z,-37.68,0.1,176.47,0.1,280.0,12.0,ML,,,,4.5,0.3,7,,,,,,
1554749,1973-01-21T13:31:29Z,-38.96,0.1,175.01,0.1,234.0,10.0,ML,,,,4.4,0.3,5,,,,,,
1554751,1973-01-23T22:38:26Z,-47.86,0.1,165.4,0.1,33.0,0.0,ML,,,,4.3,0.4,5,,,,,,
1554752,1973-01-24T01:12:26Z,-38.01,0.0,176.74,0.0,12.0,0.0,ML,,,,3.5,0.3,5,,,,,,
1554753,1973-01-24T01:18:53Z,-37.99,0.0,176.78,0.0,12.0,0.0,ML,,,,3.2,0.3,4,,,,,,
1554755,1973-01-24T01:43:26Z,-37.94,0.0,176.72,0.0,12.0,0.0,ML,,,,4.4,0.3,10,,,,,,
1554756,1973-01-24T02:40:59Z,-38.03,0.0,176.72,0.0,12.0,0.0,ML,,,,3.5,0.2,7,,,,,,
1554757,1973-01-24T05:24:25Z,-38.07,0.1,176.75,0.0,12.0,0.0,ML,,,,3.4,0.3,7,,,,,,
1554758,1973-01-24T06:14:49Z,-45.05,0.1,167.67,0.1,33.0,0.0,ML,,,,3.4,0.2,6,,,,,,
1554759,1973-01-24T06:21:58Z,-38.04,0.0,176.77,0.0,12.0,0.0,ML,,,,3.5,0.3,6,,,,,,
1554760,1973-01-24T10:21:13Z,-39.11,0.0,175.2,0.0,12.0,0.0,ML,,,,3.6,0.4,5,,,,,,
1554761,1973-01-24T10:33:01Z,-39.17,0.0,175.24,0.0,12.0,0.0,ML,,,,3.1,0.4,3,,,,,,
1554762,1973-01-24T20:01:06Z,-39.23,0.0,175.3,0.0,33.0,0.0,ML,,,,3.0,0.4,4,,,,,,
1554763,1973-01-25T13:29:12Z,-39.21,0.0,175.28,0.0,33.0,0.0,ML,,,,3.2,0.3,5,,,,,,
1554764,1973-01-25T13:51:08Z,-38.13,0.0,176.61,0.1,132.0,11.0,ML,,,,4.3,0.3,6,,,,,,
1554765,1973-01-26T02:20:09Z,-38.01,0.0,176.84,0.0,12.0,0.0,ML,,,,3.5,0.4,5,,,,,,
1554766,1973-01-26T02:50:57Z,-46.1,0.0,166.56,0.1,12.0,0.0,ML,,,,4.5,0.2,6,,,,,,
1554767,1973-01-27T11:51:02Z,-38.7,0.0,175.73,0.1,159.0,10.0,ML,,,,3.5,0.3,5,,,,,,
1554769,1973-01-27T13:06:58Z,-36.66,0.1,177.31,0.1,269.0,9.0,ML,,,,3.9,0.3,3,,,,,,
1554770,1973-01-28T05:56:53Z,-43.18,0.1,177.01,0.1,33.0,0.0,ML,,,,4.0,0.3,9,,,,,,
1554771,1973-01-28T10:03:02Z,-41.7,0.0,174.04,0.0,12.0,0.0,ML,,,,4.0,0.3,13,,,,,,
1554772,1973-01-28T23:12:40Z,-45.02,0.0,167.71,0.1,117.0,10.0,ML,,,,5.4,0.4,5,,,,,,
1554773,1973-01-29T17:43:10Z,-39.02,0.0,175.28,0.0,166.0,6.0,ML,,,,4.9,0.2,4,,,,,,
1554774,1973-01-29T19:02:13Z,-37.98,0.1,176.4,0.1,180.0,13.0,ML,,,,3.8,0.3,6,,,,,,
1554775,1973-01-29T21:30:14Z,-37.57,0.0,177.79,0.0,12.0,0.0,ML,,,,4.2,0.3,13,,,,,,
1554776,1973-01-30T07:23:47Z,-43.25,0.0,171.47,0.0,12.0,0.0,ML,,,,4.5,0.3,15,,,,,,
1554778,1973-01-31T14:08:53Z,-39.31,0.0,177.24,0.1,12.0,0.0,ML,,,,4.5,0.2,11,,,,,,
1554779,1973-02-02T13:23:21Z,-35.78,0.1,179.01,0.1,204.0,10.0,ML,,,,4.6,0.2,7,,,,,,
1554780,1973-02-02T16:07:01Z,-37.87,0.0,176.38,0.0,239.0,6.0,ML,,,,4.3,0.3,8,,,,,,
1554781,1973-02-03T06:08:15Z,-41.09,0.1,174.72,0.1,85.0,8.0,ML,,,,4.5,0.4,6,,,,,,
1554782,1973-02-04T07:23:57Z,-47.12,0.1,165.39,0.2,12.0,0.0,ML,,,,4.2,0.2,7,,,,,,
1554783,1973-02-05T01:06:08Z,-45.34,0.0,166.89,0.1,12.0,0.0,ML,,,,4.0,0.2,7,,,,,,
1554784,1973-02-05T01:52:42Z,-37.22,0.0,177.52,0.0,33.0,0.0,ML,,,,4.9,0.2,12,,,,,,
1554785,1973-02-06T11:15:51Z,-39.31,0.1,174.47,0.1,251.0,13.0,ML,,,,3.8,0.3,5,,,,,,
1554787,1973-02-11T13:49:12Z,-44.29,0.0,168.65,0.0,12.0,0.0,ML,,,,3.9,0.2,8,,,,,,
1554788,1973-02-11T23:20:54Z,-41.19,0.0,178.51,0.0,33.0,0.0,ML,,,,4.0,0.2,13,,,,,,
1554789,1973-02-13T08:50:49Z,-40.03,0.0,175.16,0.0,12.0,0.0,ML,,,,4.0,0.2,12,,,,,,
1554790,1973-02-13T09:05:15Z,-40.01,0.0,175.1,0.0,12.0,0.0,ML,,,,2.9,0.3,6,,,,,,
1554791,1973-02-13T09:20:58Z,-40.02,0.0,175.11,0.0,12.0,0.0,ML,,,,3.1,0.2,7,,,,,,
1554792,1973-02-13T09:29:19Z,-40.01,0.0,175.13,0.0,12.0,0.0,ML,,,,3.5,0.2,9,,,,,,
1554793,1973-02-13T13:23:23Z,-40.03,0.0,175.1,0.0,12.0,0.0,ML,,,,3.0,0.2,5,,,,,,
1554794,1973-02-15T16:09:43Z,-37.71,0.1,176.48,0.1,216.0,9.0,ML,,,,3.6,0.4,7,,,,,,
1554795,1973-02-15T20:19:33Z,-39.25,0.0,177.27,0.1,12.0,0.0,ML,,,,4.1,0.3,10,,,,,,
1554796,1973-02-17T12:28:22Z,-41.7,0.0,173.69,0.0,12.0,0.0,ML,,,,3.9,0.3,6,,,,,,
1554797,1973-02-17T12:30:21Z,-45.29,0.1,166.41,0.1,12.0,0.0,ML,,,,3.7,0.2,7,,,,,,
1554798,1973-02-17T19:33:50Z,-39.16,0.0,175.37,0.0,12.0,0.0,ML,,,,3.9,0.3,12,,,,,,
1554799,1973-02-18T16:10:03Z,-40.23,0.1,173.49,0.1,164.0,15.0,ML,,,,4.5,0.3,7,,,,,,
1554800,1973-02-18T19:35:11Z,-41.36,0.0,173.55,0.0,33.0,0.0,ML,,,,3.9,0.3,13,,,,,,
1554801,1973-02-19T08:17:24Z,-40.87,0.0,175.82,0.0,12.0,0.0,ML,,,,3.1,0.3,5,,,,,,
1554802,1973-02-20T17:58:19Z,-37.1,0.0,177.38,0.0,12.0,0.0,ML,,,,4.3,0.3,14,,,,,,
1554803,1973-02-21T14:16:23Z,-39.75,0.0,176.98,0.0,12.0,0.0,ML,,,,4.6,0.2,13,,,,,,
1554804,1973-02-21T14:42:21Z,-39.69,0.0,176.9,0.0,12.0,0.0,ML,,,,5.4,0.3,13,,,,,,
1554805,1973-02-21T14:48:31Z,-39.78,0.0,176.81,0.1,12.0,0.0,ML,,,,3.8,0.3,10,,,,,,
1554806,1973-02-21T14:54:11Z,-39.7,0.0,176.95,0.0,12.0,0.0,ML,,,,4.4,0.3,14,,,,,,
1554807,1973-02-21T15:01:01Z,-39.69,0.0,176.86,0.0,12.0,0.0,ML,,,,3.3,0.3,8,,,,,,
1554808,1973-02-21T15:29:06Z,-39.69,0.0,176.93,0.0,12.0,0.0,ML,,,,4.9,0.3,10,,,,,,
1554809,1973-02-21T16:11:51Z,-41.56,0.1,175.24,0.1,12.0,0.0,ML,,,,3.4,0.2,6,,,,,,
1554810,1973-02-21T18:44:25Z,-35.53,0.2,177.2,0.1,12.0,0.0,ML,,,,4.9,0.4,7,,,,,,
1554811,1973-02-21T19:33:27Z,-45.67,0.0,166.43,0.1,12.0,0.0,ML,,,,3.9,0.2,9,,,,,,
1554812,1973-02-22T00:45:03Z,-39.75,0.0,176.9,0.1,12.0,0.0,ML,,,,4.4,0.2,12,,,,,,
1554813,1973-02-22T12:36:47Z,-38.02,0.0,176.39,0.0,175.0,6.0,ML,,,,4.5,0.2,9,,,,,,
1554814,1973-02-22T15:50:51Z,-39.71,0.0,176.85,0.0,12.0,0.0,ML,,,,4.2,0.2,13,,,,,,
1554815,1973-02-23T08:58:06Z,-39.74,0.0,177.04,0.0,52.0,5.0,ML,,,,4.0,0.2,4,,,,,,
1554816,1973-02-23T09:36:00Z,-39.07,0.0,176.79,0.0,12.0,0.0,ML,,,,3.4,0.3,8,,,,,,
1554817,1973-02-23T13:22:42Z,-37.19,0.1,176.64,0.1,263.0,9.0,ML,,,,4.1,0.3,8,,,,,,
1554818,1973-02-24T01:50:51Z,-38.15,0.1,176.27,0.1,202.0,10.0,ML,,,,3.8,0.5,6,,,,,,
1554819,1973-02-25T02:22:43Z,-45.25,0.1,167.28,0.1,78.0,15.0,ML,,,,4.1,0.1,6,,,,,,
1554820,1973-02-25T11:37:11Z,-38.68,0.1,175.67,0.1,134.0,14.0,ML,,,,3.8,0.4,6,,,,,,
1554821,1973-02-25T20:04:27Z,-38.63,0.0,176.11,0.0,12.0,0.0,ML,,,,2.8,0.5,2,,,,,,
1554823,1973-02-26T17:00:57Z,-38.66,0.0,177.97,0.0,33.0,0.0,ML,,,,4.1,0.3,7,,,,,,
1554824,1973-02-27T03:33:47Z,-39.55,0.0,176.61,0.0,12.0,0.0,ML,,,,3.6,0.2,9,,,,,,
1554825,1973-02-27T09:57:52Z,-39.63,0.0,176.87,0.0,33.0,0.0,ML,,,,3.9,0.2,7,,,,,,
1554826,1973-02-28T04:39:52Z,-39.11,0.0,177.08,0.0,12.0,0.0,ML,,,,4.0,0.2,9,,,,,,
1554827,1973-03-01T05:51:37Z,-39.04,0.0,175.32,0.0,151.0,3.0,ML,,,,4.2,0.3,6,,,,,,
1554828,1973-03-01T11:28:14Z,-45.44,0.0,167.43,0.1,106.0,6.0,ML,,,,3.9,0.6,6,,,,,,
1554830,1973-03-04T06:28:52Z,-36.69,0.1,177.12,0.1,273.0,11.0,ML,,,,4.3,0.3,7,,,,,,
1554831,1973-03-06T21:16:40Z,-39.27,0.0,175.14,0.0,148.0,5.0,ML,,,,5.5,0.3,3,,,,,,
1554833,1973-03-07T22:26:32Z,-38.87,0.0,175.8,0.1,167.0,7.0,ML,,,,4.0,0.1,4,,,,,,
1554834,1973-03-08T16:06:09Z,-39.72,0.0,176.89,0.0,33.0,0.0,ML,,,,3.3,0.3,7,,,,,,
