PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1559055,1978-01-01T00:46:36Z,-45.1,0.0,167.48,0.0,33.0,0.0,ML,,,,3.8,0.3,4,,,
1559056,1978-01-01T02:23:34Z,-41.52,0.1,175.13,0.0,23.0,0.0,ML,,,,4.2,0.4,3,,,
1679457,1978-01-01T02:27:30Z,-41.36,0.0,175.11,0.0,25.0,1.0,ML,,,,2.3,nan,1,,,
1679458,1978-01-01T02:32:07Z,-41.37,0.0,175.13,0.0,28.0,1.0,ML,,,,2.0,0.1,5,,,
1679459,1978-01-01T02:36:21Z,-41.37,0.0,175.11,0.0,25.0,0.0,Md,,,,,,,2.4,nan,2
1679460,1978-01-01T02:40:48Z,-41.39,0.0,175.14,0.0,28.0,3.0,ML,,,,2.0,0.2,5,,,
1679461,1978-01-01T02:55:58Z,-41.42,0.0,175.15,0.0,23.0,2.0,ML,,,,2.3,nan,3,,,
1679462,1978-01-01T02:59:31Z,-41.36,0.0,175.12,0.0,25.0,1.0,ML,,,,2.1,0.1,5,,,
1679463,1978-01-01T03:10:40Z,-41.35,0.0,175.12,0.0,27.0,1.0,Md,,,,,,,2.5,0.2,2
1679464,1978-01-01T03:40:14Z,-41.35,0.0,175.1,0.0,25.0,0.0,ML,,,,2.1,0.1,5,,,
1679465,1978-01-01T06:43:21Z,-41.35,0.0,175.12,0.0,25.0,0.0,ML,,,,2.0,0.1,6,,,
1679466,1978-01-01T06:51:01Z,-41.38,0.0,175.14,0.0,26.0,1.0,ML,,,,2.1,0.1,5,,,
1679467,1978-01-01T08:55:06Z,-41.36,0.0,175.12,0.0,27.0,1.0,ML,,,,1.9,0.2,5,,,
1559057,1978-01-01T11:25:39Z,-42.71,0.0,171.73,0.0,12.0,0.0,ML,,,,4.0,0.4,4,,,
1679468,1978-01-01T12:47:27Z,-41.36,0.0,175.11,0.0,26.0,0.0,ML,,,,2.1,0.1,5,,,
1559058,1978-01-01T16:26:01Z,-41.39,0.1,175.17,0.0,28.0,0.0,ML,,,,3.4,0.2,4,,,
1559059,1978-01-01T16:30:13Z,-41.38,0.0,175.11,0.0,27.0,2.0,ML,,,,3.6,0.2,2,,,
1679470,1978-01-01T16:46:01Z,-41.36,0.0,175.11,0.0,27.0,0.0,Md,,,,,,,3.4,0.2,6
1679471,1978-01-01T21:13:24Z,-41.36,0.0,175.11,0.0,26.0,1.0,ML,,,,2.3,0.2,4,,,
1679472,1978-01-01T21:41:38Z,-41.35,0.0,175.09,0.0,24.0,1.0,ML,,,,2.3,0.2,3,2.4,nan,1
1679473,1978-01-02T05:27:16Z,-41.33,0.0,174.98,0.0,28.0,2.0,ML,,,,1.9,0.2,5,,,
1679474,1978-01-02T07:57:41Z,-41.35,0.0,175.09,0.0,25.0,1.0,ML,,,,2.3,0.1,3,2.2,nan,1
1559060,1978-01-02T13:07:16Z,-38.19,0.0,179.74,0.1,33.0,0.0,ML,,,,3.7,0.2,7,,,
1559061,1978-01-02T17:13:56Z,-40.63,0.0,175.69,0.0,12.0,0.0,ML,,,,3.5,0.3,5,,,
1679475,1978-01-02T19:14:38Z,-41.36,0.0,175.11,0.0,26.0,0.0,ML,,,,1.9,0.2,6,,,
1582848,1978-01-02T22:37:04Z,-44.25,0.0,169.57,0.0,6.0,1.0,ML,,,,2.3,0.1,9,,,
1582849,1978-01-02T22:40:55Z,-43.55,0.0,170.6,0.0,3.0,4.0,ML,,,,1.9,0.1,6,,,
1679476,1978-01-02T23:27:06Z,-41.37,0.0,175.12,0.0,27.0,0.0,ML,,,,2.2,0.2,5,,,
1679477,1978-01-03T07:52:20Z,-41.36,0.0,175.12,0.0,26.0,1.0,ML,,,,1.9,0.1,5,,,
1679478,1978-01-03T10:07:04Z,-41.35,0.0,175.12,0.0,26.0,0.0,ML,,,,1.9,0.2,6,,,
1679479,1978-01-03T12:13:20Z,-41.35,0.0,174.25,0.0,32.0,2.0,ML,,,,2.3,0.2,4,,,
1559063,1978-01-03T17:46:58Z,-37.89,0.0,176.72,0.0,5.0,0.0,ML,,,,3.6,0.3,4,,,
1559064,1978-01-03T18:42:43Z,-38.05,0.1,178.29,0.1,81.0,7.0,ML,,,,3.6,0.3,4,,,
1559065,1978-01-03T21:17:47Z,-36.46,0.1,179.96,0.2,33.0,0.0,ML,,,,4.0,0.3,6,,,
1679480,1978-01-03T22:29:25Z,-41.36,0.0,175.11,0.0,27.0,0.0,ML,,,,2.1,0.1,5,,,
1679481,1978-01-03T22:30:26Z,-41.36,0.0,175.11,0.0,27.0,1.0,ML,,,,2.2,0.1,3,,,
1679482,1978-01-03T22:31:46Z,-41.37,0.0,175.12,0.0,27.0,1.0,ML,,,,2.2,0.2,3,,,
1559066,1978-01-03T22:43:41Z,-36.81,0.1,177.78,0.1,187.0,10.0,ML,,,,4.7,0.1,6,,,
1559067,1978-01-04T11:22:01Z,-37.73,0.1,-179.78,0.1,33.0,0.0,ML,,,,3.9,0.2,6,,,
1559068,1978-01-04T11:29:46Z,-37.72,0.1,-179.65,0.1,33.0,0.0,ML,,,,3.9,0.1,6,,,
1559069,1978-01-04T11:46:09Z,-37.8,0.1,-179.87,0.1,33.0,0.0,ML,,,,3.7,0.2,6,,,
1679483,1978-01-04T15:18:01Z,-41.53,0.0,174.54,0.0,30.0,2.0,ML,,,,2.1,0.1,6,,,
1679484,1978-01-04T16:23:22Z,-41.37,0.0,175.12,0.0,27.0,1.0,ML,,,,2.2,0.1,6,,,
1559070,1978-01-04T19:11:53Z,-37.32,0.1,179.43,0.2,127.0,9.0,ML,,,,4.1,0.3,4,,,
1582850,1978-01-04T19:42:14Z,-44.31,0.0,169.98,0.0,1.0,2.0,ML,,,,2.1,0.1,8,,,
1679485,1978-01-04T19:49:41Z,-41.37,0.0,175.13,0.0,27.0,1.0,ML,,,,2.2,nan,1,2.3,0.1,2
1582851,1978-01-04T19:52:34Z,-44.32,0.0,169.92,0.0,13.0,1.0,ML,,,,1.9,0.2,8,,,
1582852,1978-01-04T20:16:45Z,-44.14,0.0,169.75,0.0,9.0,1.0,ML,,,,2.0,0.1,8,,,
1559071,1978-01-05T04:33:59Z,-37.53,0.1,-178.96,0.1,33.0,0.0,ML,,,,4.3,0.2,7,,,
1679486,1978-01-05T13:41:34Z,-41.37,0.0,175.11,0.0,27.0,0.0,ML,,,,2.0,0.1,6,,,
1679487,1978-01-05T22:06:22Z,-40.99,0.0,175.34,0.1,24.0,2.0,ML,,,,2.2,0.1,4,,,
1679488,1978-01-05T22:38:31Z,-41.37,0.0,175.11,0.0,26.0,1.0,ML,,,,1.9,0.1,6,,,
1559072,1978-01-06T09:51:47Z,-38.04,0.0,176.17,0.1,199.0,10.0,ML,,,,3.8,0.2,4,,,
1679489,1978-01-06T11:48:51Z,-41.26,0.0,175.2,0.0,24.0,1.0,ML,,,,1.9,0.2,5,,,
1679490,1978-01-06T13:39:40Z,-41.31,0.0,174.89,0.0,30.0,1.0,ML,,,,2.1,0.1,5,,,
1679491,1978-01-06T15:00:08Z,-41.6,0.0,175.02,0.0,30.0,1.0,ML,,,,2.4,0.1,6,,,
1679492,1978-01-06T15:10:08Z,-41.6,0.0,175.03,0.0,30.0,1.0,ML,,,,2.4,0.1,6,,,
1559073,1978-01-07T02:55:42Z,-46.25,0.0,169.02,0.1,12.0,0.0,ML,,,,3.7,0.2,3,,,
1679493,1978-01-07T04:38:06Z,-40.81,0.0,174.73,0.0,14.0,0.0,ML,,,,2.2,0.1,5,,,
1582853,1978-01-07T07:04:38Z,-44.6,0.0,170.04,0.0,2.0,1.0,ML,,,,2.4,0.2,3,,,
1559074,1978-01-07T14:12:27Z,-42.63,0.1,177.33,0.1,33.0,0.0,ML,,,,3.8,0.2,5,,,
1679494,1978-01-08T00:49:03Z,-41.03,0.0,174.69,0.0,58.0,2.0,ML,,,,2.8,nan,1,2.5,0.1,3
1582854,1978-01-08T05:00:16Z,-43.57,0.0,170.7,0.0,3.0,1.0,ML,,,,2.8,0.1,7,,,
1679495,1978-01-08T10:06:25Z,-41.22,0.0,175.23,0.0,22.0,2.0,ML,,,,2.4,nan,2,,,
1679496,1978-01-08T15:28:16Z,-41.21,0.0,174.55,0.0,36.0,1.0,ML,,,,1.9,0.1,6,,,
1559075,1978-01-08T17:05:59Z,-47.04,0.1,165.31,0.2,33.0,0.0,ML,,,,4.0,0.1,2,,,
1679497,1978-01-08T20:42:12Z,-41.3,0.0,174.89,0.0,22.0,0.0,ML,,,,1.6,0.2,6,,,
