PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,MS,MS_Uncertainty,MS_StationCount,Md,Md_Uncertainty,Md_StationCount
1564867,1984-01-01T07:50:37Z,-43.32,0.0,172.63,0.0,12.0,0.0,ML,,,,3.3,0.3,6,,,,,,
1687118,1984-01-01T08:22:08Z,-41.2,0.0,174.51,0.0,35.0,0.0,ML,,,,2.3,0.2,5,,,,2.3,nan,1
1687119,1984-01-01T09:02:52Z,-41.68,0.0,174.27,0.0,11.0,1.0,ML,,,,2.2,0.2,7,,,,,,
1564869,1984-01-02T03:45:14Z,-45.37,0.1,167.01,0.1,73.0,12.0,ML,,,,3.6,0.4,4,,,,,,
1564871,1984-01-02T12:15:23Z,-37.88,0.1,176.57,0.1,148.0,7.0,ML,,,,3.6,0.2,7,,,,,,
1687120,1984-01-02T12:45:20Z,-41.66,0.0,174.31,0.0,14.0,0.0,ML,,,,2.1,0.1,4,,,,,,
1564872,1984-01-02T12:46:56Z,-41.6,0.0,174.3,0.0,5.0,0.0,ML,,,,4.0,0.2,10,,,,,,
1564873,1984-01-02T16:24:42Z,-37.41,0.2,176.0,0.1,289.0,18.0,ML,,,,3.4,0.3,4,,,,,,
1564874,1984-01-02T18:39:04Z,-36.3,0.1,176.85,0.1,277.0,24.0,ML,,,,3.8,0.3,4,,,,,,
1564875,1984-01-02T23:46:34Z,-36.52,0.1,178.49,0.3,33.0,0.0,ML,,,,3.8,0.2,9,,,,,,
1687122,1984-01-03T04:52:33Z,-41.66,0.0,174.3,0.0,14.0,1.0,ML,,,,2.1,0.2,5,,,,,,
1564876,1984-01-03T06:00:40Z,-36.85,0.1,177.05,0.1,241.0,8.0,ML,,,,4.4,0.2,7,,,,,,
1687123,1984-01-03T12:08:33Z,-40.87,0.0,174.72,0.0,13.0,1.0,ML,,,,2.1,0.1,3,,,,,,
1564877,1984-01-03T16:15:08Z,-40.55,0.1,173.11,0.1,159.0,10.0,ML,,,,3.5,0.2,5,,,,,,
1564878,1984-01-03T19:59:19Z,-40.01,0.0,176.7,0.0,33.0,0.0,ML,,,,4.2,0.3,14,,,,,,
1564879,1984-01-03T22:55:39Z,-40.53,0.0,174.19,0.0,104.0,10.0,Mw,5.2,nan,0,5.5,0.3,5,,,,,,
1687125,1984-01-04T07:26:57Z,-41.64,0.0,174.33,0.0,4.0,4.0,ML,,,,2.3,0.2,3,,,,2.3,nan,1
1564880,1984-01-04T10:06:16Z,-38.14,0.0,176.44,0.0,5.0,0.0,ML,,,,4.1,0.3,8,,,,,,
1687126,1984-01-04T11:00:32Z,-41.67,0.0,174.3,0.0,15.0,1.0,ML,,,,2.1,0.2,5,,,,,,
1564881,1984-01-04T11:37:59Z,-38.15,0.0,176.46,0.0,5.0,0.0,ML,,,,3.6,0.4,8,,,,,,
1564882,1984-01-04T11:42:59Z,-38.16,0.0,176.47,0.0,5.0,0.0,ML,,,,3.6,0.3,8,,,,,,
1564883,1984-01-04T11:44:26Z,-38.13,0.0,176.47,0.0,5.0,0.0,ML,,,,3.2,0.5,7,,,,,,
1564884,1984-01-04T11:49:57Z,-38.13,0.0,176.48,0.0,5.0,0.0,ML,,,,3.3,0.4,7,,,,,,
1564885,1984-01-04T11:50:14Z,-38.01,0.1,176.4,0.0,5.0,0.0,ML,,,,3.3,0.4,4,,,,,,
1564886,1984-01-04T11:51:32Z,-38.14,0.0,176.45,0.0,5.0,0.0,ML,,,,3.5,0.3,8,,,,,,
1564887,1984-01-04T11:55:02Z,-38.14,0.0,176.46,0.0,5.0,0.0,ML,,,,3.5,0.4,8,,,,,,
1564888,1984-01-04T11:55:46Z,-38.16,0.0,176.42,0.0,5.0,0.0,ML,,,,3.5,0.4,7,,,,,,
1564889,1984-01-04T12:02:05Z,-38.1,0.0,176.46,0.0,5.0,0.0,ML,,,,3.6,0.5,9,,,,,,
1564890,1984-01-04T12:15:30Z,-38.15,0.0,176.46,0.0,5.0,0.0,ML,,,,3.5,0.3,8,,,,,,
1687127,1984-01-04T12:22:45Z,-41.65,0.0,174.34,0.0,2.0,1.0,ML,,,,2.3,0.2,4,,,,,,
1687128,1984-01-04T15:13:17Z,-40.68,0.0,174.07,0.0,73.0,0.0,ML,,,,2.7,0.2,4,,,,2.8,nan,1
1564891,1984-01-04T15:13:41Z,-45.06,0.0,167.7,0.0,127.0,4.0,ML,,,,3.9,0.4,6,,,,,,
1687129,1984-01-04T15:56:28Z,-41.65,0.0,174.32,0.0,10.0,2.0,ML,,,,3.0,nan,1,,,,3.2,0.4,3
1564892,1984-01-04T16:39:49Z,-38.17,0.0,176.45,0.0,5.0,0.0,ML,,,,4.0,0.4,8,,,,,,
1564893,1984-01-04T16:40:54Z,-38.14,0.0,176.47,0.0,5.0,0.0,ML,,,,3.8,0.4,8,,,,,,
1564894,1984-01-04T16:59:43Z,-38.13,0.0,176.46,0.0,5.0,0.0,ML,,,,3.3,0.4,7,,,,,,
1564895,1984-01-04T17:23:51Z,-39.14,0.1,175.09,0.1,213.0,8.0,ML,,,,3.7,0.2,6,,,,,,
1564896,1984-01-04T19:29:37Z,-38.13,0.0,176.45,0.0,5.0,0.0,ML,,,,3.4,0.4,7,,,,,,
1564898,1984-01-06T09:08:20Z,-47.79,0.1,165.48,0.2,33.0,0.0,ML,,,,3.9,0.1,3,,,,,,
1687130,1984-01-06T16:28:33Z,-40.98,0.0,175.38,0.0,22.0,1.0,ML,,,,3.1,nan,1,,,,3.0,0.1,4
1564899,1984-01-06T19:12:10Z,-37.51,0.1,-179.62,0.1,33.0,0.0,ML,,,,3.8,0.2,7,,,,,,
1687131,1984-01-07T07:48:00Z,-40.63,0.0,174.38,0.0,29.0,2.0,ML,,,,2.5,0.3,5,,,,,,
1687132,1984-01-07T14:02:33Z,-41.73,0.0,174.88,0.0,34.0,1.0,ML,,,,2.6,0.2,5,,,,,,
1687133,1984-01-07T15:18:42Z,-41.35,0.0,174.65,0.0,33.0,1.0,ML,,,,2.9,nan,1,,,,2.7,0.2,4
1564902,1984-01-08T01:51:55Z,-45.89,0.0,167.02,0.0,86.0,3.0,ML,,,,3.4,0.4,4,,,,,,
1564903,1984-01-08T06:32:06Z,-39.71,0.0,175.4,0.1,12.0,0.0,ML,,,,3.0,0.4,4,,,,,,
1564904,1984-01-09T02:26:40Z,-38.43,0.1,-179.74,0.1,33.0,0.0,ML,,,,3.9,0.3,9,,,,,,
1564905,1984-01-09T16:03:10Z,-38.36,0.0,176.29,0.0,5.0,0.0,ML,,,,3.5,0.3,7,,,,,,
1564906,1984-01-09T16:36:21Z,-38.36,0.0,176.3,0.0,5.0,0.0,ML,,,,2.8,0.3,7,,,,,,
1564907,1984-01-10T17:50:48Z,-40.2,0.0,177.06,0.0,33.0,0.0,ML,,,,3.2,0.2,4,,,,,,
1687134,1984-01-11T03:02:48Z,-41.29,0.0,175.18,0.0,26.0,1.0,ML,,,,3.2,nan,1,,,,,,
1687135,1984-01-11T05:42:33Z,-41.55,0.0,174.11,0.0,15.0,3.0,ML,,,,2.5,0.2,5,,,,2.6,nan,1
1687136,1984-01-11T06:15:55Z,-41.67,0.0,173.8,0.0,20.0,1.0,ML,,,,2.6,0.1,4,,,,,,
1564908,1984-01-11T08:46:37Z,-39.91,0.0,176.75,0.1,33.0,0.0,ML,,,,3.9,0.2,9,,,,,,
1564909,1984-01-11T19:40:27Z,-36.75,0.1,178.04,0.1,170.0,13.0,ML,,,,4.7,0.2,7,,,,,,
1564910,1984-01-11T22:09:07Z,-45.1,0.1,167.58,0.1,128.0,4.0,ML,,,,4.0,0.3,6,,,,,,
1687137,1984-01-13T11:38:45Z,-41.38,0.0,175.38,0.0,33.0,0.0,ML,,,,2.3,0.1,3,,,,,,
1687138,1984-01-14T18:52:43Z,-41.37,0.0,174.39,0.0,60.0,1.0,ML,,,,2.5,0.1,6,,,,,,
1564913,1984-01-15T17:37:44Z,-39.72,0.0,175.58,0.1,5.0,0.0,ML,,,,3.4,0.6,4,,,,,,
1687139,1984-01-16T02:19:39Z,-41.63,0.0,174.52,0.0,52.0,2.0,ML,,,,2.5,0.1,4,,,,,,
1564914,1984-01-16T09:09:54Z,-36.86,0.1,177.55,0.1,180.0,12.0,ML,,,,4.4,0.2,6,,,,,,
1687140,1984-01-16T12:04:46Z,-41.12,0.0,174.46,0.0,62.0,1.0,ML,,,,3.0,0.1,2,,,,3.0,0.1,3
1687141,1984-01-16T16:32:28Z,-41.24,0.0,175.05,0.0,7.0,1.0,Md,,,,,,,,,,2.6,0.2,3
1564915,1984-01-17T14:57:21Z,-37.95,0.1,176.4,0.1,172.0,8.0,ML,,,,3.9,0.3,7,,,,,,
1564916,1984-01-18T07:55:29Z,-38.85,0.1,175.44,0.1,231.0,6.0,ML,,,,3.9,0.3,5,,,,,,
1564917,1984-01-19T00:51:17Z,-36.88,0.1,176.81,0.0,257.0,6.0,ML,,,,4.1,0.3,7,,,,,,
1564918,1984-01-19T10:22:46Z,-41.81,0.0,174.12,0.0,12.0,0.0,ML,,,,3.6,0.3,7,,,,,,
1564919,1984-01-19T13:40:39Z,-39.0,0.0,174.94,0.1,232.0,6.0,ML,,,,3.8,0.2,5,,,,,,
1564920,1984-01-19T15:05:37Z,-37.95,0.0,176.73,0.1,156.0,6.0,ML,,,,4.2,0.2,6,,,,,,
1564921,1984-01-19T15:28:20Z,-37.48,0.0,176.55,0.0,201.0,6.0,ML,,,,4.8,0.3,6,,,,,,
1687143,1984-01-19T17:35:00Z,-41.24,0.0,175.29,0.0,29.0,1.0,ML,,,,2.3,0.1,3,,,,,,
1564922,1984-01-19T17:50:41Z,-40.52,0.0,174.46,0.0,79.0,5.0,ML,,,,4.6,0.3,6,,,,,,
1564923,1984-01-19T18:51:38Z,-35.8,0.1,178.3,0.1,227.0,18.0,ML,,,,4.5,0.2,6,,,,,,
1564924,1984-01-19T21:27:12Z,-38.58,0.0,175.72,0.0,176.0,4.0,ML,,,,4.1,0.3,7,,,,,,
1564925,1984-01-19T22:57:31Z,-45.03,0.1,167.43,0.1,81.0,5.0,ML,,,,3.4,0.3,5,,,,,,
1564926,1984-01-20T03:28:35Z,-45.11,0.0,166.97,0.1,33.0,0.0,ML,,,,4.1,0.2,6,,,,,,
1687145,1984-01-20T07:44:04Z,-40.91,0.0,174.21,0.0,56.0,1.0,ML,,,,2.3,0.2,5,,,,,,
1687146,1984-01-20T12:09:23Z,-41.05,0.0,175.46,0.0,15.0,0.0,ML,,,,2.2,0.1,4,,,,,,
1564927,1984-01-20T18:42:45Z,-36.32,0.1,177.88,0.1,243.0,6.0,ML,,,,4.5,0.2,6,,,,,,
1687147,1984-01-20T20:49:52Z,-41.3,0.0,174.53,0.0,33.0,0.0,ML,,,,2.4,0.3,3,,,,2.2,nan,1
