PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1688055,1986-01-01T05:19:15Z,-41.54,0.0,174.56,0.0,32.0,1.0,ML,2.3,0.2,9,,,
1688056,1986-01-01T07:32:37Z,-40.37,0.0,174.61,0.0,76.0,4.0,ML,2.6,0.2,8,,,
1567727,1986-01-01T08:47:37Z,-47.21,0.1,165.23,0.1,33.0,0.0,ML,3.9,0.2,2,,,
1688057,1986-01-01T12:57:42Z,-40.98,0.0,174.46,0.0,63.0,2.0,ML,2.3,0.1,7,,,
1567728,1986-01-01T20:54:28Z,-40.54,0.1,172.45,0.1,1.0,0.0,ML,2.6,0.2,2,,,
1567729,1986-01-02T00:24:48Z,-37.59,0.0,176.98,0.0,1.0,0.0,ML,3.6,0.2,4,,,
1688058,1986-01-02T10:14:00Z,-40.61,0.0,174.36,0.0,73.0,2.0,ML,2.5,0.1,4,2.5,0.1,2
1688059,1986-01-02T18:16:53Z,-40.91,0.0,174.69,0.0,34.0,1.0,ML,2.0,0.2,6,,,
1688060,1986-01-02T19:36:13Z,-40.73,0.0,174.11,0.0,82.0,4.0,ML,2.6,0.2,5,2.3,nan,2
1567730,1986-01-02T21:29:34Z,-36.89,0.1,177.51,0.1,33.0,0.0,ML,3.7,0.3,4,,,
1688061,1986-01-03T02:21:02Z,-41.92,0.0,173.98,0.1,13.0,2.0,ML,2.6,0.2,7,2.5,0.1,2
1688062,1986-01-03T09:36:37Z,-41.08,0.0,174.67,0.0,33.0,1.0,ML,2.2,0.3,6,,,
1688063,1986-01-03T13:03:07Z,-40.94,0.0,175.45,0.0,25.0,1.0,ML,2.1,0.1,4,,,
1688064,1986-01-03T13:41:02Z,-41.0,0.0,175.3,0.0,23.0,0.0,ML,2.3,0.1,5,2.6,nan,1
1567731,1986-01-03T15:22:52Z,-37.54,0.1,178.75,0.3,53.0,24.0,ML,3.4,0.2,2,,,
1688065,1986-01-03T15:54:55Z,-40.45,0.1,174.38,0.0,19.0,6.0,ML,2.5,0.1,5,2.2,nan,1
1688066,1986-01-04T08:38:56Z,-41.59,0.0,174.67,0.0,32.0,1.0,ML,2.2,0.1,6,,,
1567732,1986-01-04T14:04:14Z,-41.83,0.0,174.82,0.0,48.0,6.0,ML,3.7,0.2,3,,,
1688068,1986-01-04T15:39:25Z,-41.21,0.0,175.02,0.0,23.0,1.0,ML,1.9,0.2,9,,,
1688069,1986-01-04T18:45:01Z,-41.74,0.0,174.11,0.0,15.0,1.0,ML,2.2,0.3,4,,,
1688070,1986-01-04T20:20:20Z,-41.2,0.0,175.15,0.0,29.0,1.0,ML,2.7,0.4,3,2.8,0.2,2
1567733,1986-01-04T20:57:47Z,-45.0,0.0,167.65,0.0,93.0,4.0,ML,3.5,0.2,3,,,
1688071,1986-01-04T23:20:04Z,-41.74,0.0,174.5,0.0,32.0,1.0,ML,2.3,0.3,8,2.2,0.1,2
1567734,1986-01-05T03:05:38Z,-44.16,0.0,169.37,0.0,12.0,0.0,ML,3.6,0.2,5,,,
1567735,1986-01-05T09:18:10Z,-38.1,0.0,177.87,0.0,60.0,8.0,ML,3.9,0.2,3,,,
1567737,1986-01-05T09:51:03Z,-38.12,0.0,177.87,0.0,53.0,7.0,ML,3.8,0.2,2,,,
1567738,1986-01-05T10:37:12Z,-38.12,0.0,177.87,0.1,55.0,12.0,ML,3.6,0.2,2,,,
1567739,1986-01-05T15:41:55Z,-38.36,0.0,176.81,0.0,60.0,6.0,ML,3.9,0.1,4,,,
1567740,1986-01-05T23:17:06Z,-37.12,0.0,177.55,0.0,12.0,0.0,ML,3.8,0.3,3,,,
1688072,1986-01-06T02:54:32Z,-41.27,0.0,175.02,0.0,26.0,0.0,ML,1.8,0.2,8,,,
1567741,1986-01-06T08:09:08Z,-38.82,0.0,175.93,0.1,145.0,5.0,ML,3.9,0.2,3,,,
1567742,1986-01-06T15:23:33Z,-38.64,0.0,175.75,0.1,172.0,5.0,ML,4.4,0.1,4,,,
1688073,1986-01-06T15:38:57Z,-40.97,0.0,175.65,0.0,25.0,1.0,ML,2.2,0.1,6,,,
1688074,1986-01-07T00:11:30Z,-40.73,0.0,174.7,0.0,13.0,1.0,ML,3.2,0.3,3,3.1,0.1,3
1567743,1986-01-07T15:32:47Z,-38.85,0.0,178.95,0.1,12.0,0.0,ML,3.6,0.2,2,,,
1567744,1986-01-08T01:35:54Z,-37.71,0.1,176.4,0.0,12.0,0.0,ML,3.5,0.5,3,,,
1567745,1986-01-09T01:17:02Z,-45.93,0.0,166.47,0.1,12.0,0.0,ML,3.9,0.2,3,,,
1567746,1986-01-09T15:22:44Z,-38.17,0.0,176.23,0.0,1.0,0.0,ML,1.8,nan,0,,,
1567747,1986-01-09T22:37:53Z,-41.88,0.0,171.83,0.0,12.0,0.0,ML,3.6,0.2,4,,,
1567748,1986-01-10T01:52:22Z,-38.76,0.0,177.18,0.1,33.0,4.0,ML,3.4,0.2,3,,,
1688075,1986-01-10T08:43:40Z,-41.67,0.0,174.31,0.0,18.0,3.0,ML,2.4,0.3,8,2.5,0.1,2
1567750,1986-01-10T12:52:34Z,-38.5,0.0,175.93,0.0,8.0,3.0,ML,3.0,0.2,3,,,
1567751,1986-01-10T19:16:39Z,-37.13,0.0,176.68,0.1,422.0,5.0,ML,4.7,0.4,4,,,
1688076,1986-01-11T07:46:10Z,-41.19,0.0,174.8,0.0,35.0,0.0,ML,2.1,0.3,9,,,
