PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mb,Mb_Uncertainty,Mb_StationCount,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,Md,Md_Uncertainty,Md_StationCount
40522,1988-01-08T02:33:49Z,-38.52,0.0,178.3,0.0,31.0,3.0,ML,,,,,,,3.4,0.1,3,,,,,,
40567,1988-01-10T20:08:44Z,-37.99,0.0,176.92,0.0,5.0,0.0,ML,,,,,,,3.1,0.0,4,,,,,,
40818,1988-01-12T22:24:02Z,-35.73,0.1,179.35,0.1,151.0,26.0,ML,,,,,,,4.0,0.2,3,,,,,,
41026,1988-01-13T05:47:30Z,-45.3,0.0,167.49,0.0,84.0,6.0,ML,,,,,,,3.4,0.4,3,,,,,,
41158,1988-01-13T22:04:04Z,-39.21,0.1,178.73,0.1,33.0,0.0,ML,,,,,,,3.3,0.1,2,,,,,,
41162,1988-01-14T10:15:42Z,-38.62,0.0,177.93,0.0,114.0,1.0,ML,,,,,,,3.6,0.2,4,,,,,,
24062,1988-01-16T08:00:46Z,-32.72,0.1,-177.87,0.2,33.0,0.0,ML,,,,,,,4.9,0.4,6,,,,,,
24063,1988-01-17T13:51:39Z,-33.06,0.1,-178.49,0.1,33.0,0.0,Mw,,,,,,,4.9,0.4,7,5.5,nan,0,,,
24985,1988-01-18T04:29:29Z,-33.39,0.3,-179.09,0.3,33.0,0.0,ML,,,,,,,5.0,0.4,8,,,,,,
24987,1988-01-18T04:36:29Z,-33.86,0.1,-179.23,0.1,33.0,0.0,ML,,,,,,,4.8,0.4,5,,,,,,
24988,1988-01-18T06:48:07Z,-34.38,0.1,179.74,0.2,33.0,0.0,ML,,,,,,,4.8,0.5,5,,,,,,
24064,1988-01-18T09:53:29Z,-32.65,0.1,-178.43,0.1,33.0,0.0,Mw,,,,,,,5.5,0.4,6,5.3,nan,0,,,
24065,1988-01-21T19:54:00Z,-38.26,0.0,179.03,0.1,33.0,0.0,ML,,,,,,,3.4,0.1,3,,,,,,
24450,1988-01-24T08:25:56Z,-36.94,0.1,179.67,0.1,33.0,0.0,ML,,,,,,,3.6,0.2,4,,,,,,
24515,1988-01-26T03:18:48Z,-38.2,0.0,176.2,0.0,5.0,0.0,ML,,,,,,,1.6,nan,1,,,,,,
24763,1988-01-27T09:34:05Z,-38.34,0.0,178.84,0.1,30.0,5.0,ML,,,,,,,3.5,0.0,2,,,,,,
24961,1988-02-03T01:26:10Z,-39.5,0.0,173.5,0.0,12.0,0.0,ML,,,,,,,2.5,nan,1,,,,,,
24962,1988-02-03T03:29:50Z,-39.5,0.0,173.5,0.0,12.0,0.0,ML,,,,,,,2.5,nan,1,,,,,,
24727,1988-02-12T10:14:09Z,-37.67,0.1,178.8,0.2,33.0,0.0,ML,,,,,,,3.1,0.1,2,,,,,,
25370,1988-02-13T20:46:01Z,-37.65,0.1,178.71,0.1,33.0,0.0,ML,,,,,,,2.9,0.1,2,,,,,,
25371,1988-02-13T22:36:25Z,-35.59,0.0,178.51,0.0,205.0,3.0,ML,,,,,,,3.9,0.1,2,,,,,,
10127,1988-02-14T13:16:11Z,-39.16,0.0,177.4,0.0,9.0,3.0,ML,,,,,,,2.7,0.2,6,,,,,,
10577,1988-02-15T11:37:23Z,-41.06,0.0,175.53,0.0,30.0,2.0,ML,,,,,,,1.5,0.1,2,,,,,,
11131,1988-02-17T20:08:53Z,-40.98,0.0,174.86,0.0,60.0,0.0,ML,,,,,,,2.1,0.1,3,,,,,,
11133,1988-02-19T02:55:52Z,-40.53,0.0,174.05,0.0,91.0,5.0,ML,,,,,,,2.7,0.2,6,,,,,,
11584,1988-02-19T04:25:54Z,-39.03,0.0,177.03,0.0,51.0,5.0,ML,,,,,,,2.9,0.2,5,,,,,,
11627,1988-02-19T09:21:02Z,-45.27,0.0,167.1,0.0,12.0,0.0,ML,,,,,,,4.2,0.1,4,,,,,,
11143,1988-02-19T10:05:04Z,-34.35,0.2,-179.92,0.2,352.0,25.0,ML,,,,,,,4.7,0.2,17,,,,,,
11628,1988-02-19T10:33:33Z,-44.25,0.0,168.63,0.0,12.0,0.0,ML,,,,,,,2.8,0.2,8,,,,,,
11144,1988-02-19T12:20:41Z,-38.39,0.0,176.33,0.1,197.0,4.0,ML,,,,,,,3.4,0.1,7,,,,,,
11145,1988-02-19T13:21:33Z,-40.18,0.0,176.63,0.1,78.0,6.0,ML,,,,,,,2.7,0.1,5,,,,,,
11146,1988-02-19T13:26:59Z,-34.66,0.2,179.53,0.3,408.0,14.0,ML,,,,,,,3.8,0.2,6,,,,,,
11148,1988-02-19T14:53:57Z,-39.96,0.0,174.14,0.0,152.0,2.0,ML,,,,,,,2.7,0.2,6,,,,,,
11655,1988-02-19T14:55:30Z,-41.68,0.0,174.28,0.0,10.0,3.0,ML,,,,,,,2.6,0.2,9,,,,,,
11150,1988-02-19T16:47:12Z,-39.9,0.0,175.27,0.0,5.0,0.0,ML,,,,,,,2.9,0.2,8,,,,,,
11151,1988-02-19T17:02:43Z,-41.01,0.0,174.03,0.1,83.0,5.0,ML,,,,,,,2.4,0.2,5,,,,,,
11152,1988-02-19T17:09:23Z,-41.38,0.0,174.55,0.0,29.0,1.0,ML,,,,,,,1.7,0.1,3,,,,,,
11154,1988-02-19T19:48:11Z,-37.3,0.1,177.0,0.0,208.0,5.0,ML,,,,,,,4.5,0.2,16,,,,,,
11155,1988-02-19T20:32:37Z,-40.61,0.0,174.85,0.0,30.0,1.0,ML,,,,,,,2.4,0.1,7,,,,,,
11280,1988-02-20T01:51:38Z,-39.24,0.0,176.37,0.0,71.0,7.0,ML,,,,,,,3.1,0.2,7,,,,,,
11585,1988-02-20T08:04:04Z,-39.71,0.0,176.85,0.0,33.0,2.0,ML,,,,,,,2.3,0.1,5,,,,,,
11169,1988-02-20T09:35:00Z,-41.51,0.0,173.65,0.0,89.0,2.0,ML,,,,,,,2.8,0.0,2,,,,,,
11170,1988-02-20T09:44:06Z,-40.96,0.0,174.51,0.0,65.0,1.0,ML,,,,,,,2.6,0.2,3,,,,,,
11171,1988-02-20T10:07:24Z,-40.36,0.0,176.17,0.0,45.0,5.0,ML,,,,,,,3.1,0.2,6,,,,,,
11633,1988-02-20T10:33:12Z,-45.54,0.0,166.48,0.0,2.0,3.0,ML,,,,,,,4.5,0.2,6,,,,,,
11173,1988-02-20T11:26:31Z,-36.24,0.2,175.86,0.3,161.0,62.0,ML,,,,,,,4.2,0.2,10,,,,,,
11636,1988-02-20T12:26:30Z,-45.33,0.0,167.46,0.0,33.0,0.0,ML,,,,,,,2.3,nan,1,,,,,,
11409,1988-02-20T15:00:12Z,-35.61,0.3,177.63,0.5,243.0,34.0,ML,,,,,,,4.2,nan,1,,,,,,
11644,1988-02-20T21:51:08Z,-45.16,0.0,168.86,0.0,9.0,1.0,ML,,,,,,,1.5,nan,1,,,,,,
11174,1988-02-20T22:03:00Z,-39.32,0.0,174.92,0.0,200.0,0.0,ML,,,,,,,3.5,0.1,2,,,,,,
11645,1988-02-20T23:17:12Z,-45.3,0.0,167.27,0.1,33.0,0.0,ML,,,,,,,2.2,0.0,2,,,,,,
11589,1988-02-21T06:34:57Z,-39.58,0.0,176.77,0.0,32.0,2.0,ML,,,,,,,2.4,0.1,3,,,,,,
11176,1988-02-21T07:43:15Z,-40.22,0.0,174.46,0.0,88.0,5.0,ML,,,,,,,3.2,0.5,2,,,,,,
11178,1988-02-21T12:05:53Z,-40.86,0.0,173.6,0.0,85.0,6.0,ML,,,,,,,3.4,0.2,9,,,,,,
11180,1988-02-21T14:27:50Z,-38.63,0.0,176.21,0.0,214.0,1.0,ML,,,,,,,3.7,0.0,2,,,,,,
11591,1988-02-21T14:54:21Z,-39.82,0.0,176.84,0.0,45.0,4.0,ML,,,,,,,2.6,0.1,5,,,,,,
11650,1988-02-21T15:23:05Z,-44.47,0.0,167.52,0.0,5.0,0.0,ML,,,,,,,3.2,0.1,9,,,,,,
11182,1988-02-21T16:43:54Z,-40.2,0.0,174.85,0.0,5.0,0.0,ML,,,,,,,2.2,0.1,5,,,,,,
11183,1988-02-21T17:04:17Z,-41.13,0.0,174.91,0.0,16.0,1.0,ML,,,,,,,1.8,0.1,2,,,,,,
11186,1988-02-21T21:10:59Z,-40.28,0.0,174.19,0.0,116.0,1.0,ML,,,,,,,2.6,nan,1,,,,,,
11187,1988-02-21T23:12:27Z,-41.41,0.0,173.25,0.0,137.0,2.0,ML,,,,,,,3.1,0.2,6,,,,,,
11189,1988-02-22T07:09:54Z,-41.12,0.0,174.91,0.0,15.0,3.0,ML,,,,,,,2.1,0.1,2,,,,,,
11651,1988-02-22T07:25:24Z,-42.45,0.1,170.63,0.0,12.0,0.0,ML,,,,,,,3.5,0.6,2,,,,,,
11190,1988-02-22T09:02:08Z,-38.02,0.1,176.24,0.1,191.0,8.0,ML,,,,,,,3.6,0.2,9,,,,,,
11653,1988-02-22T09:07:48Z,-45.07,0.0,167.55,0.0,113.0,1.0,ML,,,,,,,3.2,0.2,8,,,,,,
11191,1988-02-22T09:51:39Z,-40.38,0.0,175.21,0.0,6.0,6.0,ML,,,,,,,2.5,0.1,4,,,,,,
11216,1988-02-22T17:53:13Z,-39.13,0.0,177.25,0.0,44.0,7.0,ML,,,,,,,3.9,0.2,15,,,,,,
11331,1988-02-22T18:31:09Z,-38.51,0.1,177.06,0.0,28.0,0.0,ML,,,,,,,2.6,0.1,2,,,,,,
11223,1988-02-22T18:50:10Z,-38.01,0.0,177.52,0.0,62.0,6.0,ML,,,,,,,3.7,0.2,13,,,,,,
11233,1988-02-22T20:11:38Z,-41.32,0.0,172.41,0.0,5.0,0.0,ML,,,,,,,3.1,0.2,5,,,,,,
25437,1988-02-23T02:11:20Z,-33.71,0.1,-178.49,0.1,33.0,0.0,ML,,,,,,,4.7,0.3,5,,,,,,
11243,1988-02-23T04:27:11Z,-37.73,0.1,176.84,0.1,167.0,10.0,ML,,,,,,,4.2,0.3,16,,,,,,
11246,1988-02-23T09:04:06Z,-40.89,0.0,175.53,0.0,24.0,1.0,ML,,,,,,,3.2,0.1,7,,,,,,
11247,1988-02-23T09:25:54Z,-40.88,0.0,175.56,0.0,27.0,1.0,ML,,,,,,,2.5,0.1,2,,,,,,
11248,1988-02-23T10:19:00Z,-36.51,0.0,178.14,0.1,120.0,6.0,ML,,,,,,,4.4,0.3,6,,,,,,
25456,1988-02-23T10:55:02Z,-37.57,0.1,179.97,0.1,12.0,0.0,ML,,,,,,,3.8,0.2,3,,,,,,
11430,1988-02-23T10:57:55Z,-46.3,0.0,169.11,0.0,12.0,0.0,ML,,,,,,,3.3,0.2,7,,,,,,
11432,1988-02-23T11:33:38Z,-45.75,0.0,167.13,0.0,104.0,1.0,ML,,,,,,,3.6,0.1,6,,,,,,
10581,1988-02-24T12:50:36Z,-37.0,0.1,177.22,0.1,302.0,5.0,ML,,,,,,,3.8,0.3,4,,,,,,
