"Lat","Lon","Vs30","sigma_meas","Location_ID","Data_Source","Qflag","Region(QMAP_quadrant)"
-43.291569,172.714373,"220.5","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.304781,172.606226,"225.3","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.307775,172.641398,"185.6","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.300348,172.680375,"160.5","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.309414,172.700931,"199.9","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.30795,172.605912,"227.9","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.312292,172.625507,"200.3","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.312292,172.625507,"200.3","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.316725,172.666176,"151.5","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.312914,172.699869,"200.5","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.312998,172.700026,"213.5","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.329064,172.667753,"180.7","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.329175,172.667762,"170.5","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.334813,172.681705,"184.8","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.328956,172.685334,"217.8","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.355683,172.664438,"209.1","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.351851,172.676969,"214.9","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.357683,172.664722,"209.7","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.37236,172.668385,"257.6","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.3706,172.698434,"196.2","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.370628,172.698693,"194.3","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.37577,172.632733,"259.8","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.380924,172.642402,"205.7","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.379962,172.653476,"208.9","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.378611,172.665096,"223.6","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.380526,172.673111,"237.6","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.376582,172.703006,"172.0","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.382671,172.630709,"210.7","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.387448,172.645153,"206.8","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.384741,172.657056,"198.3","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.385894,172.667663,"210.6","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.386119,172.673357,"206.4","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.386202,172.703096,"190.8","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.393317,172.642431,"181.5","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.394084,172.658973,"203.1","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.393943,172.661192,"201.3","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.399631,172.693299,"187.7","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.397325,172.701158,"191.1","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.403076,172.644162,"175.9","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
-43.40322,172.650239,"208.1","0.2","NA","McGann et al. (2017)","NA","Christchurch        "
