publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2017p488705,earthquake,2017-06-30T19:42:17Z,2017-07-14T03:20:00Z,179.7587738,-37.63889313,3.956523219,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,47,35,24,1.155904412,222.7522736,0.4297624373,0
2017p487757,outside of network interest,2017-06-30T11:16:26Z,2017-07-14T02:16:47Z,-178.6501007,-33.33870697,4.036073477,340.585083,M,NA,LOCSAT,confirmed,manual,iasp91,38,38,17,4.111789227,198.3799734,0.507588212,0
2017p487235,earthquake,2017-06-30T06:39:11Z,2017-07-14T01:04:34Z,177.2438812,-36.79600525,3.993467373,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,46,41,80,0.722708106,195.4105225,0.6031791556,0
2017p487178,earthquake,2017-06-30T06:08:31Z,2017-07-14T00:35:24Z,177.2115936,-36.8372879,3.574190591,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,35,30,67,0.6801096201,192.1625061,0.3955909069,0
2017p487159,earthquake,2017-06-30T05:58:46Z,2017-07-14T00:29:28Z,177.2324829,-36.8188591,3.806997596,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,16,9,0.6993327737,193.8296661,0.701715368,0
2017p487158,earthquake,2017-06-30T05:56:52Z,2017-07-14T00:15:59Z,177.2579193,-36.78279877,4.237208567,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,15,17,0.7367446423,196.5667877,0.8370310829,0
2017p483083,earthquake,2017-06-28T17:47:05Z,2017-07-12T01:48:40Z,178.7922058,-37.19576263,4.005047448,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,36,33,74,0.5324125886,265.7872162,0.6097544729,0
2017p482814,earthquake,2017-06-28T15:23:07Z,2017-07-12T01:42:18Z,165.933136,-47.35744476,4.487571896,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,9,14,1.297737718,312.9228516,0.6210927801,0
2017p481995,earthquake,2017-06-28T08:07:18Z,2017-07-12T01:10:04Z,174.941803,-35.85826111,3.726419013,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,27,18,37,0.4911127687,190.8127136,0.401453574,0
2017p481365,outside of network interest,2017-06-28T02:30:25Z,2017-07-11T23:56:47Z,-179.0343475,-33.53977585,3.748193252,421.0919189,M,NA,LOCSAT,confirmed,manual,iasp91,16,15,7,4.369633675,194.7334461,0.4970611404,0
2017p481316,earthquake,2017-06-28T02:05:27Z,2017-07-11T23:47:26Z,178.9640656,-37.15367889,4.096247775,19.68053055,M,NA,LOCSAT,confirmed,manual,iasp91,27,22,73,0.6639033556,271.6902771,0.5892687462,0
2017p480037,earthquake,2017-06-27T14:43:21Z,2017-07-11T22:50:32Z,-178.3793488,-34.16186142,4.541439097,33,M,operator assigned,LOCSAT,confirmed,manual,iasp91,18,16,7,4.330605984,167.663816,1.445328384,0
2017p480004,earthquake,2017-06-27T14:26:15Z,2017-06-27T18:44:12Z,174.8292999,-39.3555603,4.087613334,18.65919113,M,NA,LOCSAT,confirmed,manual,iasp91,41,33,25,0.2373693734,89.12872314,0.239675495,0
2017p479977,earthquake,2017-06-27T14:11:53Z,2017-07-11T22:42:05Z,174.2827454,-41.81378937,3.62228514,8.168047905,M,NA,LOCSAT,confirmed,manual,iasp91,22,16,51,0.08274302632,150.5901794,0.3289808343,0
2017p478873,earthquake,2017-06-27T04:23:48Z,2017-07-10T03:39:35Z,173.6472015,-42.49707031,3.694677225,4.859284401,M,NA,LOCSAT,confirmed,manual,iasp91,16,12,49,0.07575963438,191.2420959,0.3518004233,0
2017p477243,earthquake,2017-06-26T13:55:15Z,2017-06-27T00:53:42Z,168.2045135,-44.64047623,3.585917687,71.21751404,M,NA,LOCSAT,confirmed,manual,iasp91,15,8,6,0.201191619,136.0062065,0.4294649806,0
2017p474096,earthquake,2017-06-25T09:58:30Z,2017-06-25T11:04:55Z,166.3557281,-46.14537811,3.52721113,21.01975441,M,NA,LOCSAT,confirmed,manual,iasp91,9,6,5,0.2268521786,275.5762901,0.6320311218,0
