PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,M,M_Uncertainty,M_StationCount
2178125,1929-03-09T10:50:00Z,-42.84,0.0,171.83,0.0,12.0,0.0,Mw,7.0,nan,0,7.0,nan,0,,,
2178126,1929-05-07T16:14:00Z,-40.1,0.0,175.5,0.0,12.0,0.0,Mw,5.2,nan,0,5.5,nan,0,,,
2178127,1929-05-29T03:50:00Z,-40.0,0.0,176.0,0.0,25.0,0.0,M,,,,,,,5.5,nan,0
2178128,1929-06-16T22:47:43Z,-41.7,0.0,172.2,0.0,20.0,0.0,Mw,7.8,nan,0,7.3,nan,0,,,
2178129,1929-06-18T14:31:00Z,-41.7,0.0,172.2,0.0,25.0,0.0,M,,,,,,,6.0,nan,0
2178130,1929-06-18T21:58:00Z,-41.7,0.0,172.2,0.0,25.0,0.0,M,,,,,,,6.0,nan,0
2178131,1929-06-19T03:25:00Z,-41.7,0.0,172.2,0.0,25.0,0.0,MS,5.0,nan,0,,,,5.5,nan,0
2653035,1929-06-19T09:17:00Z,-41.69,0.0,172.43,0.0,12.0,0.0,Mw,5.5,nan,0,6.3,nan,0,,,
2178132,1929-06-20T14:47:00Z,-41.7,0.0,172.2,0.0,25.0,0.0,M,,,,,,,6.3,nan,0
2178133,1929-06-22T15:30:00Z,-41.78,0.0,172.32,0.0,12.0,0.0,Mw,6.2,nan,0,6.5,nan,0,,,
2178134,1929-06-22T18:39:00Z,-41.78,0.0,172.32,0.0,12.0,0.0,Mw,5.9,nan,0,6.4,nan,0,,,
