PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,M,M_Uncertainty,M_StationCount
2178270,1940-01-04T13:06:24Z,-41.0,0.0,174.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178271,1940-01-06T18:19:24Z,-41.5,0.0,175.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178272,1940-01-07T09:34:48Z,-40.0,0.0,175.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178273,1940-01-08T09:41:24Z,-41.7,0.0,174.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178274,1940-01-09T16:26:36Z,-42.0,0.0,178.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178275,1940-01-11T12:35:24Z,-40.2,0.0,173.0,0.0,25.0,0.0,M,,,,5.5,nan,0
2178276,1940-01-21T07:16:54Z,-39.0,0.0,177.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178278,1940-01-24T04:00:18Z,-39.0,0.0,175.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178279,1940-01-24T04:01:12Z,-39.0,0.0,175.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178280,1940-01-27T04:32:42Z,-40.0,0.0,174.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178281,1940-01-27T07:16:54Z,-40.0,0.0,174.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178282,1940-02-01T18:37:54Z,-40.0,0.0,174.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178283,1940-02-05T09:15:54Z,-41.5,0.0,173.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178284,1940-02-07T11:12:48Z,-40.0,0.0,174.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178285,1940-02-07T19:36:48Z,-39.2,0.0,176.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178286,1940-02-07T20:42:12Z,-40.2,0.0,174.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178287,1940-02-09T12:27:00Z,-41.5,0.0,172.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178288,1940-02-13T02:52:06Z,-43.0,0.0,173.0,0.0,25.0,0.0,M,,,,3.0,nan,0
2178289,1940-02-13T03:04:54Z,-43.0,0.0,173.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178290,1940-02-14T09:48:18Z,-40.2,0.0,175.7,0.0,25.0,0.0,M,,,,4.5,nan,0
2178291,1940-02-14T11:55:06Z,-40.3,0.0,175.2,0.0,25.0,0.0,M,,,,4.5,nan,0
2178292,1940-02-15T16:22:24Z,-40.2,0.0,174.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178293,1940-02-19T23:29:36Z,-42.0,0.0,176.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178294,1940-02-23T03:32:30Z,-40.0,0.0,175.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178295,1940-02-24T03:30:00Z,-43.5,0.0,171.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178296,1940-02-26T06:16:36Z,-39.5,0.0,176.5,0.0,25.0,0.0,M,,,,6.0,nan,0
2178298,1940-03-14T21:18:42Z,-40.0,0.0,174.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178299,1940-03-17T11:36:30Z,-38.7,0.0,176.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178300,1940-03-17T17:06:54Z,-37.7,0.0,178.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178301,1940-03-19T14:53:30Z,-39.0,0.0,176.5,0.0,12.0,0.0,MS,5.2,nan,0,5.0,nan,0
2178302,1940-03-19T14:58:48Z,-39.0,0.0,176.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178303,1940-03-19T15:31:30Z,-39.0,0.0,176.5,0.0,25.0,0.0,M,,,,4.5,nan,0
2178304,1940-03-19T17:06:36Z,-39.2,0.0,177.0,0.0,25.0,0.0,M,,,,4.5,nan,0
2178305,1940-03-20T07:43:30Z,-38.0,0.0,177.0,0.0,25.0,0.0,M,,,,4.5,nan,0
