PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount
1546256,1960-07-03T13:28:26Z,-38.68,0.0,175.13,0.1,259.0,13.0,ML,5.6,nan,1
1546257,1960-07-06T01:14:44Z,-44.12,0.5,167.63,0.5,12.0,0.0,ML,4.2,0.5,2
1546258,1960-07-07T02:03:33Z,-44.47,0.1,166.99,0.2,12.0,0.0,ML,4.5,0.2,2
1546259,1960-07-08T06:54:38Z,-41.08,0.1,174.36,0.1,12.0,0.0,ML,4.2,0.1,4
1546260,1960-07-11T16:22:50Z,-41.5,0.0,172.09,0.0,12.0,0.0,ML,3.7,0.1,4
1546261,1960-07-18T22:16:46Z,-39.24,0.0,177.91,0.1,12.0,0.0,ML,4.0,0.2,4
1546262,1960-07-19T10:52:47Z,-41.89,0.0,174.34,0.0,33.0,0.0,ML,4.3,0.2,4
1546265,1960-07-25T13:25:09Z,-38.81,0.1,176.08,0.1,125.0,23.0,ML,4.0,0.1,2
1546266,1960-07-25T14:16:52Z,-44.37,0.1,167.72,0.3,12.0,0.0,ML,4.1,0.4,2
1546267,1960-07-27T15:06:52Z,-44.4,0.1,167.59,0.2,12.0,0.0,ML,4.6,0.6,3
1546268,1960-07-27T22:36:55Z,-38.91,0.1,177.76,0.2,12.0,0.0,ML,4.6,0.1,4
1546269,1960-07-29T22:06:19Z,-40.16,0.1,174.2,0.1,139.0,18.0,ML,4.1,nan,1
1546270,1960-07-31T15:50:11Z,-36.94,0.2,177.79,0.4,174.0,34.0,ML,5.2,nan,1
1546271,1960-08-04T01:15:03Z,-37.45,0.1,177.43,0.2,105.0,29.0,ML,4.7,nan,1
1546272,1960-08-05T03:37:22Z,-41.07,0.1,176.1,0.2,33.0,0.0,ML,4.2,0.4,4
1546273,1960-08-06T04:01:26Z,-40.04,0.1,173.5,0.2,181.0,31.0,ML,4.6,nan,2
1546275,1960-08-07T08:54:33Z,-44.35,0.1,167.1,0.2,12.0,0.0,ML,5.2,0.3,5
1546276,1960-08-08T14:23:44Z,-41.9,0.0,173.31,0.1,33.0,0.0,ML,4.2,0.7,6
1546277,1960-08-09T08:43:45Z,-44.68,0.2,167.12,0.3,12.0,0.0,ML,4.4,0.2,3
1546278,1960-08-13T10:54:11Z,-37.54,0.0,176.98,0.1,107.0,10.0,ML,4.0,0.1,2
1546279,1960-08-14T09:11:44Z,-44.32,0.2,167.61,0.3,12.0,0.0,ML,4.2,0.3,3
1546280,1960-08-14T17:24:40Z,-38.87,0.1,173.8,0.1,33.0,0.0,ML,3.7,0.3,3
1546281,1960-08-16T17:36:18Z,-37.56,0.1,177.77,0.1,150.0,10.0,ML,4.5,0.4,2
1546282,1960-08-19T08:37:53Z,-37.59,0.0,176.49,0.1,226.0,8.0,ML,4.5,0.1,2
1546283,1960-08-20T00:02:20Z,-38.46,0.1,176.12,0.1,136.0,15.0,ML,4.3,0.1,2
