PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount
1547306,1963-01-01T02:35:50Z,-37.88,0.1,176.64,0.3,215.0,26.0,ML,,,,4.1,0.4,2
1547307,1963-01-01T12:19:43Z,-37.61,0.0,176.82,0.1,232.0,4.0,ML,,,,4.2,0.4,2
1547308,1963-01-01T19:57:57Z,-38.88,0.0,174.88,0.1,226.0,5.0,ML,,,,3.6,0.5,1
1547309,1963-01-02T12:46:07Z,-45.75,0.0,169.75,0.0,12.0,0.0,ML,,,,2.5,0.8,2
1547310,1963-01-03T14:28:17Z,-39.65,0.0,174.21,0.1,205.0,5.0,ML,,,,4.0,0.4,2
1547312,1963-01-09T23:38:50Z,-38.44,0.1,176.38,0.2,5.0,0.0,ML,,,,2.6,nan,2
1547313,1963-01-11T07:21:57Z,-43.89,0.1,168.04,0.2,12.0,0.0,ML,,,,4.3,0.2,3
1547314,1963-01-11T17:50:46Z,-41.49,0.1,174.08,0.1,33.0,0.0,ML,,,,3.7,0.4,5
1547315,1963-01-12T03:02:51Z,-39.85,0.1,174.3,0.1,33.0,0.0,ML,,,,3.4,0.4,6
1547317,1963-01-16T01:07:06Z,-40.77,0.1,174.47,0.1,12.0,0.0,ML,,,,3.2,0.5,3
1547318,1963-01-17T02:02:55Z,-37.2,0.2,177.01,0.3,249.0,31.0,ML,,,,4.4,0.2,2
1547319,1963-01-17T05:18:26Z,-40.62,0.1,174.61,0.1,83.0,23.0,ML,,,,3.2,0.5,2
1547320,1963-01-17T07:14:42Z,-39.25,0.0,176.04,0.0,86.0,4.0,ML,,,,4.0,0.7,2
1547321,1963-01-18T16:44:24Z,-40.11,0.1,174.01,0.1,136.0,17.0,ML,,,,3.9,0.5,2
1547322,1963-01-19T10:16:05Z,-41.2,0.1,172.39,0.1,12.0,0.0,ML,,,,3.7,0.4,5
1547323,1963-01-19T14:31:14Z,-36.42,0.3,178.41,0.4,150.0,0.0,ML,,,,4.4,0.7,2
1547324,1963-01-19T20:38:08Z,-41.56,0.2,171.52,0.6,12.0,0.0,ML,,,,3.3,0.4,3
1547325,1963-01-20T06:19:24Z,-38.0,0.0,177.0,0.0,12.0,0.0,ML,,,,2.7,0.2,2
1547326,1963-01-20T15:38:22Z,-41.76,0.1,174.68,0.2,12.0,0.0,ML,,,,3.5,0.4,5
1547327,1963-01-20T16:03:10Z,-44.89,0.1,167.73,0.1,12.0,0.0,ML,,,,4.0,0.2,4
1547328,1963-01-21T08:57:26Z,-46.25,0.3,166.06,0.7,12.0,0.0,ML,,,,4.4,0.2,4
1547329,1963-01-23T00:50:32Z,-38.83,0.1,175.23,0.1,256.0,7.0,ML,,,,4.7,0.4,3
1547330,1963-01-23T22:30:02Z,-40.53,0.1,174.59,0.1,33.0,0.0,ML,,,,3.6,0.4,7
1547331,1963-01-25T13:41:53Z,-39.3,0.0,174.42,0.1,197.0,9.0,ML,,,,4.4,0.4,3
1547332,1963-01-25T20:02:05Z,-37.52,0.1,177.18,0.1,12.0,0.0,ML,,,,4.0,0.2,5
1547333,1963-01-26T01:52:04Z,-38.01,0.0,176.8,0.1,12.0,0.0,ML,,,,4.2,0.4,8
1547334,1963-01-26T01:54:53Z,-37.69,0.2,177.07,0.2,12.0,0.0,ML,,,,3.8,0.2,4
1547335,1963-01-26T03:28:01Z,-37.9,0.1,176.88,0.1,12.0,0.0,ML,,,,4.5,0.8,7
1547336,1963-01-26T04:34:35Z,-39.96,0.0,174.34,0.0,12.0,0.0,ML,,,,3.9,0.4,8
1547337,1963-01-27T07:42:20Z,-41.8,0.1,171.61,0.1,12.0,0.0,ML,,,,4.1,0.4,7
1547338,1963-01-27T23:13:33Z,-39.58,0.0,174.71,0.1,33.0,0.0,ML,,,,3.6,0.4,7
1547339,1963-01-29T17:12:50Z,-38.61,0.1,175.73,0.1,173.0,13.0,ML,,,,3.7,0.4,2
1547340,1963-01-29T18:27:44Z,-38.94,0.1,175.03,0.1,217.0,9.0,ML,,,,3.6,0.4,2
1547341,1963-02-01T18:43:04Z,-41.64,0.0,173.46,0.0,12.0,0.0,ML,,,,4.2,0.6,7
1547342,1963-02-04T18:56:34Z,-37.99,0.1,176.05,0.1,288.0,4.0,ML,,,,4.3,0.6,1
1547344,1963-02-06T01:18:49Z,-37.35,0.1,176.52,0.1,353.0,6.0,ML,,,,4.7,0.5,2
1547345,1963-02-06T05:16:57Z,-40.57,0.0,176.46,0.0,12.0,0.0,ML,,,,4.0,0.4,7
1547346,1963-02-06T19:05:42Z,-41.38,0.0,172.82,0.1,118.0,6.0,ML,,,,3.4,0.6,1
1547347,1963-02-09T02:06:28Z,-39.88,0.1,176.56,0.1,12.0,0.0,ML,,,,3.3,0.1,2
1547348,1963-02-09T16:54:34Z,-35.17,0.1,178.48,0.2,12.0,0.0,ML,,,,5.1,0.6,9
1547349,1963-02-09T19:08:33Z,-35.48,0.2,178.38,0.2,12.0,0.0,ML,,,,4.8,0.1,6
1547350,1963-02-10T06:14:09Z,-37.49,0.1,177.13,0.1,166.0,12.0,ML,,,,4.1,0.5,2
1547351,1963-02-10T17:56:44Z,-39.26,0.0,177.04,0.0,12.0,0.0,ML,,,,2.6,0.1,2
1547352,1963-02-12T00:34:04Z,-39.21,0.1,174.83,0.1,228.0,8.0,ML,,,,4.4,0.6,2
1547353,1963-02-14T01:53:49Z,-39.06,0.1,175.38,0.1,173.0,9.0,ML,,,,4.0,0.2,1
1547354,1963-02-14T08:40:12Z,-37.56,0.1,177.74,0.1,113.0,9.0,ML,,,,4.1,0.4,2
1547355,1963-02-14T09:11:04Z,-38.74,0.1,175.79,0.1,173.0,10.0,ML,,,,3.6,0.1,2
1547358,1963-02-15T03:36:22Z,-37.72,0.1,177.03,0.1,12.0,0.0,ML,,,,3.7,0.3,3
1547359,1963-02-15T06:37:26Z,-37.81,0.2,176.95,0.2,12.0,0.0,ML,,,,3.5,0.3,3
1547360,1963-02-15T10:07:17Z,-38.2,0.0,176.4,0.0,12.0,0.0,ML,,,,2.7,0.4,3
1547361,1963-02-15T11:25:31Z,-37.68,0.1,177.07,0.1,12.0,0.0,ML,,,,3.6,0.2,3
1547362,1963-02-15T11:40:29Z,-37.77,0.0,176.97,0.0,12.0,0.0,ML,,,,3.6,0.3,3
1547363,1963-02-15T18:27:43Z,-37.4,0.1,177.21,0.2,12.0,0.0,ML,,,,3.6,0.4,3
1547364,1963-02-15T20:12:51Z,-37.42,0.1,177.22,0.1,12.0,0.0,ML,,,,4.0,0.3,3
1547365,1963-02-16T20:22:01Z,-35.83,0.3,178.46,0.6,12.0,0.0,ML,,,,4.2,0.2,2
1547366,1963-02-18T06:45:55Z,-41.75,0.1,174.72,0.3,5.0,0.0,ML,,,,3.4,0.7,3
1547367,1963-02-20T18:16:05Z,-38.59,0.1,175.84,0.1,169.0,9.0,ML,,,,4.0,0.4,2
1547368,1963-02-24T15:28:38Z,-38.38,0.1,178.8,0.1,12.0,0.0,ML,,,,4.1,0.3,7
1547369,1963-02-26T12:20:07Z,-41.52,0.2,174.59,0.1,12.0,0.0,ML,,,,3.2,nan,1
1547370,1963-02-27T02:26:31Z,-39.97,0.0,176.89,0.1,12.0,0.0,ML,,,,3.8,0.4,6
1547371,1963-02-27T02:43:33Z,-41.02,0.1,175.41,0.2,12.0,0.0,ML,,,,3.6,0.5,6
1547372,1963-03-03T01:44:12Z,-37.99,0.1,177.74,0.2,12.0,0.0,ML,,,,3.4,0.4,4
1547374,1963-03-04T21:33:54Z,-42.71,0.0,173.04,0.1,12.0,0.0,ML,,,,4.0,0.3,7
1547375,1963-03-05T16:39:07Z,-36.44,0.1,178.31,0.2,202.0,22.0,ML,,,,4.2,0.3,2
1547377,1963-03-10T11:56:35Z,-40.71,0.0,174.96,0.1,12.0,0.0,ML,,,,4.3,0.4,9
1547378,1963-03-11T02:01:56Z,-38.51,0.0,175.88,0.1,164.0,11.0,ML,,,,3.8,0.4,2
1547379,1963-03-18T10:24:16Z,-37.21,0.1,179.63,0.2,33.0,0.0,ML,,,,4.2,0.3,8
1547380,1963-03-19T16:16:30Z,-41.67,0.2,172.29,0.2,12.0,0.0,ML,,,,3.5,0.4,6
1547383,1963-03-24T14:53:05Z,-37.44,0.2,176.73,1.0,260.0,0.0,ML,,,,3.9,0.5,1
1547384,1963-03-25T14:22:29Z,-37.79,0.0,177.58,0.1,12.0,0.0,ML,,,,4.8,0.5,10
1547387,1963-03-29T07:16:35Z,-41.8,0.0,171.5,0.0,12.0,0.0,ML,,,,2.7,nan,1
1547388,1963-03-29T17:36:54Z,-41.8,0.0,171.5,0.0,12.0,0.0,ML,,,,2.7,nan,1
1547389,1963-03-31T15:09:03Z,-40.91,0.0,174.05,0.1,125.0,9.0,ML,,,,3.9,0.6,2
1547391,1963-04-03T16:12:05Z,-41.67,0.0,173.4,0.0,33.0,0.0,ML,,,,3.2,0.5,6
1547392,1963-04-05T09:00:30Z,-38.93,0.1,175.18,0.1,226.0,16.0,ML,,,,3.3,0.5,2
1547393,1963-04-06T10:01:40Z,-38.66,0.1,175.98,0.1,87.0,11.0,ML,,,,3.5,0.4,2
1547395,1963-04-07T23:32:34Z,-38.82,0.0,175.44,0.1,174.0,11.0,ML,,,,3.8,0.3,2
1547396,1963-04-08T15:34:27Z,-37.39,0.2,174.7,0.4,12.0,0.0,ML,,,,3.1,0.2,3
1547397,1963-04-09T09:06:22Z,-40.31,0.1,173.5,0.1,152.0,8.0,ML,,,,3.3,0.6,1
1547398,1963-04-09T09:27:17Z,-37.85,0.0,177.45,0.1,70.0,0.0,ML,,,,3.9,0.3,2
1547399,1963-04-09T15:33:31Z,-36.98,0.0,176.03,0.1,12.0,0.0,ML,,,,3.6,0.3,3
1547400,1963-04-09T19:12:34Z,-41.55,0.1,175.24,0.1,12.0,0.0,ML,,,,3.4,0.5,4
1547401,1963-04-10T03:28:13Z,-40.78,0.1,176.65,0.1,12.0,0.0,ML,,,,4.0,0.4,9
1547402,1963-04-10T05:18:55Z,-37.29,0.0,174.91,0.1,12.0,0.0,ML,,,,3.2,0.2,3
1547403,1963-04-10T09:05:24Z,-40.77,0.1,176.39,0.1,12.0,0.0,ML,,,,3.5,0.5,5
1547404,1963-04-10T10:20:52Z,-41.38,0.1,173.59,0.1,79.0,18.0,ML,,,,3.5,1.2,2
1547405,1963-04-10T11:59:28Z,-36.95,0.1,175.98,0.2,12.0,0.0,ML,,,,3.9,0.4,3
1547406,1963-04-10T12:56:31Z,-37.0,0.0,175.5,0.0,12.0,0.0,ML,,,,2.2,nan,1
1547407,1963-04-10T15:03:22Z,-36.99,0.1,175.86,0.2,12.0,0.0,ML,,,,2.6,0.4,1
1547408,1963-04-10T17:48:14Z,-37.05,0.2,175.56,0.7,12.0,0.0,ML,,,,2.5,0.5,1
1547409,1963-04-10T22:45:53Z,-37.07,0.2,175.43,0.6,12.0,0.0,ML,,,,2.8,0.4,2
1547410,1963-04-11T02:20:00Z,-37.4,0.0,176.33,0.0,12.0,0.0,ML,,,,3.5,0.3,3
1547411,1963-04-11T07:49:04Z,-37.4,0.0,176.5,0.0,12.0,0.0,ML,,,,2.6,nan,1
1547412,1963-04-11T12:47:33Z,-37.04,0.0,175.56,0.1,12.0,0.0,ML,,,,3.7,0.3,4
1547413,1963-04-11T16:51:54Z,-36.99,0.1,175.86,0.1,12.0,0.0,ML,,,,3.1,0.5,2
1547414,1963-04-11T19:10:39Z,-37.15,0.1,175.24,0.2,12.0,0.0,ML,,,,2.6,0.4,2
1547415,1963-04-11T20:59:43Z,-37.2,0.0,175.0,0.1,12.0,0.0,ML,,,,2.9,0.3,3
1547416,1963-04-12T08:41:44Z,-38.7,0.1,176.8,0.1,21.0,9.0,MS,5.7,nan,0,5.8,0.4,6
1547417,1963-04-12T08:56:33Z,-38.83,0.0,176.73,0.0,33.0,0.0,ML,,,,2.7,0.3,3
1547418,1963-04-12T09:14:04Z,-38.72,0.0,176.8,0.0,12.0,0.0,ML,,,,3.7,0.5,6
1547419,1963-04-12T09:21:25Z,-38.6,0.0,176.84,0.0,12.0,0.0,ML,,,,3.2,0.4,5
1547420,1963-04-12T09:59:30Z,-39.3,0.0,176.7,0.0,33.0,0.0,ML,,,,2.1,0.5,0
1547421,1963-04-12T13:01:06Z,-37.14,0.1,175.3,0.1,12.0,0.0,ML,,,,3.4,0.2,3
1547422,1963-04-12T13:15:49Z,-37.1,0.0,175.5,0.0,12.0,0.0,ML,,,,2.4,0.2,1
1547423,1963-04-12T13:48:33Z,-37.1,0.0,175.5,0.0,12.0,0.0,ML,,,,3.1,nan,0
1547424,1963-04-12T14:32:12Z,-37.1,0.0,175.5,0.0,12.0,0.0,ML,,,,2.8,0.4,2
1547425,1963-04-12T14:47:46Z,-37.1,0.0,175.5,0.0,12.0,0.0,ML,,,,2.4,0.3,1
1547426,1963-04-12T16:02:48Z,-37.08,0.0,175.7,0.1,12.0,0.0,ML,,,,3.5,0.3,4
1547427,1963-04-12T20:41:00Z,-37.1,0.0,175.46,0.1,12.0,0.0,ML,,,,4.1,0.3,7
1547428,1963-04-12T21:10:10Z,-38.78,0.1,176.8,0.0,12.0,0.0,ML,,,,3.7,0.2,5
1547429,1963-04-13T09:22:41Z,-38.72,0.1,176.82,0.1,12.0,0.0,ML,,,,3.0,0.1,2
1547430,1963-04-14T18:23:43Z,-39.51,0.1,177.21,0.1,12.0,0.0,ML,,,,3.6,0.3,4
1547431,1963-04-15T12:16:53Z,-37.02,0.0,175.57,0.1,12.0,0.0,ML,,,,3.8,0.3,5
1547432,1963-04-17T08:02:26Z,-38.88,0.1,176.78,0.0,12.0,0.0,ML,,,,3.9,0.5,6
