PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,M,M_Uncertainty,M_StationCount
1547705,1964-01-01T09:58:40Z,-41.42,0.1,176.51,0.1,33.0,0.0,ML,,,,3.9,0.5,8,,,,,,
1547706,1964-01-02T04:47:10Z,-46.36,0.3,165.39,0.4,33.0,0.0,ML,,,,4.4,0.3,3,,,,,,
1547707,1964-01-02T09:29:49Z,-44.65,0.1,167.73,0.1,33.0,0.0,ML,,,,3.5,0.3,4,,,,,,
2183185,1964-01-05T04:33:53Z,-41.9,0.0,176.2,0.0,33.0,0.0,M,,,,,,,,,,3.1,nan,0
1547710,1964-01-07T18:11:36Z,-41.42,0.1,172.21,0.1,12.0,0.0,ML,,,,3.5,0.2,6,,,,,,
2183186,1964-01-09T17:59:03Z,-37.4,0.0,176.3,0.0,12.0,0.0,M,,,,,,,,,,4.5,nan,0
2183187,1964-01-09T18:10:17Z,-37.4,0.0,176.3,0.0,12.0,0.0,M,,,,,,,,,,4.5,nan,0
1547711,1964-01-09T18:18:18Z,-37.34,0.0,176.28,0.0,33.0,0.0,ML,,,,3.3,0.3,3,,,,,,
1547712,1964-01-09T21:47:10Z,-42.35,0.0,174.25,0.1,12.0,0.0,ML,,,,4.9,0.5,10,,,,,,
1547713,1964-01-10T10:09:19Z,-37.82,0.1,177.82,0.1,129.0,15.0,ML,,,,4.3,0.2,3,,,,,,
1547714,1964-01-11T04:56:36Z,-40.65,0.0,174.47,0.0,33.0,0.0,ML,,,,3.9,0.5,7,,,,,,
1547715,1964-01-11T07:27:07Z,-44.5,0.1,168.52,0.1,33.0,0.0,ML,,,,3.5,0.2,4,,,,,,
1547716,1964-01-11T10:28:10Z,-39.6,0.0,174.38,0.1,203.0,8.0,ML,,,,3.8,0.5,3,,,,,,
1547717,1964-01-11T13:09:20Z,-37.52,0.2,176.28,0.1,33.0,0.0,ML,,,,3.5,0.3,6,,,,,,
1547719,1964-01-12T02:11:17Z,-37.84,0.2,179.64,0.2,33.0,0.0,ML,,,,3.9,0.4,5,,,,,,
1547720,1964-01-13T12:13:38Z,-36.9,0.1,177.43,0.1,33.0,0.0,ML,,,,4.0,0.5,7,,,,,,
1547721,1964-01-15T04:53:21Z,-38.04,0.2,177.64,0.1,33.0,0.0,ML,,,,3.2,0.4,3,,,,,,
1547722,1964-01-15T12:14:20Z,-38.38,0.2,178.07,0.1,33.0,0.0,ML,,,,3.4,0.2,2,,,,,,
1547723,1964-01-15T14:47:23Z,-40.44,0.0,176.54,0.1,12.0,0.0,ML,,,,4.3,0.5,10,,,,,,
1547724,1964-01-15T22:07:25Z,-44.6,0.1,167.94,0.1,33.0,0.0,ML,,,,4.2,0.2,3,,,,,,
1547725,1964-01-17T10:43:17Z,-37.43,0.0,176.28,0.0,33.0,0.0,ML,,,,3.8,0.5,4,,,,,,
1547726,1964-01-17T13:08:20Z,-37.4,0.1,176.36,0.1,33.0,0.0,ML,,,,4.0,0.3,4,,,,,,
1547727,1964-01-17T14:03:05Z,-37.02,0.1,175.79,0.1,33.0,0.0,ML,,,,3.1,1.0,3,,,,,,
1547728,1964-01-18T10:06:14Z,-36.85,0.1,177.37,0.1,285.0,16.0,ML,,,,4.3,0.2,3,,,,,,
1547729,1964-01-18T12:18:49Z,-39.27,0.0,175.32,0.1,146.0,7.0,ML,,,,3.8,0.3,2,,,,,,
1547730,1964-01-19T23:17:09Z,-41.43,0.2,174.86,0.2,33.0,0.0,ML,,,,3.2,0.1,2,,,,,,
1547731,1964-01-20T19:23:37Z,-44.97,0.1,167.8,0.1,33.0,0.0,ML,,,,3.9,0.3,5,,,,,,
