PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount
1548610,1965-07-02T05:07:14Z,-37.44,0.0,178.22,0.1,91.0,11.0,ML,4.7,0.2,5,,,
1548611,1965-07-03T22:29:27Z,-37.86,0.0,177.58,0.0,33.0,0.0,ML,3.9,0.3,7,,,
1548612,1965-07-03T22:33:28Z,-38.04,0.1,176.64,0.0,151.0,7.0,ML,3.6,0.4,4,,,
1548613,1965-07-04T00:55:45Z,-38.5,0.1,176.04,0.1,12.0,0.0,ML,3.0,1.1,4,,,
1548614,1965-07-04T00:56:47Z,-38.49,0.0,176.07,0.0,12.0,0.0,ML,4.3,nan,1,,,
1548615,1965-07-04T08:01:38Z,-40.42,0.0,174.45,0.0,33.0,0.0,ML,3.9,0.3,10,,,
1548616,1965-07-05T18:25:02Z,-40.04,0.0,174.95,0.1,33.0,0.0,ML,2.9,0.2,4,,,
1548617,1965-07-05T20:26:23Z,-41.3,0.1,172.44,0.1,5.0,0.0,ML,4.1,0.2,11,,,
1548618,1965-07-07T16:35:44Z,-39.76,0.0,176.95,0.0,12.0,0.0,ML,4.2,0.3,12,,,
1548619,1965-07-07T19:15:47Z,-39.72,0.1,177.88,0.1,12.0,0.0,ML,3.7,0.2,9,,,
1548620,1965-07-08T09:29:54Z,-37.72,0.1,177.28,0.1,76.0,25.0,ML,4.2,0.2,4,,,
1548623,1965-07-08T18:25:50Z,-40.5,0.0,175.99,0.1,12.0,0.0,ML,4.5,0.2,14,,,
1548624,1965-07-08T20:27:43Z,-35.95,0.1,177.97,0.1,258.0,22.0,ML,4.8,0.4,4,,,
1548625,1965-07-12T22:07:59Z,-37.01,0.0,177.33,0.0,12.0,0.0,ML,4.5,0.4,9,,,
1548626,1965-07-13T19:32:11Z,-37.94,0.0,176.53,0.0,137.0,5.0,ML,4.1,0.5,3,,,
1548627,1965-07-15T00:51:41Z,-37.55,0.1,176.31,0.1,253.0,14.0,ML,4.1,0.4,5,,,
1548629,1965-07-16T16:39:35Z,-38.98,0.0,173.97,0.0,12.0,0.0,ML,3.8,0.4,12,,,
1548631,1965-07-19T23:58:09Z,-39.23,0.0,174.93,0.1,12.0,0.0,ML,2.8,0.4,4,,,
1548632,1965-07-20T03:57:41Z,-37.26,0.1,177.4,0.0,133.0,11.0,ML,4.5,0.2,5,,,
1548633,1965-07-20T08:39:10Z,-40.2,0.0,174.32,0.0,92.0,8.0,ML,3.5,0.2,3,,,
1548634,1965-07-20T15:25:09Z,-41.84,0.1,171.88,0.1,12.0,0.0,ML,4.0,0.3,11,,,
1548635,1965-07-20T19:22:26Z,-40.93,0.1,176.26,0.1,12.0,0.0,ML,3.9,0.2,11,,,
1548636,1965-07-21T02:34:10Z,-40.3,0.1,177.02,0.0,33.0,0.0,ML,3.5,0.4,11,,,
1548637,1965-07-23T02:17:12Z,-44.39,0.0,168.18,0.1,12.0,0.0,ML,3.5,0.2,5,,,
1548638,1965-07-23T02:49:43Z,-38.6,0.0,175.39,0.0,253.0,4.0,ML,4.3,0.2,5,,,
1548639,1965-07-23T20:56:17Z,-38.92,0.1,173.84,0.1,12.0,0.0,ML,2.5,0.6,3,,,
1548640,1965-07-25T10:51:49Z,-41.4,0.0,173.05,0.1,113.0,8.0,ML,4.3,0.2,4,,,
1548641,1965-07-26T18:43:43Z,-44.71,0.1,167.58,0.1,33.0,0.0,ML,4.0,0.3,9,,,
1548642,1965-07-26T19:18:16Z,-38.48,0.1,175.71,0.0,236.0,5.0,ML,4.1,0.4,4,,,
1548644,1965-07-27T11:22:56Z,-39.1,0.1,175.01,0.1,208.0,5.0,ML,3.6,0.4,5,,,
1548645,1965-07-28T15:15:34Z,-39.01,0.0,173.95,0.1,12.0,0.0,ML,3.4,0.3,8,,,
1548646,1965-07-29T13:06:12Z,-42.57,0.0,173.4,0.0,12.0,0.0,ML,3.7,0.2,11,,,
1548647,1965-07-30T11:25:07Z,-44.99,0.1,167.81,0.2,33.0,0.0,ML,4.6,0.3,8,,,
1548648,1965-07-30T16:50:19Z,-37.66,0.0,177.05,0.0,12.0,0.0,ML,4.3,0.2,9,,,
1548649,1965-08-01T13:45:25Z,-39.2,0.0,174.0,0.0,33.0,0.0,ML,3.0,0.1,1,,,
1548651,1965-08-02T08:58:18Z,-38.6,0.0,175.75,0.1,193.0,5.0,ML,4.0,0.4,4,,,
1548652,1965-08-04T06:01:01Z,-39.27,0.0,174.7,0.0,33.0,0.0,ML,3.9,0.2,4,,,
1548653,1965-08-08T06:27:48Z,-39.58,0.1,177.32,0.1,12.0,0.0,ML,4.1,0.2,10,,,
1548654,1965-08-10T03:55:41Z,-38.02,0.1,175.71,0.1,293.0,8.0,ML,4.1,0.4,4,,,
1548655,1965-08-11T04:30:23Z,-44.04,0.1,170.25,0.1,33.0,0.0,ML,4.0,0.3,5,,,
1548658,1965-08-12T08:51:54Z,-38.58,0.0,175.97,0.0,12.0,0.0,ML,3.8,0.2,5,,,
1548659,1965-08-12T14:28:01Z,-41.15,0.0,173.38,0.1,12.0,0.0,ML,3.6,0.2,6,,,
1548660,1965-08-13T11:47:26Z,-38.07,0.1,176.65,0.1,33.0,0.0,ML,3.8,0.4,4,,,
1548661,1965-08-13T18:46:52Z,-38.58,0.0,176.01,0.0,12.0,0.0,ML,4.3,0.3,11,,,
1548662,1965-08-13T18:51:29Z,-38.6,0.0,176.0,0.0,12.0,0.0,ML,2.3,nan,1,,,
1548664,1965-08-14T15:18:31Z,-37.36,0.2,176.76,0.2,240.0,26.0,ML,4.0,0.3,4,,,
1548665,1965-08-16T05:31:08Z,-46.1,0.0,166.3,0.0,33.0,0.0,ML,3.6,0.2,4,,,
1548667,1965-08-17T00:14:59Z,-40.58,0.0,174.81,0.1,12.0,0.0,ML,4.8,0.3,13,,,
1548669,1965-08-18T10:04:38Z,-40.2,0.2,173.32,0.4,155.0,53.0,ML,3.8,0.1,3,,,
1548670,1965-08-18T14:38:06Z,-38.49,0.0,176.68,0.0,5.0,9.0,ML,3.6,0.4,9,,,
1548671,1965-08-19T12:19:32Z,-39.19,0.2,178.93,0.2,12.0,0.0,ML,4.3,0.3,11,,,
1548672,1965-08-19T13:00:48Z,-41.48,0.0,174.23,0.1,33.0,0.0,ML,3.4,0.3,8,,,
1548673,1965-08-20T05:22:13Z,-39.01,0.1,177.4,0.1,33.0,0.0,ML,3.7,0.2,7,,,
1548674,1965-08-20T10:07:30Z,-39.39,0.0,175.79,0.0,79.0,7.0,ML,4.2,0.2,4,,,
1548675,1965-08-21T00:07:33Z,-37.4,0.1,177.95,0.1,33.0,0.0,ML,3.8,0.5,8,,,
1548676,1965-08-21T22:27:37Z,-44.8,0.0,167.4,0.1,12.0,0.0,ML,3.9,0.3,5,,,
1548677,1965-08-22T03:20:33Z,-43.39,0.0,170.75,0.0,12.0,0.0,ML,5.0,0.2,13,,,
1548679,1965-08-22T04:59:07Z,-43.5,0.0,170.8,0.0,33.0,0.0,ML,2.9,0.1,2,,,
1548680,1965-08-22T09:08:05Z,-43.5,0.0,170.6,0.0,33.0,0.0,ML,3.2,0.3,2,,,
1548681,1965-08-22T17:26:06Z,-43.4,0.0,170.9,0.0,33.0,0.0,ML,3.0,0.1,2,,,
1548682,1965-08-24T05:17:47Z,-37.36,0.1,176.56,0.1,315.0,20.0,ML,5.3,0.2,3,,,
1548683,1965-08-25T15:03:50Z,-43.5,0.0,170.64,0.1,33.0,0.0,ML,2.6,0.3,3,,,
1548684,1965-08-28T07:00:28Z,-39.31,0.1,174.82,0.0,33.0,0.0,ML,3.4,0.5,9,,,
1548685,1965-08-28T09:33:37Z,-38.9,0.0,175.25,0.1,155.0,8.0,ML,3.5,0.3,4,,,
1548686,1965-08-28T20:33:16Z,-37.92,0.0,176.19,0.0,222.0,5.0,ML,5.1,0.2,4,,,
1548687,1965-08-29T00:39:18Z,-42.31,0.1,172.83,0.1,12.0,0.0,ML,4.0,0.2,11,,,
1548688,1965-08-29T09:35:37Z,-43.39,0.0,170.68,0.1,33.0,0.0,ML,3.5,0.3,4,,,
1548690,1965-08-30T07:26:52Z,-43.51,0.0,170.66,0.0,33.0,0.0,ML,2.8,0.4,3,,,
1548692,1965-08-31T17:37:47Z,-37.91,0.0,176.68,0.0,176.0,4.0,ML,3.8,0.3,5,,,
