PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,MS,MS_Uncertainty,MS_StationCount
1551103,1968-07-01T03:21:36Z,-41.79,0.0,172.03,0.0,12.0,0.0,ML,,,,3.3,0.3,5,,,,,,
1551255,1968-07-01T17:15:20Z,-41.98,0.0,171.78,0.0,12.0,0.0,ML,,,,3.9,0.2,5,,,,,,
1551256,1968-07-01T19:57:56Z,-41.99,0.0,171.76,0.0,12.0,0.0,ML,,,,4.0,0.4,4,,,,,,
1551257,1968-07-02T00:19:01Z,-38.36,0.0,177.65,0.0,12.0,0.0,ML,,,,3.6,0.3,5,,,,,,
1551258,1968-07-02T05:54:48Z,-41.95,0.0,171.76,0.0,12.0,0.0,ML,,,,3.7,0.2,5,,,,,,
1551259,1968-07-02T09:09:39Z,-41.59,0.0,172.1,0.0,12.0,0.0,ML,,,,3.4,0.3,4,,,,,,
1551260,1968-07-02T17:41:38Z,-43.82,0.1,168.91,0.2,33.0,0.0,ML,,,,3.2,0.3,3,,,,,,
1551261,1968-07-02T18:16:57Z,-41.65,0.0,171.93,0.0,12.0,0.0,ML,,,,4.0,0.3,4,,,,,,
1551262,1968-07-02T19:49:18Z,-45.16,0.0,167.04,0.1,33.0,0.0,ML,,,,5.2,0.2,8,,,,,,
1551263,1968-07-03T06:22:38Z,-41.84,0.0,172.02,0.0,12.0,0.0,ML,,,,3.9,0.2,6,,,,,,
1551264,1968-07-03T09:49:31Z,-41.72,0.1,171.91,0.2,12.0,0.0,ML,,,,3.4,0.3,4,,,,,,
1551265,1968-07-03T12:47:30Z,-41.94,0.1,171.66,0.1,12.0,0.0,ML,,,,4.6,0.3,7,,,,,,
1551266,1968-07-04T09:19:36Z,-44.97,0.1,167.7,0.1,91.0,18.0,ML,,,,4.4,0.1,6,,,,,,
1551267,1968-07-04T11:32:59Z,-44.22,0.1,168.35,0.1,12.0,0.0,ML,,,,4.2,0.3,6,,,,,,
1551268,1968-07-05T13:20:30Z,-44.23,0.0,167.92,0.1,12.0,0.0,ML,,,,5.2,0.3,6,,,,,,
