PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount
1553344,1971-01-01T01:37:27Z,-44.85,0.0,167.22,0.1,12.0,0.0,ML,4.7,0.2,7,,,
1553345,1971-01-01T08:44:23Z,-40.27,0.0,175.51,0.1,33.0,0.0,ML,3.6,0.2,6,,,
1553346,1971-01-01T10:22:38Z,-43.63,0.1,168.96,0.1,33.0,0.0,ML,3.4,0.2,8,,,
1553347,1971-01-02T01:16:28Z,-45.7,0.1,166.02,0.3,33.0,0.0,ML,4.0,0.2,6,,,
1553348,1971-01-02T23:46:15Z,-40.2,0.0,175.47,0.1,12.0,0.0,ML,3.1,0.1,6,,,
1553349,1971-01-03T11:59:57Z,-41.8,0.1,173.4,0.0,12.0,0.0,ML,3.3,0.3,7,,,
1553350,1971-01-03T15:40:06Z,-39.83,0.0,174.04,0.0,134.0,9.0,ML,3.5,0.3,4,,,
1553351,1971-01-04T01:52:25Z,-39.27,0.1,178.19,0.1,33.0,0.0,ML,3.9,0.2,8,,,
1553352,1971-01-05T00:59:59Z,-40.37,0.0,174.21,0.0,33.0,0.0,ML,4.0,0.2,10,,,
1553353,1971-01-05T22:29:54Z,-38.69,0.0,175.26,0.1,230.0,7.0,ML,4.8,0.3,4,,,
1553354,1971-01-06T05:42:51Z,-41.12,0.1,175.86,0.1,12.0,0.0,ML,4.1,0.4,8,,,
1553355,1971-01-06T10:26:03Z,-38.72,0.0,174.46,0.0,12.0,0.0,ML,3.5,0.3,7,,,
1553356,1971-01-07T02:47:19Z,-40.47,0.0,173.65,0.1,120.0,9.0,ML,3.5,0.3,3,,,
1553357,1971-01-07T15:54:55Z,-42.38,0.1,174.34,0.1,33.0,0.0,ML,3.4,0.2,7,,,
1553358,1971-01-08T05:22:59Z,-36.26,0.1,177.67,0.1,270.0,10.0,ML,4.9,0.2,5,,,
1553359,1971-01-08T14:21:52Z,-37.41,0.1,176.51,0.2,250.0,16.0,ML,4.1,0.3,5,,,
1553360,1971-01-08T15:18:12Z,-44.92,0.0,167.51,0.1,73.0,10.0,ML,3.8,0.2,8,,,
1553361,1971-01-09T01:17:25Z,-38.7,0.1,175.52,0.1,288.0,7.0,ML,3.9,0.4,5,,,
1553362,1971-01-09T04:41:16Z,-41.26,0.1,175.11,0.1,67.0,8.0,ML,3.6,0.2,2,,,
1553363,1971-01-11T16:42:15Z,-37.94,0.1,176.26,0.1,220.0,11.0,ML,4.0,0.3,5,,,
