PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw,Mw_Uncertainty,Mw_StationCount
1553692,1971-07-01T00:14:50Z,-39.96,0.1,177.11,0.1,12.0,0.0,ML,,,,4.1,0.2,10,,,,,,
1553693,1971-07-01T02:21:46Z,-41.9,0.0,171.89,0.0,12.0,0.0,ML,,,,3.7,0.2,8,,,,,,
1553694,1971-07-01T13:05:57Z,-37.82,0.1,175.86,0.1,121.0,19.0,ML,,,,3.8,0.2,6,,,,,,
1553695,1971-07-01T16:42:57Z,-37.89,0.1,176.82,0.1,12.0,0.0,ML,,,,3.7,0.2,6,,,,,,
1553696,1971-07-01T16:56:09Z,-43.49,0.1,169.55,0.1,12.0,0.0,ML,,,,4.1,0.2,9,,,,,,
1553699,1971-07-03T11:25:13Z,-41.07,0.1,171.87,0.1,12.0,0.0,ML,,,,3.7,0.3,9,,,,,,
1553704,1971-07-03T19:18:39Z,-39.36,0.0,175.84,0.0,77.0,11.0,ML,,,,3.4,0.2,6,,,,,,
1553706,1971-07-04T07:18:23Z,-37.27,0.0,176.77,0.0,215.0,5.0,ML,,,,4.6,0.3,6,,,,,,
1553707,1971-07-04T12:40:11Z,-36.55,0.1,179.84,0.1,156.0,17.0,ML,,,,4.8,0.2,4,,,,,,
1553711,1971-07-09T03:33:24Z,-43.39,0.1,172.38,0.1,12.0,0.0,ML,,,,2.6,0.3,4,,,,,,
1553712,1971-07-10T15:06:34Z,-42.44,0.1,170.75,0.1,12.0,0.0,ML,,,,2.5,0.3,5,,,,,,
1553713,1971-07-10T17:29:34Z,-37.26,0.0,176.89,0.0,189.0,6.0,ML,,,,4.9,0.2,5,,,,,,
1553714,1971-07-10T23:53:22Z,-39.66,0.0,176.98,0.0,12.0,0.0,ML,,,,3.1,0.3,7,,,,,,
1553715,1971-07-11T04:01:04Z,-41.74,0.0,171.73,0.0,12.0,0.0,ML,,,,3.4,0.3,9,,,,,,
1553716,1971-07-11T07:09:31Z,-45.08,0.0,167.69,0.1,123.0,7.0,ML,,,,3.7,0.4,8,,,,,,
1553717,1971-07-11T10:56:40Z,-41.91,0.0,171.9,0.0,12.0,0.0,ML,,,,3.5,0.4,9,,,,,,
1553718,1971-07-11T13:43:20Z,-37.71,0.1,176.31,0.1,303.0,7.0,ML,,,,4.5,0.2,7,,,,,,
1553720,1971-07-12T05:19:26Z,-36.46,0.1,177.64,0.2,324.0,7.0,ML,,,,4.0,0.2,6,,,,,,
1553721,1971-07-13T23:22:05Z,-39.52,0.0,177.7,0.1,12.0,0.0,ML,,,,4.0,0.4,13,,,,,,
1553722,1971-07-14T08:59:35Z,-42.01,0.0,171.71,0.1,12.0,0.0,ML,,,,3.9,0.3,11,,,,,,
1553723,1971-07-14T21:29:55Z,-45.41,0.0,167.81,0.0,12.0,0.0,ML,,,,3.1,0.3,6,,,,,,
1553724,1971-07-15T13:32:48Z,-40.85,0.0,174.0,0.0,33.0,0.0,ML,,,,3.9,0.2,14,,,,,,
1553727,1971-07-17T23:49:41Z,-39.28,0.0,175.54,0.1,33.0,0.0,ML,,,,3.0,0.2,3,,,,,,
1553728,1971-07-19T04:09:55Z,-39.21,0.0,176.79,0.0,12.0,0.0,ML,,,,3.4,0.4,7,,,,,,
1553729,1971-07-20T14:51:46Z,-38.95,0.0,175.87,0.0,12.0,0.0,ML,,,,3.5,0.3,10,,,,,,
1553732,1971-07-22T17:26:29Z,-38.15,0.0,176.25,0.0,12.0,0.0,ML,,,,2.5,0.1,2,,,,,,
1553733,1971-07-23T13:04:27Z,-39.38,0.1,178.73,0.2,33.0,0.0,ML,,,,4.0,0.2,9,,,,,,
1553735,1971-07-24T12:46:05Z,-44.75,0.0,167.4,0.1,33.0,0.0,ML,,,,3.4,0.2,5,,,,,,
1553736,1971-07-25T02:47:45Z,-40.81,0.1,173.26,0.1,186.0,13.0,ML,,,,4.3,0.2,5,,,,,,
1553737,1971-07-26T15:12:46Z,-38.82,0.0,176.42,0.0,100.0,8.0,ML,,,,4.4,0.4,6,,,,,,
1553738,1971-07-26T22:47:04Z,-40.03,0.0,174.4,0.1,33.0,0.0,ML,,,,3.9,0.3,9,,,,,,
1553739,1971-07-27T12:12:34Z,-45.08,0.0,167.55,0.1,71.0,7.0,ML,,,,3.4,0.3,8,,,,,,
1553740,1971-07-27T14:03:07Z,-40.88,0.0,-179.2,0.1,33.0,0.0,ML,,,,4.3,0.2,11,,,,,,
