PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount
1555863,1974-07-01T06:05:11Z,-41.14,0.0,175.66,0.1,33.0,0.0,ML,,,,3.7,0.3,9,,,
1555864,1974-07-01T07:52:17Z,-37.71,0.1,177.04,0.1,12.0,0.0,ML,,,,3.4,0.2,5,,,
1555867,1974-07-01T17:42:06Z,-44.09,0.0,167.99,0.0,12.0,0.0,ML,,,,3.6,0.3,6,,,
1555869,1974-07-03T17:42:54Z,-37.16,0.1,176.85,0.1,264.0,5.0,ML,,,,4.0,0.3,5,,,
1555871,1974-07-04T08:08:51Z,-39.16,0.0,175.06,0.0,12.0,0.0,ML,,,,3.7,0.2,8,,,
1555872,1974-07-05T19:27:34Z,-42.79,0.0,176.86,0.1,33.0,0.0,ML,,,,4.2,0.3,15,,,
1555873,1974-07-06T00:12:44Z,-40.63,0.0,174.48,0.0,12.0,0.0,ML,,,,4.2,0.2,12,,,
1555874,1974-07-06T10:29:00Z,-40.17,0.0,174.95,0.0,12.0,0.0,ML,,,,3.6,0.2,11,,,
1555875,1974-07-06T15:34:22Z,-36.57,0.0,177.4,0.1,319.0,6.0,ML,,,,5.6,0.2,7,,,
1555876,1974-07-07T07:21:39Z,-40.85,0.0,175.26,0.1,12.0,0.0,ML,,,,3.6,0.2,7,,,
1555877,1974-07-07T11:03:22Z,-36.75,0.1,177.87,0.1,33.0,0.0,ML,,,,4.5,0.3,14,,,
1555878,1974-07-07T21:55:02Z,-38.18,0.1,179.74,0.1,12.0,0.0,ML,,,,4.4,0.2,11,,,
1555879,1974-07-10T04:53:46Z,-41.49,0.0,174.5,0.1,12.0,0.0,ML,,,,3.6,0.3,7,,,
1555880,1974-07-11T14:06:40Z,-45.03,0.0,167.6,0.0,116.0,4.0,ML,,,,3.8,0.3,5,,,
1555882,1974-07-11T19:20:06Z,-41.42,0.0,172.78,0.0,134.0,5.0,ML,,,,4.1,0.4,4,,,
1555883,1974-07-11T21:36:19Z,-40.42,0.0,174.74,0.0,12.0,0.0,ML,,,,3.9,0.2,8,,,
1555884,1974-07-12T05:00:23Z,-39.99,0.0,175.44,0.0,12.0,0.0,ML,,,,3.8,0.4,6,,,
1555885,1974-07-12T10:57:54Z,-41.06,0.1,176.16,0.1,74.0,13.0,ML,,,,4.0,0.3,3,,,
1555886,1974-07-12T11:01:27Z,-41.15,0.1,176.08,0.1,51.0,15.0,ML,,,,3.8,0.3,2,,,
1555887,1974-07-13T04:39:08Z,-37.32,0.1,176.65,0.3,261.0,13.0,ML,,,,4.0,0.2,4,,,
1555888,1974-07-14T06:15:25Z,-43.89,0.1,168.79,0.1,33.0,0.0,ML,,,,3.8,0.2,4,,,
1555889,1974-07-15T04:16:38Z,-37.97,0.1,176.6,0.1,12.0,0.0,ML,,,,3.7,0.3,7,,,
1555890,1974-07-15T05:09:04Z,-37.97,0.0,176.6,0.0,12.0,0.0,ML,,,,2.3,0.1,2,,,
1555891,1974-07-15T10:56:41Z,-43.8,0.1,170.73,0.1,12.0,0.0,ML,,,,3.2,0.3,3,,,
1555892,1974-07-15T13:22:13Z,-38.45,0.1,175.83,0.1,193.0,13.0,ML,,,,4.0,0.2,6,,,
1555893,1974-07-16T13:29:34Z,-37.31,0.1,177.39,0.1,161.0,12.0,ML,,,,3.4,0.1,3,,,
1555894,1974-07-16T16:07:55Z,-38.13,0.1,176.34,0.1,190.0,10.0,ML,,,,3.6,0.4,3,,,
1555895,1974-07-17T13:40:12Z,-38.94,0.1,175.07,0.1,223.0,12.0,ML,,,,4.0,0.4,5,,,
1555896,1974-07-17T15:01:53Z,-43.22,0.0,171.78,0.0,12.0,0.0,ML,,,,3.6,0.2,5,,,
1555897,1974-07-17T22:31:04Z,-44.78,0.1,167.62,0.1,12.0,0.0,ML,,,,3.7,0.3,5,,,
1555898,1974-07-20T14:36:51Z,-44.27,0.0,169.61,0.1,12.0,0.0,ML,,,,3.9,0.2,8,,,
1555901,1974-07-21T04:51:42Z,-44.09,0.0,170.2,0.1,12.0,0.0,ML,,,,3.2,0.1,3,,,
1555902,1974-07-22T07:44:43Z,-39.19,0.1,177.86,0.1,12.0,0.0,ML,,,,3.6,0.4,6,,,
1555903,1974-07-23T08:38:13Z,-37.37,0.1,177.65,0.1,97.0,7.0,ML,,,,3.9,0.2,8,,,
1555904,1974-07-25T22:35:58Z,-42.45,0.1,174.15,0.2,12.0,0.0,ML,,,,4.0,0.3,8,,,
1555906,1974-07-28T13:18:31Z,-45.09,0.0,170.01,0.0,12.0,0.0,ML,,,,3.9,0.3,8,,,
1555907,1974-07-28T16:40:08Z,-40.17,0.0,174.86,0.0,12.0,0.0,ML,,,,4.0,0.4,6,,,
1555908,1974-07-30T12:06:49Z,-38.62,0.0,178.06,0.1,33.0,0.0,ML,,,,4.3,0.3,7,,,
1555909,1974-07-31T10:26:55Z,-41.81,0.0,173.7,0.0,33.0,0.0,ML,,,,4.1,0.3,13,,,
1555910,1974-07-31T13:10:01Z,-38.96,0.0,175.35,0.0,153.0,7.0,ML,,,,4.0,0.4,5,,,
1555911,1974-08-01T10:21:02Z,-38.89,0.0,175.61,0.0,122.0,8.0,ML,,,,3.7,0.2,6,,,
1555912,1974-08-02T00:17:08Z,-38.22,0.0,176.33,0.0,164.0,5.0,ML,,,,4.3,0.2,8,,,
1555913,1974-08-02T06:01:36Z,-42.34,0.0,174.08,0.1,12.0,0.0,ML,,,,4.0,0.3,12,,,
1555914,1974-08-02T09:37:45Z,-37.38,0.1,177.52,0.1,114.0,11.0,ML,,,,3.7,0.2,7,,,
1555915,1974-08-02T11:25:27Z,-42.33,0.0,174.1,0.0,12.0,0.0,ML,,,,4.5,0.3,11,,,
1555916,1974-08-03T04:38:52Z,-38.74,0.0,175.77,0.1,123.0,13.0,ML,,,,3.7,0.3,7,,,
1555917,1974-08-04T13:06:10Z,-38.52,0.1,175.89,0.1,171.0,9.0,ML,,,,4.0,0.2,8,,,
1555918,1974-08-05T07:05:16Z,-45.23,0.0,167.64,0.1,131.0,6.0,ML,,,,3.6,0.2,6,,,
1555919,1974-08-06T16:38:14Z,-36.81,0.0,177.28,0.1,215.0,8.0,ML,,,,4.1,0.3,7,,,
1555921,1974-08-07T21:58:21Z,-40.78,0.1,175.97,0.2,12.0,0.0,ML,,,,3.5,0.3,4,,,
1555922,1974-08-08T11:29:54Z,-39.11,0.0,174.66,0.0,12.0,0.0,ML,,,,3.7,0.2,3,,,
1555923,1974-08-08T20:43:37Z,-38.86,0.1,175.09,0.1,229.0,8.0,ML,,,,4.0,0.2,4,,,
1555924,1974-08-09T04:17:16Z,-37.5,0.1,177.98,0.1,101.0,8.0,ML,,,,3.7,0.2,7,,,
1555925,1974-08-10T16:18:26Z,-38.03,0.0,176.47,0.0,154.0,5.0,ML,,,,3.9,0.3,9,,,
1555926,1974-08-11T02:39:28Z,-38.5,0.0,175.72,0.0,163.0,5.0,ML,,,,4.1,0.3,8,,,
1555927,1974-08-11T12:48:26Z,-40.1,0.0,175.13,0.0,12.0,0.0,ML,,,,3.6,0.3,6,,,
1555928,1974-08-13T13:11:53Z,-38.63,0.0,175.78,0.0,153.0,5.0,ML,,,,4.2,0.3,7,,,
1555929,1974-08-14T11:16:01Z,-40.93,0.0,174.61,0.0,12.0,0.0,ML,,,,2.7,0.2,4,,,
1555930,1974-08-15T13:45:11Z,-38.45,0.0,175.8,0.0,163.0,0.0,ML,,,,3.7,0.3,7,,,
1555931,1974-08-17T04:06:06Z,-41.42,0.0,173.79,0.0,12.0,0.0,ML,,,,3.7,0.2,4,,,
1555932,1974-08-17T05:00:37Z,-39.69,0.0,177.19,0.1,12.0,0.0,ML,,,,3.5,0.2,9,,,
1555933,1974-08-17T08:45:18Z,-36.91,0.0,179.44,0.0,12.0,0.0,ML,,,,4.1,0.3,9,,,
1555934,1974-08-20T06:53:55Z,-42.36,0.0,174.14,0.0,12.0,0.0,ML,,,,4.6,0.3,18,,,
1555935,1974-08-20T06:57:26Z,-42.4,0.0,174.16,0.0,12.0,0.0,ML,,,,3.5,0.3,6,,,
1555936,1974-08-20T07:55:38Z,-40.68,0.0,176.58,0.0,12.0,0.0,ML,,,,3.6,0.2,13,,,
1555937,1974-08-20T12:28:09Z,-37.79,0.0,177.49,0.0,33.0,0.0,ML,,,,3.3,0.3,9,,,
1555938,1974-08-20T14:19:50Z,-38.7,0.1,175.7,0.1,169.0,9.0,ML,,,,3.6,0.3,7,,,
1555939,1974-08-20T18:39:11Z,-40.05,0.0,176.81,0.0,12.0,0.0,ML,,,,4.4,0.2,14,,,
1555940,1974-08-21T10:09:58Z,-42.44,0.0,174.18,0.0,12.0,0.0,ML,,,,3.5,0.3,6,,,
1555941,1974-08-22T04:35:05Z,-39.53,0.0,178.56,0.0,33.0,0.0,ML,,,,4.0,0.3,12,,,
1555943,1974-08-23T00:20:53Z,-47.35,0.0,165.38,0.1,33.0,0.0,ML,,,,3.9,0.2,4,,,
1555944,1974-08-25T14:59:22Z,-42.23,0.1,173.99,0.1,12.0,0.0,ML,,,,4.5,0.3,10,,,
1555945,1974-08-25T19:46:52Z,-39.47,0.0,175.6,0.0,12.0,0.0,ML,,,,4.6,0.2,12,,,
1555946,1974-08-26T10:18:37Z,-38.41,0.1,175.75,0.1,205.0,7.0,ML,,,,3.9,0.3,7,,,
1555947,1974-08-26T13:33:43Z,-37.85,0.1,176.38,0.1,211.0,9.0,ML,,,,3.7,0.3,5,,,
1555948,1974-08-26T16:06:14Z,-42.17,0.0,173.92,0.0,12.0,0.0,ML,,,,3.4,0.2,7,,,
1555950,1974-08-27T05:14:50Z,-37.74,0.1,176.67,0.1,12.0,0.0,ML,,,,3.5,0.2,5,,,
1555951,1974-08-27T14:19:53Z,-41.66,0.1,172.83,0.1,123.0,13.0,ML,,,,3.9,0.3,2,,,
1555952,1974-08-28T03:47:36Z,-39.06,0.1,174.87,0.1,237.0,10.0,ML,,,,3.9,0.2,6,,,
1555954,1974-08-28T10:21:37Z,-40.15,0.0,175.05,0.1,12.0,0.0,ML,,,,4.2,0.3,7,,,
1555955,1974-08-28T11:35:54Z,-36.54,0.1,177.11,0.1,12.0,0.0,ML,,,,4.6,0.2,8,,,
1555956,1974-08-28T13:11:03Z,-42.38,0.0,174.05,0.1,12.0,0.0,ML,,,,4.1,0.2,8,,,
1555957,1974-08-28T13:32:04Z,-42.35,0.0,174.03,0.0,12.0,0.0,ML,,,,4.0,0.3,7,,,
1555958,1974-08-28T14:51:55Z,-42.41,0.1,174.0,0.1,12.0,0.0,ML,,,,4.0,0.2,7,,,
1555959,1974-08-28T15:29:16Z,-43.31,0.0,171.43,0.0,12.0,0.0,ML,,,,3.5,0.3,7,,,
1555960,1974-08-28T18:06:39Z,-37.43,0.1,176.43,0.1,261.0,10.0,ML,,,,4.1,0.3,6,,,
1555961,1974-08-29T06:30:35Z,-37.77,0.1,176.85,0.1,12.0,0.0,ML,,,,3.2,0.2,5,,,
1555962,1974-08-29T08:16:46Z,-38.18,0.0,177.38,0.1,12.0,0.0,ML,,,,3.5,0.3,5,,,
1555963,1974-08-31T05:47:51Z,-41.68,0.1,174.71,0.1,56.0,12.0,ML,,,,3.6,0.1,3,,,
1555964,1974-08-31T06:12:00Z,-38.1,0.0,176.75,0.0,12.0,0.0,ML,,,,3.1,nan,1,,,
1555965,1974-08-31T06:18:47Z,-38.1,0.0,176.75,0.0,12.0,0.0,ML,,,,3.1,nan,1,,,
1555966,1974-09-01T19:24:37Z,-40.78,0.1,172.72,0.1,12.0,0.0,ML,,,,2.8,0.1,2,,,
1555968,1974-09-02T04:08:14Z,-39.74,0.0,175.13,0.1,59.0,16.0,ML,,,,3.4,0.1,1,,,
1555969,1974-09-02T19:01:25Z,-39.7,0.1,174.23,0.1,232.0,12.0,ML,,,,4.2,0.3,6,,,
1555970,1974-09-03T21:12:00Z,-42.31,0.1,173.96,0.1,12.0,0.0,ML,,,,3.5,0.1,7,,,
1555971,1974-09-04T07:31:55Z,-39.96,0.0,176.66,0.1,12.0,0.0,ML,,,,3.9,0.1,7,,,
1555972,1974-09-04T11:00:28Z,-37.3,0.1,177.37,0.1,169.0,8.0,ML,,,,4.1,0.2,7,,,
1555973,1974-09-04T11:48:12Z,-39.9,0.0,174.45,0.1,33.0,0.0,ML,,,,3.3,0.3,5,,,
