PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,MS,MS_Uncertainty,MS_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1681688,1979-07-01T02:25:02Z,-40.98,0.0,174.77,0.0,51.0,1.0,ML,,,,,,,1.8,0.2,5,,,
1681689,1979-07-01T03:17:58Z,-41.63,0.0,174.63,0.0,25.0,1.0,ML,,,,,,,1.8,0.4,5,,,
1681690,1979-07-01T04:59:58Z,-41.56,0.0,174.83,0.0,26.0,1.0,ML,,,,,,,1.8,0.1,5,,,
1583381,1979-07-01T09:53:56Z,-43.9,0.0,170.51,0.0,18.0,3.0,ML,,,,,,,2.1,0.1,4,,,
1560112,1979-07-01T11:52:16Z,-37.33,0.1,176.88,0.1,273.0,8.0,ML,,,,,,,4.4,0.3,5,,,
1681691,1979-07-01T12:33:32Z,-40.77,0.0,174.72,0.0,39.0,1.0,ML,,,,,,,2.7,nan,1,2.4,0.1,2
1560113,1979-07-01T15:24:54Z,-39.64,0.0,175.06,0.0,12.0,0.0,ML,,,,,,,3.7,0.2,5,,,
1681692,1979-07-02T02:20:44Z,-41.22,0.0,175.54,0.0,19.0,1.0,ML,,,,,,,1.7,0.2,7,,,
1681693,1979-07-02T04:14:23Z,-41.12,0.0,173.95,0.0,66.0,2.0,ML,,,,,,,2.2,0.1,5,,,
1681694,1979-07-02T12:52:44Z,-41.1,0.0,174.6,0.0,56.0,1.0,ML,,,,,,,2.2,0.2,6,,,
1681695,1979-07-02T16:40:41Z,-41.01,0.0,175.4,0.0,27.0,2.0,ML,,,,,,,1.8,0.2,6,,,
1681696,1979-07-02T20:06:18Z,-41.27,0.0,175.3,0.0,27.0,1.0,ML,,,,,,,2.2,0.2,4,,,
1681697,1979-07-02T21:02:30Z,-41.22,0.0,174.9,0.0,19.0,1.0,ML,,,,,,,2.1,0.3,2,2.2,nan,1
1681698,1979-07-03T04:54:06Z,-41.27,0.0,174.86,0.0,26.0,1.0,ML,,,,,,,1.8,0.2,6,,,
1681699,1979-07-03T06:53:11Z,-40.96,0.0,175.15,0.0,30.0,1.0,ML,,,,,,,1.6,0.3,5,,,
1583382,1979-07-03T12:15:56Z,-44.07,0.0,169.61,0.0,6.0,2.0,ML,,,,,,,2.3,0.1,7,,,
1560114,1979-07-03T15:00:24Z,-38.59,0.0,176.64,0.0,33.0,0.0,ML,,,,,,,3.9,0.4,8,,,
1681700,1979-07-03T15:52:55Z,-41.09,0.0,175.55,0.0,37.0,1.0,ML,,,,,,,2.4,0.2,5,,,
1560115,1979-07-03T17:02:03Z,-41.32,0.1,172.67,0.1,209.0,7.0,ML,,,,,,,4.4,0.3,4,,,
1681701,1979-07-03T20:19:42Z,-41.93,0.0,174.13,0.1,28.0,2.0,ML,,,,,,,3.1,0.2,5,3.1,nan,1
1681702,1979-07-03T23:27:27Z,-41.32,0.0,174.24,0.1,34.0,2.0,ML,,,,,,,2.0,0.1,6,,,
1560116,1979-07-03T23:54:07Z,-39.69,0.0,175.35,0.0,12.0,0.0,ML,,,,,,,3.2,0.4,7,,,
1681703,1979-07-04T00:16:49Z,-41.11,0.0,175.43,0.0,14.0,0.0,ML,,,,,,,1.7,0.2,6,,,
1560118,1979-07-04T05:02:06Z,-37.4,0.0,178.11,0.0,33.0,0.0,ML,,,,,,,3.9,0.2,7,,,
