PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount,MS,MS_Uncertainty,MS_StationCount
1561018,1980-07-01T05:23:19Z,-36.64,0.1,177.42,0.1,12.0,0.0,ML,,,,4.0,0.4,9,,,,,,
1683268,1980-07-01T05:58:16Z,-41.1,0.0,174.43,0.0,37.0,2.0,ML,,,,2.2,0.2,3,,,,,,
1561019,1980-07-01T06:51:36Z,-39.93,0.0,175.66,0.0,33.0,0.0,ML,,,,3.7,0.2,8,,,,,,
1683269,1980-07-01T07:20:12Z,-41.23,0.0,174.64,0.0,33.0,2.0,ML,,,,1.4,0.2,5,,,,,,
1683270,1980-07-01T13:49:47Z,-40.94,0.0,175.43,0.0,28.0,1.0,ML,,,,2.1,0.1,6,,,,,,
1683271,1980-07-01T13:50:42Z,-41.32,0.0,174.33,0.0,13.0,2.0,ML,,,,1.5,0.2,4,,,,,,
1561020,1980-07-01T15:44:28Z,-41.49,0.0,174.1,0.0,12.0,0.0,ML,,,,3.7,0.4,9,,,,,,
1683273,1980-07-01T17:55:09Z,-41.59,0.0,174.01,0.0,23.0,1.0,ML,,,,2.4,0.2,5,,,,,,
1683274,1980-07-01T17:59:09Z,-41.65,0.0,174.02,0.1,10.0,4.0,ML,,,,2.3,0.2,5,,,,,,
1561021,1980-07-01T20:47:17Z,-37.92,0.1,176.17,0.2,194.0,17.0,ML,,,,3.8,0.2,6,,,,,,
1561022,1980-07-02T02:36:28Z,-46.51,0.1,165.58,0.1,12.0,0.0,ML,,,,4.3,0.3,6,,,,,,
1583751,1980-07-02T04:33:19Z,-44.13,0.0,170.1,0.0,3.0,1.0,ML,,,,2.6,0.1,4,,,,,,
1583752,1980-07-02T06:07:49Z,-43.67,0.0,169.87,0.0,2.0,1.0,ML,,,,2.4,0.2,6,,,,,,
1561023,1980-07-03T01:48:16Z,-40.52,0.1,176.89,0.1,33.0,0.0,ML,,,,3.6,0.3,7,,,,,,
1561024,1980-07-03T01:48:38Z,-40.44,0.0,176.93,0.1,33.0,0.0,Mw,5.4,nan,0,5.2,0.3,11,,,,5.0,nan,0
1561025,1980-07-03T01:52:30Z,-40.5,0.1,176.91,0.1,33.0,0.0,ML,,,,3.4,0.3,6,,,,,,
1561026,1980-07-03T01:55:06Z,-40.44,0.0,176.91,0.1,33.0,0.0,ML,,,,3.5,0.3,8,,,,,,
1561027,1980-07-03T02:00:23Z,-40.44,0.0,176.88,0.1,33.0,0.0,ML,,,,3.1,0.2,6,,,,,,
1561028,1980-07-03T02:02:36Z,-40.43,0.0,176.95,0.1,33.0,0.0,ML,,,,4.9,0.3,15,,,,,,
1561029,1980-07-03T02:11:09Z,-40.48,0.0,176.9,0.0,33.0,0.0,ML,,,,3.5,0.3,11,,,,,,
