PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mb,Mb_Uncertainty,Mb_StationCount,MS,MS_Uncertainty,MS_StationCount,ML,ML_Uncertainty,ML_StationCount,Mw,Mw_Uncertainty,Mw_StationCount,Md,Md_Uncertainty,Md_StationCount
1685823,1982-07-01T03:24:02Z,-41.64,0.0,174.58,0.0,29.0,1.0,ML,,,,,,,2.0,0.3,6,,,,,,
1563054,1982-07-01T05:56:34Z,-44.59,0.1,167.78,0.1,12.0,0.0,ML,,,,,,,4.3,0.2,4,,,,,,
1685822,1982-07-01T09:15:49Z,-40.97,0.0,175.01,0.0,43.0,1.0,ML,,,,,,,2.2,0.1,4,,,,,,
1685824,1982-07-01T12:24:25Z,-40.76,0.0,175.7,0.0,42.0,1.0,ML,,,,,,,2.0,0.1,3,,,,,,
1685825,1982-07-01T16:12:59Z,-40.88,0.0,175.73,0.0,26.0,4.0,ML,,,,,,,1.6,0.2,5,,,,,,
1563055,1982-07-01T18:32:30Z,-37.65,0.1,176.62,0.1,211.0,9.0,ML,,,,,,,4.1,0.4,3,,,,,,
1563056,1982-07-02T01:17:46Z,-40.9,0.1,178.37,0.1,12.0,0.0,ML,,,,,,,4.1,0.2,12,,,,,,
1563057,1982-07-02T01:20:32Z,-40.84,0.1,178.33,0.1,12.0,0.0,ML,,,,,,,3.6,0.2,9,,,,,,
1563058,1982-07-02T01:21:05Z,-45.3,0.0,166.94,0.1,12.0,0.0,ML,,,,,,,3.5,0.2,4,,,,,,
1563059,1982-07-02T01:26:18Z,-40.82,0.0,178.32,0.1,12.0,0.0,ML,,,,,,,3.8,0.2,9,,,,,,
1563060,1982-07-02T01:36:11Z,-40.84,0.0,178.33,0.1,12.0,0.0,ML,,,,,,,3.7,0.2,9,,,,,,
1685826,1982-07-02T03:18:06Z,-41.14,0.0,174.62,0.0,35.0,0.0,ML,,,,,,,3.4,nan,2,,,,3.4,0.1,7
1685827,1982-07-02T03:25:30Z,-41.14,0.0,174.61,0.0,35.0,0.0,ML,,,,,,,2.9,nan,1,,,,2.8,0.2,3
1685828,1982-07-02T03:29:06Z,-41.13,0.0,174.6,0.0,37.0,2.0,ML,,,,,,,1.5,0.2,5,,,,,,
1685829,1982-07-02T04:57:05Z,-40.85,0.0,174.73,0.0,10.0,2.0,ML,,,,,,,1.8,0.1,5,,,,,,
1685830,1982-07-02T07:04:52Z,-41.3,0.0,175.15,0.0,24.0,0.0,ML,,,,,,,1.9,0.2,9,,,,,,
1685831,1982-07-02T07:31:49Z,-41.13,0.0,174.61,0.0,33.0,0.0,ML,,,,,,,1.6,0.1,5,,,,,,
1685832,1982-07-02T08:38:46Z,-40.9,0.0,174.88,0.0,34.0,0.0,ML,,,,,,,2.1,0.2,8,,,,,,
1685833,1982-07-02T13:52:58Z,-40.91,0.0,175.09,0.0,36.0,4.0,ML,,,,,,,1.5,0.2,4,,,,,,
1563061,1982-07-02T17:25:13Z,-37.08,0.1,179.74,0.1,33.0,0.0,ML,,,,,,,4.5,0.4,13,,,,,,
1685834,1982-07-02T17:38:07Z,-40.92,0.0,175.14,0.0,36.0,4.0,ML,,,,,,,1.8,0.2,6,,,,,,
1685835,1982-07-02T17:53:24Z,-41.59,0.1,174.07,0.1,30.0,4.0,ML,,,,,,,1.9,0.1,6,,,,,,
1563062,1982-07-02T18:22:42Z,-37.11,0.1,-179.84,0.1,33.0,0.0,ML,,,,,,,4.0,0.2,9,,,,,,
1685836,1982-07-02T22:08:59Z,-41.53,0.0,174.98,0.0,42.0,1.0,ML,,,,,,,2.2,0.1,5,,,,,,
1685837,1982-07-02T22:18:54Z,-40.94,0.0,175.12,0.0,28.0,0.0,ML,,,,,,,1.6,0.1,4,,,,,,
1563063,1982-07-03T01:37:43Z,-45.31,0.0,166.75,0.1,12.0,0.0,ML,,,,,,,3.0,0.3,4,,,,,,
1685838,1982-07-03T02:37:58Z,-42.01,0.0,174.03,0.0,39.0,2.0,ML,,,,,,,3.2,0.2,2,,,,3.4,0.1,3
1563064,1982-07-03T05:22:56Z,-40.81,0.1,178.33,0.1,12.0,0.0,ML,,,,,,,4.1,0.2,15,,,,,,
1563065,1982-07-03T05:25:48Z,-40.75,0.1,178.31,0.1,12.0,0.0,ML,,,,,,,3.5,0.2,10,,,,,,
1563066,1982-07-03T05:58:51Z,-37.28,0.1,177.14,0.1,179.0,8.0,ML,,,,,,,3.7,0.2,8,,,,,,
1685839,1982-07-03T06:01:51Z,-41.05,0.0,174.64,0.0,32.0,0.0,ML,,,,,,,3.0,nan,2,,,,3.2,0.1,8
1563067,1982-07-03T06:27:25Z,-39.23,0.0,174.81,0.0,33.0,0.0,ML,,,,,,,3.2,0.3,6,,,,,,
1563069,1982-07-03T07:16:43Z,-40.75,0.1,178.3,0.1,12.0,0.0,ML,,,,,,,3.5,0.3,10,,,,,,
1563070,1982-07-03T07:30:48Z,-40.76,0.1,178.33,0.1,12.0,0.0,ML,,,,,,,3.7,0.2,11,,,,,,
1685840,1982-07-03T11:19:28Z,-41.72,0.0,174.51,0.0,30.0,1.0,ML,,,,,,,2.4,0.2,7,,,,,,
1563071,1982-07-03T12:03:21Z,-40.76,0.1,178.34,0.1,12.0,0.0,ML,,,,,,,3.5,0.2,9,,,,,,
1685841,1982-07-03T13:27:29Z,-40.91,0.0,175.1,0.0,35.0,2.0,ML,,,,,,,1.9,0.0,5,,,,,,
1563072,1982-07-03T15:15:33Z,-45.23,0.0,167.68,0.0,129.0,4.0,ML,,,,,,,3.8,0.3,7,,,,,,
1685842,1982-07-03T21:23:33Z,-41.06,0.0,175.45,0.0,26.0,1.0,ML,,,,,,,1.4,0.3,4,,,,,,
1563073,1982-07-04T13:45:52Z,-38.97,0.0,178.14,0.1,33.0,0.0,ML,,,,,,,3.5,0.3,7,,,,,,
1563074,1982-07-04T14:08:57Z,-40.66,0.0,176.82,0.1,12.0,0.0,ML,,,,,,,3.6,0.2,11,,,,,,
1563075,1982-07-04T15:42:23Z,-44.72,0.0,167.81,0.1,82.0,5.0,ML,,,,,,,5.2,0.3,2,,,,,,
1685843,1982-07-04T16:34:58Z,-41.15,0.0,174.11,0.0,49.0,2.0,ML,,,,,,,1.6,0.1,4,,,,,,
1563076,1982-07-04T18:17:36Z,-40.73,0.0,178.43,0.1,33.0,0.0,ML,,,,,,,3.5,0.2,9,,,,,,
1563077,1982-07-04T18:20:16Z,-36.98,0.1,179.57,0.1,33.0,0.0,ML,,,,,,,4.0,0.3,9,,,,,,
1563078,1982-07-04T21:13:19Z,-44.11,0.0,168.81,0.0,12.0,0.0,ML,,,,,,,3.8,0.3,7,,,,,,
1685844,1982-07-05T01:21:40Z,-40.92,0.0,174.92,0.0,33.0,0.0,ML,,,,,,,1.8,0.2,5,,,,,,
1685845,1982-07-05T06:16:36Z,-40.99,0.0,175.1,0.0,35.0,0.0,ML,,,,,,,1.6,0.4,3,,,,,,
1685846,1982-07-05T07:19:08Z,-41.21,0.0,174.95,0.0,23.0,1.0,ML,,,,,,,1.5,0.2,6,,,,,,
1563080,1982-07-05T11:42:11Z,-39.7,0.0,174.28,0.1,201.0,6.0,ML,,,,,,,4.0,0.2,5,,,,,,
1563081,1982-07-05T13:24:49Z,-40.58,0.0,174.29,0.0,100.0,6.0,ML,,,,,,,4.0,0.2,5,,,,,,
1685848,1982-07-05T13:37:21Z,-41.32,0.0,174.88,0.0,35.0,0.0,ML,,,,,,,2.1,0.2,8,,,,,,
1685849,1982-07-05T16:55:30Z,-41.16,0.0,175.73,0.0,24.0,1.0,ML,,,,,,,2.6,0.4,2,,,,2.5,0.1,4
1685850,1982-07-05T18:25:26Z,-41.18,0.0,174.49,0.0,35.0,4.0,ML,,,,,,,1.5,0.2,5,,,,,,
1685851,1982-07-05T18:33:25Z,-40.97,0.0,175.5,0.0,24.0,1.0,ML,,,,,,,1.7,0.3,3,,,,,,
1563082,1982-07-05T19:16:51Z,-39.07,0.0,174.95,0.1,199.0,6.0,ML,,,,,,,3.9,0.4,4,,,,,,
