PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,Md,Md_Uncertainty,Md_StationCount
1563569,1983-01-01T00:32:48Z,-39.13,0.0,174.77,0.1,220.0,7.0,ML,,,,5.1,0.2,8,,,
1563570,1983-01-01T04:57:21Z,-40.16,0.0,174.3,0.0,85.0,7.0,ML,,,,3.4,0.2,7,,,
1563572,1983-01-01T07:55:47Z,-40.06,0.0,175.08,0.0,12.0,0.0,ML,,,,3.2,0.5,7,,,
1563574,1983-01-01T17:50:09Z,-36.96,0.1,176.63,0.2,271.0,13.0,ML,,,,4.0,0.3,8,,,
1563575,1983-01-01T22:28:25Z,-45.72,0.0,167.1,0.1,33.0,0.0,ML,,,,3.5,0.4,5,,,
1563576,1983-01-02T01:56:46Z,-44.22,0.1,168.28,0.1,12.0,0.0,ML,,,,3.8,0.3,6,,,
1563577,1983-01-02T07:39:49Z,-40.01,0.1,176.48,0.1,12.0,0.0,ML,,,,3.0,0.3,8,,,
1563578,1983-01-02T08:33:39Z,-36.89,0.1,177.65,0.1,33.0,0.0,ML,,,,4.2,0.2,12,,,
1563579,1983-01-02T08:41:44Z,-40.3,0.0,173.55,0.0,166.0,4.0,ML,,,,4.0,0.3,6,,,
1686694,1983-01-02T11:47:51Z,-40.74,0.0,174.43,0.0,44.0,4.0,ML,,,,2.4,0.1,3,2.6,0.1,3
1563580,1983-01-02T16:11:34Z,-39.09,0.0,173.87,0.0,12.0,0.0,ML,,,,3.3,0.3,5,,,
1563581,1983-01-03T00:02:22Z,-38.0,0.0,176.56,0.0,150.0,5.0,ML,,,,3.5,0.1,5,,,
1686695,1983-01-03T05:29:37Z,-40.9,0.0,175.71,0.0,32.0,1.0,ML,,,,2.7,0.2,4,,,
1563582,1983-01-03T07:51:34Z,-37.99,0.0,176.19,0.0,197.0,5.0,ML,,,,4.3,0.3,9,,,
1686696,1983-01-04T11:06:09Z,-40.88,0.0,174.72,0.0,11.0,1.0,ML,,,,2.2,0.2,4,,,
1686697,1983-01-06T02:22:05Z,-41.65,0.0,174.61,0.0,34.0,1.0,ML,,,,2.9,nan,2,2.8,0.1,3
1686698,1983-01-06T06:51:15Z,-41.06,0.0,175.07,0.0,19.0,2.0,ML,,,,2.2,0.1,4,,,
1686699,1983-01-06T10:16:45Z,-41.01,0.0,174.38,0.0,45.0,1.0,ML,,,,2.5,0.1,3,2.2,nan,1
