PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,Mw,Mw_Uncertainty,Mw_StationCount,ML,ML_Uncertainty,ML_StationCount,MS,MS_Uncertainty,MS_StationCount,Md,Md_Uncertainty,Md_StationCount
1565445,1984-07-01T15:26:19Z,-43.53,0.0,170.57,0.1,5.0,0.0,ML,,,,3.5,0.3,6,,,,,,
1565446,1984-07-01T16:29:19Z,-40.24,0.1,173.59,0.1,186.0,13.0,ML,,,,4.0,0.3,6,,,,,,
1565447,1984-07-01T20:56:29Z,-43.56,0.0,170.7,0.1,5.0,0.0,ML,,,,3.5,0.2,5,,,,,,
1565448,1984-07-02T01:56:56Z,-37.86,0.0,176.91,0.0,5.0,0.0,ML,,,,3.7,0.3,5,,,,,,
1565449,1984-07-02T03:36:18Z,-37.86,0.0,176.9,0.0,5.0,0.0,ML,,,,3.7,0.3,5,,,,,,
1565450,1984-07-02T04:12:39Z,-38.85,0.1,174.95,0.1,209.0,13.0,ML,,,,4.1,0.2,5,,,,,,
1565451,1984-07-02T04:18:09Z,-37.86,0.0,176.89,0.0,5.0,0.0,ML,,,,3.9,0.2,6,,,,,,
1565452,1984-07-02T05:25:56Z,-37.86,0.0,176.85,0.0,5.0,0.0,ML,,,,3.6,0.3,3,,,,,,
1565453,1984-07-02T08:23:07Z,-39.64,0.1,176.78,0.1,48.0,3.0,ML,,,,3.4,0.2,4,,,,,,
1565454,1984-07-02T08:23:40Z,-37.86,0.0,176.92,0.0,5.0,0.0,ML,,,,3.4,0.3,3,,,,,,
1565455,1984-07-02T18:09:29Z,-37.84,0.0,176.85,0.0,5.0,0.0,ML,,,,4.2,0.2,6,,,,,,
1565456,1984-07-02T18:17:55Z,-37.86,0.0,176.91,0.0,5.0,0.0,ML,,,,3.4,0.2,4,,,,,,
1565457,1984-07-02T18:22:44Z,-37.86,0.0,176.92,0.0,5.0,0.0,ML,,,,3.4,0.2,3,,,,,,
1565458,1984-07-02T19:03:18Z,-37.85,0.0,176.86,0.0,5.0,0.0,ML,,,,3.5,0.1,3,,,,,,
1565459,1984-07-03T03:22:41Z,-37.87,0.0,176.94,0.0,5.0,0.0,ML,,,,3.8,0.2,5,,,,,,
1565460,1984-07-03T09:52:12Z,-39.6,0.0,175.85,0.0,48.0,5.0,ML,,,,3.7,0.2,6,,,,,,
1687369,1984-07-03T20:16:46Z,-41.41,0.0,175.04,0.0,26.0,1.0,ML,,,,2.1,0.1,3,,,,,,
1565461,1984-07-04T05:46:55Z,-43.66,0.0,170.65,0.0,5.0,0.0,ML,,,,3.8,0.2,7,,,,,,
1565462,1984-07-04T06:14:20Z,-38.02,0.0,176.88,0.0,5.0,0.0,ML,,,,3.6,0.3,5,,,,,,
1687370,1984-07-04T21:50:25Z,-40.47,0.0,174.8,0.0,49.0,3.0,ML,,,,2.8,nan,1,,,,2.8,0.1,3
