PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,Mjma,Mjma_Uncertainty,Mjma_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,MLh,MLh_Uncertainty,MLh_StationCount,Ms(BB),Ms(BB)_Uncertainty,Ms(BB)_StationCount,mBc,mBc_Uncertainty,mBc_StationCount,mb,mb_Uncertainty,mb_StationCount,Mw(mBc),Mw(mBc)_Uncertainty,Mw(mBc)_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2012p000068,2012-01-01T00:36:23Z,-40.14,3.1,176.35,4.3,40.0,9.0,M,,,,,,,1.1,0.8,4,0.9,nan,4,,,,,,,,,,,,,,,,,,,0.9,0.9,4
2012p000075,2012-01-01T00:40:29Z,-38.24,5.5,175.77,3.0,4.0,3.0,M,,,,,,,2.6,0.1,7,2.5,nan,7,,,,,,,,,,,,,,,,,,,2.5,0.2,7
2012p000137,2012-01-01T01:13:21Z,-38.71,5.3,175.8,5.3,119.0,6.0,M,,,,,,,,,,2.4,nan,19,,,,,,,,,,,,,,,,,,,2.4,0.2,19
2012p000212,2012-01-01T01:52:58Z,-43.55,2.2,172.75,1.4,19.0,4.0,M,,,,2.8,0.7,5,2.2,0.6,5,2.1,nan,5,,,,2.8,0.1,3,,,,,,,,,,,,,2.1,0.7,5
2012p000220,2012-01-01T01:57:14Z,-44.08,3.0,169.72,2.3,5.0,0.0,M,,,,,,,2.5,0.2,6,2.8,nan,1,,,,2.7,0.1,6,,,,,,,,,,,,,2.8,nan,1
2012p000308,2012-01-01T02:44:28Z,-43.55,2.2,172.77,2.6,5.0,0.0,M,,,,2.8,0.7,5,2.3,0.5,5,2.2,nan,5,,,,2.7,0.1,3,,,,,,,,,,,,,2.2,0.6,5
2012p000325,2012-01-01T02:53:12Z,-37.45,9.8,179.72,5.1,12.0,0.0,M,,,,3.4,0.5,9,3.2,0.1,9,3.0,nan,9,,,,3.2,0.1,8,3.1,0.3,3,,,,,,,,,,3.0,0.1,9
2012p000326,2012-01-01T02:53:13Z,-37.35,11.0,179.71,8.7,33.0,0.0,M,,,,3.3,0.3,6,3.4,nan,1,3.1,nan,6,,,,3.3,nan,1,3.0,0.2,4,,,,,,,,,,3.1,0.1,6
2012p000366,2012-01-01T03:15:02Z,-40.35,2.2,176.31,2.3,28.0,5.0,M,,,,2.0,0.6,6,1.9,0.2,6,1.6,nan,6,,,,2.3,0.1,6,,,,,,,,,,,,,1.6,0.3,6
2012p000424,2012-01-01T03:45:56Z,-43.48,2.2,172.09,1.8,4.0,2.0,M,,,,3.1,0.4,7,2.5,0.2,7,2.4,nan,7,,,,2.6,0.1,6,,,,,,,,,,,,,2.4,0.2,7
