PublicID,UTCTime,Latitude,LatitudeUncertainty,Longitude,LongitudeUncertainty,Depth,DepthUncertainty,PreferredMag,mB,mB_Uncertainty,mB_StationCount,Mjma,Mjma_Uncertainty,Mjma_StationCount,ML,ML_Uncertainty,ML_StationCount,M,M_Uncertainty,M_StationCount,Mw(mB),Mw(mB)_Uncertainty,Mw(mB)_StationCount,Ms(BB),Ms(BB)_Uncertainty,Ms(BB)_StationCount,mb,mb_Uncertainty,mb_StationCount,MLv,MLv_Uncertainty,MLv_StationCount
2016p491981,2016-07-01T00:47:34Z,-42.31,3.5,173.68,4.7,28.0,7.0,M,,,,,,,2.7,0.2,14,2.5,nan,7,,,,,,,,,,2.5,0.3,7
2016p492203,2016-07-01T02:46:17Z,-39.12,3.4,175.66,3.5,6.0,8.0,M,,,,,,,1.2,0.2,6,1.0,nan,7,,,,,,,,,,1.0,0.3,7
2016p492340,2016-07-01T03:59:04Z,-41.67,3.6,174.11,3.0,13.0,4.0,M,,,,,,,3.0,0.1,19,2.7,nan,18,,,,,,,,,,2.7,0.1,18
2016p492399,2016-07-01T04:30:13Z,-36.72,8.4,177.47,7.7,187.0,10.0,M,,,,,,,3.6,0.4,18,3.4,nan,14,,,,,,,,,,3.4,0.3,14
2016p492455,2016-07-01T05:00:22Z,-38.79,4.9,175.22,6.7,208.0,10.0,M,,,,,,,1.9,0.2,11,2.3,nan,20,,,,,,,,,,2.3,0.5,20
2016p492473,2016-07-01T05:10:46Z,-39.74,14.0,175.21,9.0,17.0,10.0,M,,,,,,,2.1,0.2,11,1.8,nan,8,,,,,,,,,,1.8,0.3,8
2016p492799,2016-07-01T08:03:15Z,-35.94,19.0,177.48,22.0,185.0,28.0,M,,,,,,,3.1,0.4,7,2.9,nan,4,,,,,,,,,,2.9,0.3,4
2016p492882,2016-07-01T08:47:47Z,-37.01,6.2,177.34,5.7,168.0,8.0,M,,,,,,,3.2,0.3,8,3.0,nan,27,,,,,,,,,,3.0,0.3,27
2016p493719,2016-07-01T16:13:55Z,-38.86,8.3,175.89,8.8,88.0,11.0,M,,,,,,,2.2,0.3,9,1.7,nan,5,,,,,,,,,,1.7,0.5,5
2016p494194,2016-07-01T20:26:38Z,-40.28,3.5,174.14,4.6,99.0,9.0,M,,,,,,,3.0,0.3,31,2.7,nan,24,,,,,,,,,,2.7,0.2,24
2016p494398,2016-07-01T22:15:39Z,-42.17,3.0,173.81,3.5,25.0,4.0,M,,,,,,,2.5,0.2,18,2.3,nan,11,,,,,,,,,,2.3,0.2,11
2016p494434,2016-07-01T22:34:59Z,-40.4,4.3,173.66,5.1,148.0,8.0,M,,,,,,,2.5,0.2,14,2.4,nan,7,,,,,,,,,,2.4,0.2,7
2016p494437,2016-07-01T22:36:22Z,-39.5,8.3,175.67,5.4,18.0,10.0,M,,,,,,,1.8,0.2,14,1.5,nan,12,,,,,,,,,,1.5,0.2,12
2016p494455,2016-07-01T22:46:07Z,-41.52,4.4,173.66,3.3,64.0,6.0,M,,,,,,,2.5,0.2,18,2.3,nan,10,,,,,,,,,,2.3,0.2,10
2016p494529,2016-07-01T23:25:34Z,-38.77,2.9,176.0,3.2,8.0,0.0,M,,,,,,,2.0,0.2,17,1.8,nan,13,,,,,,,,,,1.8,0.2,13
2016p494626,2016-07-02T00:17:05Z,-40.94,2.4,175.44,2.5,21.0,3.0,M,,,,,,,3.0,0.2,22,2.7,nan,20,,,,,,,,,,2.7,0.2,20
2016p494933,2016-07-02T03:00:27Z,-37.98,2.6,178.31,4.8,5.0,0.0,M,,,,,,,3.0,0.2,14,2.6,nan,14,,,,,,,,,,2.6,0.2,14
