publicid,cell_id,total_reports_from_counts,mean_mmi,median_mmi,max_mode_count,n_modes,mode_mmi,skewness,reported_mmi,report_count,mean_minus_median,api_median_minus_reconstructed,mode_is_tied
2016p831842,2016p831842_cell_1,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p831842,2016p831842_cell_10,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2016p831842,2016p831842_cell_11,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2016p831842,2016p831842_cell_12,2,4,4,2,1,4,NA,4,2,0,0,FALSE
2016p831842,2016p831842_cell_13,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p831842,2016p831842_cell_14,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p831842,2016p831842_cell_15,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_16,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2016p831842,2016p831842_cell_17,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2016p831842,2016p831842_cell_18,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p831842,2016p831842_cell_19,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_2,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_20,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p831842,2016p831842_cell_21,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_22,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_23,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p831842,2016p831842_cell_24,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p831842,2016p831842_cell_25,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p831842,2016p831842_cell_26,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2016p831842,2016p831842_cell_27,2,3.5,3.5,1,2,NA,0,3,2,0,-0.5,TRUE
2016p831842,2016p831842_cell_28,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_29,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_3,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p831842,2016p831842_cell_30,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_31,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2016p831842,2016p831842_cell_32,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_33,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p831842,2016p831842_cell_34,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_35,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_36,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_37,3,4,4,3,1,4,NA,4,3,0,0,FALSE
2016p831842,2016p831842_cell_38,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2016p831842,2016p831842_cell_4,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2016p831842,2016p831842_cell_5,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_6,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p831842,2016p831842_cell_7,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p831842,2016p831842_cell_8,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2016p831842,2016p831842_cell_9,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p842451,2016p842451_cell_1,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p842451,2016p842451_cell_10,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p842451,2016p842451_cell_100,4,3.75,3.5,2,1,3,0.49338220021815865,3,4,0.25,-0.5,FALSE
2016p842451,2016p842451_cell_101,2,4,4,2,1,4,NA,4,2,0,0,FALSE
2016p842451,2016p842451_cell_102,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p842451,2016p842451_cell_103,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p842451,2016p842451_cell_104,14,4.214285714285714,4,9,1,4,0.02518758293761834,4,14,0.2142857142857144,0,FALSE
2016p842451,2016p842451_cell_105,5,4.4,5,3,1,5,-0.8437500000000012,5,5,-0.5999999999999996,0,FALSE
2016p842451,2016p842451_cell_106,20,4.3,4,10,1,4,-0.3656751497879549,4,20,0.2999999999999998,0,FALSE
2016p842451,2016p842451_cell_107,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p842451,2016p842451_cell_108,7,4,4,3,1,4,0,4,7,0,0,FALSE
2016p842451,2016p842451_cell_109,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p842451,2016p842451_cell_11,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p842451,2016p842451_cell_110,2,4,4,2,1,4,NA,4,2,0,0,FALSE
2016p842451,2016p842451_cell_111,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p842451,2016p842451_cell_112,2,4.5,4.5,1,2,NA,0,4,2,0,-0.5,TRUE
2016p842451,2016p842451_cell_113,15,4.333333333333333,4,11,1,4,1.6071738588279756,4,15,0.33333333333333304,0,FALSE
2016p842451,2016p842451_cell_114,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p842451,2016p842451_cell_115,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p842451,2016p842451_cell_116,7,4.142857142857143,4,4,1,4,-0.13416407864998908,4,7,0.14285714285714324,0,FALSE
2016p842451,2016p842451_cell_117,8,5.25,5,6,1,5,1.1547005383792515,5,8,0.25,0,FALSE
2016p842451,2016p842451_cell_118,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p842451,2016p842451_cell_119,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2016p842451,2016p842451_cell_12,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p842451,2016p842451_cell_120,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p842451,2016p842451_cell_121,2,4.5,4.5,1,2,NA,0,4,2,0,-0.5,TRUE
2016p842451,2016p842451_cell_122,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p842451,2016p842451_cell_123,2,4,4,1,2,NA,0,3,2,0,-1,TRUE
2016p842451,2016p842451_cell_124,4,4,4,4,1,4,NA,4,4,0,0,FALSE
2016p842451,2016p842451_cell_125,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p842451,2016p842451_cell_126,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p842451,2016p842451_cell_127,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p842451,2016p842451_cell_128,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p842451,2016p842451_cell_129,2,5,5,2,1,5,NA,5,2,0,0,FALSE
2016p842451,2016p842451_cell_13,15,4.2,4,12,1,4,1.4999999999999987,4,15,0.20000000000000018,0,FALSE
2016p842451,2016p842451_cell_130,10,4.6,4.5,5,1,4,0.6578429336242129,4,10,0.09999999999999964,-0.5,FALSE
2016p842451,2016p842451_cell_131,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p842451,2016p842451_cell_132,1,4,4,1,1,4,NA,4,1,0,0,FALSE
2016p842451,2016p842451_cell_133,4,3,3,4,1,3,NA,3,4,0,0,FALSE
2016p842451,2016p842451_cell_134,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p842451,2016p842451_cell_135,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2016p842451,2016p842451_cell_136,1,3,3,1,1,3,NA,3,1,0,0,FALSE
2016p842451,2016p842451_cell_137,1,5,5,1,1,5,NA,5,1,0,0,FALSE
2016p842451,2016p842451_cell_138,3,3.6666666666666665,4,2,1,4,-0.7071067811865465,4,3,-0.3333333333333335,0,FALSE
