median_mmi,cells,mean_skewness,median_skewness,q1_skewness,q3_skewness
2.5,1,0,0,0,0
3,17456,0.9857074903778944,0.8000483599402345,0.7071067811865465,1.1547005383792515
3.5,13763,0.08046112476288558,0,0,0
4,35685,0.06395054530849728,0,-0.1835192095981913,0.38180177416060695
4.5,7807,-0.021731540774450803,0,0,0
5,12983,-0.23433244749376855,-0.2445264846795743,-0.7071067811865465,0
5.5,2573,-0.12471443185219669,0,0,0
6,2764,-0.4804973125461145,-0.679482846311422,-0.7500308204401297,0
6.5,302,-0.08197315423939042,0,0,0
7,134,-0.6362117276400877,-0.707106781186548,-0.8776041666666665,-0.23254385842359887
7.5,10,0,0,0,0
8,17,-0.7780596332670088,-0.7071067811865474,-0.707106781186548,-0.7071067811865474
