code,network,external,name,start-date,end-date,latitude,longitude,QueriedCode,QueriedSensorType,equipment_category,site_code,site_latitude,site_longitude,elevation,datum,survey,site_start-date,site_end-date,sensor,depth,view_code,label,description,azimuth,dip,view_start-date,view_end-date,mark-type,monument-type,foundation-type,model,make,type,antenna_start-date,antenna_end-date,receiver_start-date,receiver_end-date,ground-relationship,foundation-depth,vertical,bedrock,geology,domes-number,feature
BCKZ,KI,NZ,Boat Cove,2009-05-18T00:00:00Z,9999-01-01T00:00:00Z,-29.2803,-177.8938,BCKZ,1,site,30,-29.2803,-177.8938,141,WGS84,Internal GPS Clock,2009-05-18T01:00:00Z,9999-01-01T00:00:00Z,"[{'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2009-05-18T01:00:00Z', 'end-date': '2017-03-26T22:00:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2017-03-26T22:00:01Z', 'end-date': '2021-10-22T21:21:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2021-10-24T03:28:00Z', 'end-date': '9999-01-01T00:00:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
COVZ,CH,NZ,Chateau Observatory,1998-03-25T00:00:00Z,9999-01-01T00:00:00Z,-39.199914229,175.542401907,COVZ,1,site,30,-39.199914229,175.542401907,1133,WGS84,Internal GPS Clock,2007-03-09T00:01:00Z,9999-01-01T00:00:00Z,"[{'model': '270-600/24V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'vertical': 10, 'start-date': '2007-03-09T00:01:00Z', 'end-date': '2010-11-30T22:30:00Z'}, {'model': '270-600/24V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'vertical': 10, 'start-date': '2010-11-30T22:30:01Z', 'end-date': '2022-06-09T02:11:00Z'}, {'model': '270-600/24V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'vertical': 10, 'start-date': '2022-08-03T22:47:00Z', 'end-date': '2024-09-23T21:29:00Z'}, {'model': '270-600/24V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'vertical': 10, 'start-date': '2024-09-25T02:17:00Z', 'end-date': '2024-11-07T00:22:00Z'}, {'model': 'M64Vx2', 'make': 'Chaparral Physics', 'type': 'Infrasound Sensor', 'channels': 'HDF,LDF', 'start-date': '2024-11-07T01:10:00Z', 'end-date': '9999-01-01T00:00:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
COVZ,CH,NZ,Chateau Observatory,1998-03-25T00:00:00Z,9999-01-01T00:00:00Z,-39.199914229,175.542401907,COVZ,1,site,31,-39.199914229,175.542401907,1133,WGS84,Internal GPS Clock,2014-04-01T23:40:00Z,2015-02-23T00:00:00Z,"[{'model': 'InfraBSU microphone', 'make': 'Boise State University', 'type': 'Microphone', 'channels': 'HDF,LDF', 'vertical': 10, 'start-date': '2014-04-01T23:40:00Z', 'end-date': '2015-02-23T00:00:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
ETVZ,CH,NZ,East Tongariro,2014-03-11T00:01:00Z,9999-01-01T00:00:00Z,-39.1357,175.7106,ETVZ,1,site,30,-39.1357,175.7106,1236,WGS84,Unknown,2014-03-11T00:01:00Z,2025-10-16T21:24:00Z,"[{'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2014-03-11T00:01:00Z', 'end-date': '2023-01-16T00:28:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2023-01-26T02:32:00Z', 'end-date': '2023-05-20T00:55:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2023-09-01T01:43:00Z', 'end-date': '2025-10-16T21:24:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
ETVZ,CH,NZ,East Tongariro,2014-03-11T00:01:00Z,9999-01-01T00:00:00Z,-39.1357,175.7106,ETVZ,1,site,31,-39.1357,175.7106,1236,WGS84,Unknown,2025-03-14T01:04:00Z,9999-01-01T00:00:00Z,"[{'model': 'M64Vx2', 'make': 'Chaparral Physics', 'type': 'Infrasound Sensor', 'channels': 'HDF,LDF', 'start-date': '2025-03-14T01:04:00Z', 'end-date': '9999-01-01T00:00:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
FWVZ,CH,NZ,Far West,1999-05-11T00:00:00Z,9999-01-01T00:00:00Z,-39.254945374,175.55295183,FWVZ,1,site,30,-39.254945374,175.55295183,2043,WGS84,Internal GPS Clock,2001-07-05T01:30:00Z,9999-01-01T00:00:00Z,"[{'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'BDF,HDF,LDF', 'start-date': '2001-07-05T01:30:00Z', 'end-date': '2004-09-12T23:00:30Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2004-10-23T03:00:00Z', 'end-date': '2008-02-07T01:00:00Z'}, {'model': '270-600/24V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2008-02-07T04:00:00Z', 'end-date': '2015-02-09T23:00:00Z'}, {'model': '270-600/24V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2015-02-09T23:10:01Z', 'end-date': '2017-04-20T00:00:00Z'}, {'model': '270-600/24V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2017-04-20T00:00:02Z', 'end-date': '2025-02-02T21:09:00Z'}, {'model': '270-600/24V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2025-02-03T00:26:00Z', 'end-date': '2026-07-02T00:26:00Z'}, {'model': 'M64Vx2', 'make': 'Chaparral Physics', 'type': 'Infrasound Sensor', 'channels': 'HDF,LDF', 'start-date': '2026-07-02T01:49:00Z', 'end-date': '9999-01-01T00:00:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
FWVZ,CH,NZ,Far West,1999-05-11T00:00:00Z,9999-01-01T00:00:00Z,-39.254945374,175.55295183,FWVZ,1,site,31,-39.254945374,175.55295183,2043,WGS84,Internal GPS Clock,2025-02-03T00:26:00Z,2026-07-02T00:26:00Z,"[{'model': 'M64Vx2', 'make': 'Chaparral Physics', 'type': 'Infrasound Sensor', 'channels': 'HDF,LDF', 'start-date': '2025-02-03T00:26:00Z', 'end-date': '2026-07-02T00:26:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
IVVZ,CH,NZ,Iwikau Village,2009-01-29T00:00:00Z,9999-01-01T00:00:00Z,-39.23715,175.55638,IVVZ,1,site,30,-39.23715,175.55638,1663,WGS84,Internal GPS Clock,2009-01-29T00:00:00Z,9999-01-01T00:00:00Z,"[{'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2009-01-29T00:00:00Z', 'end-date': '2023-05-08T23:51:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2023-05-09T03:32:00Z', 'end-date': '2026-03-11T23:21:00Z'}, {'model': 'M64Vx3', 'make': 'Chaparral Physics', 'type': 'Infrasound Sensor', 'channels': 'HDF,LDF', 'start-date': '2026-03-12T02:46:00Z', 'end-date': '9999-01-01T00:00:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
KHEZ,TR,NZ,Kahui Hut,2009-05-21T00:00:00Z,9999-01-01T00:00:00Z,-39.2942,174.0145,KHEZ,1,site,31,-39.2942,174.0145,929,WGS84,Internal GPS Clock,2014-10-14T04:00:00Z,9999-01-01T00:00:00Z,"[{'model': 'InfraBSU microphone', 'make': 'Boise State University', 'type': 'Microphone', 'channels': 'HDF,LDF', 'start-date': '2014-10-14T04:00:01Z', 'end-date': '2022-06-11T05:44:00Z'}, {'model': 'InfraBSU microphone', 'make': 'Boise State University', 'type': 'Microphone', 'channels': 'HDF,LDF', 'start-date': '2022-07-01T00:00:00Z', 'end-date': '2026-05-28T21:12:00Z'}, {'model': 'M64Vx3', 'make': 'Chaparral Physics', 'type': 'Infrasound Sensor', 'channels': 'HDF,LDF', 'start-date': '2026-05-28T22:30:00Z', 'end-date': '9999-01-01T00:00:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
KHEZ,TR,NZ,Kahui Hut,2009-05-21T00:00:00Z,9999-01-01T00:00:00Z,-39.2942,174.0145,KHEZ,1,site,32,-39.2942,174.0145,929,WGS84,Internal GPS Clock,2014-10-14T04:00:00Z,2026-05-28T22:45:00Z,"[{'model': 'InfraBSU microphone', 'make': 'Boise State University', 'type': 'Microphone', 'channels': 'HDF,LDF', 'start-date': '2014-10-14T04:00:01Z', 'end-date': '2022-06-11T05:44:00Z'}, {'model': 'InfraBSU microphone', 'make': 'Boise State University', 'type': 'Microphone', 'channels': 'HDF,LDF', 'start-date': '2022-07-01T00:00:00Z', 'end-date': '2026-05-28T22:45:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
KHEZ,TR,NZ,Kahui Hut,2009-05-21T00:00:00Z,9999-01-01T00:00:00Z,-39.2942,174.0145,KHEZ,1,site,33,-39.2942,174.0145,929,WGS84,Internal GPS Clock,2014-10-14T04:00:00Z,2026-05-28T22:45:00Z,"[{'model': 'InfraBSU microphone', 'make': 'Boise State University', 'type': 'Microphone', 'channels': 'HDF,LDF', 'start-date': '2014-10-14T04:00:01Z', 'end-date': '2022-06-11T05:44:00Z'}, {'model': 'InfraBSU microphone', 'make': 'Boise State University', 'type': 'Microphone', 'channels': 'HDF,LDF', 'start-date': '2022-07-01T00:00:00Z', 'end-date': '2026-05-28T22:45:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
KRVZ,CH,NZ,Karewarewa,2004-12-03T00:00:00Z,9999-01-01T00:00:00Z,-39.094442315,175.641203517,KRVZ,1,site,30,-39.09444,175.6412,1207,WGS84,External GPS Device,2012-11-22T20:30:00Z,9999-01-01T00:00:00Z,"[{'model': '270-600/24V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2012-11-22T20:30:00Z', 'end-date': '2012-11-22T21:00:00Z'}, {'model': '270-600/24V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2012-11-22T21:00:01Z', 'end-date': '2017-04-25T00:00:00Z'}, {'model': '270-600/24V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2017-04-27T00:00:01Z', 'end-date': '2026-01-28T19:28:00Z'}, {'model': 'M64Vx3', 'make': 'Chaparral Physics', 'type': 'Infrasound Sensor', 'channels': 'HDF,LDF', 'start-date': '2026-01-28T21:27:00Z', 'end-date': '9999-01-01T00:00:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
MAVZ,CH,NZ,Matarangi,2008-02-07T00:00:00Z,9999-01-01T00:00:00Z,-39.2679133,175.5616533,MAVZ,1,site,30,-39.2679133,175.5616533,2624.1,WGS84,Topographic Map,2015-01-09T00:01:00Z,9999-01-01T00:00:00Z,"[{'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2015-01-09T00:01:00Z', 'end-date': '2017-04-20T22:00:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2017-04-20T22:00:02Z', 'end-date': '2024-05-10T01:10:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2024-05-17T00:05:00Z', 'end-date': '2024-11-18T23:40:00Z'}, {'model': 'M64Vx2', 'make': 'Chaparral Physics', 'type': 'Infrasound Sensor', 'channels': 'HDF,LDF', 'start-date': '2024-11-18T23:40:00Z', 'end-date': '9999-01-01T00:00:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
NEZ,TR,NZ,North Egmont,1985-04-17T00:00:00Z,9999-01-01T00:00:00Z,-39.270466,174.096096,NEZ,1,site,30,-39.270466,174.096096,945,WGS84,Topographic Map,2014-03-21T00:00:02Z,2024-08-29T05:55:00Z,"[{'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2014-03-21T00:00:02Z', 'end-date': '2019-11-10T08:41:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2019-11-14T00:25:00Z', 'end-date': '2023-02-28T22:51:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2023-02-28T22:51:00Z', 'end-date': '2023-03-19T06:29:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2024-02-28T00:10:00Z', 'end-date': '2024-07-07T01:49:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2024-07-31T03:44:00Z', 'end-date': '2024-08-29T05:55:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
NEZ,TR,NZ,North Egmont,1985-04-17T00:00:00Z,9999-01-01T00:00:00Z,-39.270466,174.096096,NEZ,1,site,31,-39.270491,174.0963,945,WGS84,Topographic Map,2025-03-27T20:42:00Z,2025-07-28T00:41:00Z,"[{'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2025-03-27T20:42:00Z', 'end-date': '2025-07-28T00:41:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
NGZ,CH,NZ,Ngauruhoe,1976-06-01T00:00:00Z,9999-01-01T00:00:00Z,-39.175583868,175.601172722,NGZ,1,site,30,-39.175583868,175.601172722,1452,WGS84,External GPS Device,2014-02-25T01:00:00Z,9999-01-01T00:00:00Z,"[{'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF', 'start-date': '2014-02-25T03:00:00Z', 'end-date': '2024-06-20T22:25:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF', 'start-date': '2024-06-21T01:25:00Z', 'end-date': '9999-01-01T00:00:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
NOVZ,CH,NZ,North Ngauruhoe,2020-02-25T01:10:00Z,9999-01-01T00:00:00Z,-39.126493,175.610657,NOVZ,1,site,30,-39.126447,175.61061,1476,WGS84,External GPS Device,2020-02-25T01:10:00Z,9999-01-01T00:00:00Z,"[{'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2020-02-25T01:10:00Z', 'end-date': '2022-12-20T05:15:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2023-01-16T02:04:00Z', 'end-date': '2026-01-29T01:14:00Z'}, {'model': 'M64Vx3', 'make': 'Chaparral Physics', 'type': 'Infrasound Sensor', 'channels': 'HDF,LDF', 'start-date': '2026-01-29T01:15:00Z', 'end-date': '9999-01-01T00:00:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
NTVZ,CH,NZ,North Tongariro,2014-11-06T00:00:00Z,9999-01-01T00:00:00Z,-39.0984817,175.6759733,NTVZ,1,site,30,-39.0984817,175.6759733,1260,WGS84,Unknown,2016-01-14T02:10:00Z,2025-08-21T23:31:00Z,"[{'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2016-01-14T02:10:00Z', 'end-date': '2019-04-17T01:10:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2019-04-17T01:30:00Z', 'end-date': '2025-08-21T23:31:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
NTVZ,CH,NZ,North Tongariro,2014-11-06T00:00:00Z,9999-01-01T00:00:00Z,-39.0984817,175.6759733,NTVZ,1,site,31,-39.0984817,175.6759733,1260,WGS84,Unknown,2016-01-14T02:10:00Z,9999-01-01T00:00:00Z,"[{'model': 'InfraBSU microphone', 'make': 'Boise State University', 'type': 'Microphone', 'channels': 'HDF,LDF', 'start-date': '2016-01-14T02:10:00Z', 'end-date': '2019-04-17T01:10:00Z'}, {'model': 'M64Vx2', 'make': 'Chaparral Physics', 'type': 'Infrasound Sensor', 'channels': 'HDF,LDF', 'start-date': '2025-02-27T00:57:00Z', 'end-date': '9999-01-01T00:00:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
NTVZ,CH,NZ,North Tongariro,2014-11-06T00:00:00Z,9999-01-01T00:00:00Z,-39.0984817,175.6759733,NTVZ,1,site,32,-39.0984817,175.6759733,1260,WGS84,Unknown,2016-01-14T02:10:00Z,2025-02-26T21:12:00Z,"[{'model': 'InfraBSU microphone', 'make': 'Boise State University', 'type': 'Microphone', 'channels': 'HDF,LDF', 'start-date': '2016-01-14T02:10:00Z', 'end-date': '2019-04-17T01:10:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
NTVZ,CH,NZ,North Tongariro,2014-11-06T00:00:00Z,9999-01-01T00:00:00Z,-39.0984817,175.6759733,NTVZ,1,site,33,-39.0984817,175.6759733,1260,WGS84,Unknown,2019-04-17T01:30:00Z,2025-02-26T21:12:00Z,"[{'model': 'InfraBSU microphone', 'make': 'Boise State University', 'type': 'Microphone', 'channels': 'HDF,LDF', 'start-date': '2019-04-17T01:30:00Z', 'end-date': '2025-02-26T21:12:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
NTVZ,CH,NZ,North Tongariro,2014-11-06T00:00:00Z,9999-01-01T00:00:00Z,-39.0984817,175.6759733,NTVZ,1,site,34,-39.0984817,175.6759733,1260,WGS84,Unknown,2019-04-17T01:30:00Z,2025-02-26T21:12:00Z,"[{'model': 'InfraBSU microphone', 'make': 'Boise State University', 'type': 'Microphone', 'channels': 'HDF,LDF', 'start-date': '2019-04-17T01:30:00Z', 'end-date': '2025-02-26T21:12:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
OPRZ,RT,NZ,Ohinepanea,2006-11-14T00:00:00Z,9999-01-01T00:00:00Z,-37.844300073,176.554929138,OPRZ,1,site,30,-37.844300073,176.554929138,134,WGS84,Internal GPS Clock,2024-06-11T00:49:00Z,9999-01-01T00:00:00Z,"[{'model': '270-600/24V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2024-06-11T00:49:00Z', 'end-date': '2025-06-18T22:45:00Z'}, {'model': 'M64Vx2', 'make': 'Chaparral Physics', 'type': 'Infrasound Sensor', 'channels': 'HDF,LDF', 'start-date': '2025-06-19T02:45:00Z', 'end-date': '9999-01-01T00:00:00Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
OTVZ,CH,NZ,Oturere,2004-11-18T00:00:00Z,9999-01-01T00:00:00Z,-39.163113759,175.665073554,OTVZ,1,site,30,-39.163113759,175.665073554,1506,WGS84,Internal GPS Clock,2013-10-02T00:00:00Z,2025-10-16T20:40:30Z,"[{'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2013-10-02T00:00:00Z', 'end-date': '2024-08-13T23:05:00Z'}, {'model': '270-600/12V', 'make': 'Setra', 'type': 'Barometer', 'channels': 'HDF,LDF', 'start-date': '2024-08-15T00:35:00Z', 'end-date': '2025-10-16T20:40:30Z'}]",,,,,,,,,,,,,,,,,,,,,,,,,
